baboon_ID	human_ID	orthotype	OMAgroup
ENSPANG00000009679	ENSG00000248333.8	1:m	549387
ENSPANG00000009679	AAA19585	1:m	
ENSPANG00000018300	AAI10654	1:1	778656
ENSPANG00000005057	ENSG00000008130.15	1:1	854345
ENSPANG00000000393	AAA63265	1:1	547033
ENSPANG00000000394	AAM08411	1:1	556837
ENSPANG00000010419	AAQ88908	1:1	744938
ENSPANG00000025625	AAB70007	1:1	637258
ENSPANG00000012880	AAH66360	1:1	712377
ENSPANG00000022731	CAA33288	1:1	759494
ENSPANG00000009527	AAH21704	1:1	772168
ENSPANG00000021945	AAC72940	1:1	808681
ENSPANG00000018380	AAC18133	1:1	650811
ENSPANG00000019039	AAH19679	1:1	767396
ENSPANG00000012486	AAH43496	1:1	827871
ENSPANG00000022730	ABB83829	1:1	551654
ENSPANG00000020403	AAB58354	1:1	706341
ENSPANG00000019038	ENSG00000157870.14	1:1	528788
ENSPANG00000015981	AAI01028	1:1	851877
ENSPANG00000024738	AAH29499	1:1	259510
ENSPANG00000000780	AAG33382	1:1	553015
ENSPANG00000006401	AAH02681	1:1	551361
ENSPANG00000009524	BAA32467	1:1	553110
ENSPANG00000009812	AAH19034	1:1	849843
ENSPANG00000012483	AAH86311	1:1	772789
ENSPANG00000010294	AAC61887	1:1	811045
ENSPANG00000012874	AAI12109	1:1	769856
ENSPANG00000010293	AGI15326	1:1	260617
ENSPANG00000012437	AAH31301	1:1	848070
ENSPANG00000021631	AAH01640	1:1	841856
ENSPANG00000016780	BAG64182	1:1	855419
ENSPANG00000008198	AAH35643	1:1	774905
ENSPANG00000014738	AAD53278	1:1	790949
ENSPANG00000009081	AAH40520	1:1	497162
ENSPANG00000008514	AAB84170	1:1	798233
ENSPANG00000006765	AAL98962	1:1	551065
ENSPANG00000018031	AAH35566	1:1	
ENSPANG00000010648	AAI19781	1:1	845802
ENSPANG00000008513	AAC16554	1:1	654695
ENSPANG00000020174	CAI19439	1:1	277648
ENSPANG00000022146	AAH68275	1:1	829472
ENSPANG00000019943	AAB61211	1:1	844015
ENSPANG00000004187	AAH12091	1:1	550995
ENSPANG00000015729	AAB39714	1:1	815605
ENSPANG00000020173	AAH15231	1:1	766754
ENSPANG00000020172	AAH09257	1:1	842173
ENSPANG00000009707	AAI36516	1:1	266859
ENSPANG00000021173	AAA35989	1:1	557366
ENSPANG00000024477	AAH34039	1:1	554058
ENSPANG00000003133	AAH32792	1:1	836061
ENSPANG00000000281	AAH05114	1:1	796513
ENSPANG00000006141	AAH06086	1:1	730403
ENSPANG00000004700	AAI16458	1:1	826024
ENSPANG00000024954	AAB05814	1:1	812264
ENSPANG00000004699	AAS72879	1:1	824763
ENSPANG00000015011	AAD13070	1:1	784739
ENSPANG00000016085	AAA53133	1:1	807897
ENSPANG00000022907	AAC12806	1:1	740485
ENSPANG00000015578	AAH25337	1:1	822278
ENSPANG00000015010	EAW71597	1:1	549650
ENSPANG00000018378	AAC28264	1:1	549108
ENSPANG00000015658	AAA35698	1:1	865433
ENSPANG00000000529	AAA51892	1:1	638896
ENSPANG00000018457	AAA52570	1:1	547976
ENSPANG00000023880	AAV35060	1:1	657319
ENSPANG00000018330	ENSG00000049239.12	1:1	831785
ENSPANG00000018296	AAH05852	1:1	855054
ENSPANG00000022972	AAH04991	1:1	498013
ENSPANG00000000631	AAI21188	1:1	265554
ENSPANG00000018295	ENSG00000171608.15	1:1	515619
ENSPANG00000020228	AAH33902	1:1	814878
ENSPANG00000014468	AAH07240	1:1	852148
ENSPANG00000018454	AAG33629	1:1	866226
ENSPANG00000015220	AAH63013	1:1	803301
ENSPANG00000008389	AAC72962	1:1	530856
ENSPANG00000006371	AAH01415	1:1	685788
ENSPANG00000015572	AAA75302	1:1	853364
ENSPANG00000005414	AAC51249	1:1	263436
ENSPANG00000017539	AAC39843	1:1	547973
ENSPANG00000019214	AAH04410	1:1	846064
ENSPANG00000005001	ENSG00000175262.14	1:1	759915
ENSPANG00000017459	AAA70033	1:1	550736
ENSPANG00000007060	AAG50274	1:1	557587
ENSPANG00000004184	AAA36633	1:1	825735
ENSPANG00000026088	AAB59352	1:1	826084
ENSPANG00000005055	AAA58486	1:1	530293
ENSPANG00000017843	AAH01881	1:1	553006
ENSPANG00000007059	AAD27581	1:1	736051
ENSPANG00000015056	BAA92575	1:1	842998
ENSPANG00000018131	AAF01822	1:1	835296
ENSPANG00000005412	BAH11578	1:1	693511
ENSPANG00000005053	AAF04470	1:1	835295
ENSPANG00000006368	ENSG00000116670.14	1:1	739832
ENSPANG00000013873	AAI11065	1:1	735044
ENSPANG00000011905	AAF89547	1:1	848106
ENSPANG00000026085	CAD38782	1:1	304090
ENSPANG00000002434	AAA74440	1:1	704872
ENSPANG00000000674	AAB69287	1:1	836443
ENSPANG00000011778	ENSG00000175206.10	1:1	308166
ENSPANG00000015122	AAA35603	1:1	697187
ENSPANG00000019811	AAH04501	1:1	859214
ENSPANG00000009766	AAA60116	1:1	531240
ENSPANG00000024241	AAD02058	1:1	726097
ENSPANG00000014730	AAH08068	1:1	740016
ENSPANG00000007874	AAA51947	1:1	817931
ENSPANG00000006627	AAA36755	1:1	735077
ENSPANG00000008050	AAH28115	1:1	529992
ENSPANG00000013326	AAC63263	1:1	508618
ENSPANG00000009070	CAH74173	1:1	707326
ENSPANG00000000763	ENSG00000188984.11	1:1	707339
ENSPANG00000013325	ENSG00000157330.9	1:1	799505
ENSPANG00000024711	CAA19295	n:1	501543
ENSPANG00000024710	AAI12209	n:m	
ENSPANG00000024710	AAI44663	n:m	263446
ENSPANG00000017720	AAI12209	n:m	501573
ENSPANG00000017720	AAI44663	n:m	
ENSPANG00000018328	CAA19295	n:1	
ENSPANG00000008813	CAB41257	1:m	501551
ENSPANG00000008813	ENSG00000204481.7	1:m	
ENSPANG00000013765	ENSG00000279804.1	1:m	501549
ENSPANG00000013765	ENSG00000204480.7	1:m	
ENSPANG00000024379	ENSG00000204478.9	1:1	501548
ENSPANG00000012871	AAH16048	1:1	556644
ENSPANG00000009068	ENSG00000162493.16	1:1	812118
ENSPANG00000007508	AAA87023	1:1	796776
ENSPANG00000005382	ENSG00000189337.16	1:1	714560
ENSPANG00000015839	AAH00202	1:1	839310
ENSPANG00000019569	BAC04126	1:1	792954
ENSPANG00000021488	AAH07233	1:1	812564
ENSPANG00000025441	AAB47104	n:1	
ENSPANG00000015571	AAH31991	1:1	833267
ENSPANG00000019715	AAH05090	1:1	856715
ENSPANG00000015838	AAH06011	1:1	835268
ENSPANG00000001809	BAG37292	1:1	501713
ENSPANG00000012689	AAH08002	1:1	833944
ENSPANG00000020306	AAH27998	1:1	498044
ENSPANG00000018591	AAI27707	1:1	830801
ENSPANG00000019414	AAH19895	1:1	554543
ENSPANG00000006293	AAK52750	1:1	550471
ENSPANG00000015972	AAA61327	1:1	549511
ENSPANG00000006292	AAH17946	1:1	751508
ENSPANG00000021221	AAF20022	1:1	839221
ENSPANG00000014644	AAB35898	1:1	836447
ENSPANG00000006136	AAH16848	1:1	748483
ENSPANG00000018686	AAA53375	1:1	554810
ENSPANG00000017313	AAH12982	1:1	553491
ENSPANG00000008257	AAH02946	1:1	825274
ENSPANG00000011833	AAH06174	1:1	744800
ENSPANG00000009230	AAH23988	1:1	802802
ENSPANG00000014640	AAI50599	1:1	811344
ENSPANG00000008747	AAH17014	1:1	766693
ENSPANG00000018163	ENSG00000058453.16	1:1	551676
ENSPANG00000014463	AAA79920	1:1	799502
ENSPANG00000019186	AAH30267	1:1	523714
ENSPANG00000021487	AAA35708	1:1	817398
ENSPANG00000019939	AAH09701	1:1	664651
ENSPANG00000009228	AAH41592	1:1	664652
ENSPANG00000023376	AAH25718	1:1	664653
ENSPANG00000019184	AAH04933	1:1	547385
ENSPANG00000011205	ENSG00000074964.16	1:1	810269
ENSPANG00000006764	AAA62476	1:1	749815
ENSPANG00000008744	AAH07618	1:1	807315
ENSPANG00000023997	BAC04695	1:1	781612
ENSPANG00000015169	AAI21166	1:1	779582
ENSPANG00000006169	AAM12239	1:1	796474
ENSPANG00000007823	AAC50500	1:1	661722
ENSPANG00000024159	BAB15770	1:1	818660
ENSPANG00000019533	AAC09360	1:1	828145
ENSPANG00000004804	AAH34589	1:1	515516
ENSPANG00000017838	AAD52608	1:1	803147
ENSPANG00000011146	ENSG00000211454.13	1:1	798331
ENSPANG00000008742	AAD02195	1:1	
ENSPANG00000013125	AAC52104	1:1	798245
ENSPANG00000011018	AAH15324	1:1	829280
ENSPANG00000006230	EAW94891	1:1	
ENSPANG00000017808	AAH12037	1:1	828412
ENSPANG00000019806	AAA92622	1:1	657342
ENSPANG00000005353	AAH53600	1:1	671343
ENSPANG00000021158	AAH30960	1:1	795713
ENSPANG00000000487	BAA32304	1:1	642396
ENSPANG00000025665	AAF36541	1:1	823111
ENSPANG00000004179	AAA36549	1:1	823119
ENSPANG00000004178	AAC28886	1:1	823113
ENSPANG00000011017	AAD51390	1:1	
ENSPANG00000006367	ENSG00000158786.4	1:1	823109
ENSPANG00000006167	CAI20258	1:1	823116
ENSPANG00000005363	AAH47428	1:1	791491
ENSPANG00000016299	AAI01379	1:1	842334
ENSPANG00000023564	AAO49802	1:1	304119
ENSPANG00000019674	AAH10101	1:1	816049
ENSPANG00000006289	AAI42611	1:1	798780
ENSPANG00000018590	AAA57254	1:1	816206
ENSPANG00000015168	AAH09534	1:1	753891
ENSPANG00000023662	AAH02594	1:1	850960
ENSPANG00000025491	AAD01428	1:1	549038
ENSPANG00000020849	BAC85974	1:1	813052
ENSPANG00000009567	AAF14871	1:1	518486
ENSPANG00000017237	ENSG00000075151.20	1:1	550779
ENSPANG00000015888	AAD21221	1:1	851872
ENSPANG00000015887	AAB59378	1:1	654788
ENSPANG00000003131	ENSG00000076864.19	1:1	671265
ENSPANG00000017055	AAH07326	1:1	736846
ENSPANG00000017235	AAI46861	1:1	785619
ENSPANG00000008046	AAA52699	1:1	550405
ENSPANG00000011827	AAA36482	1:m	551329
ENSPANG00000011827	AAA66350	1:m	
ENSPANG00000011826	AAG38658	1:1	843675
ENSPANG00000018749	BAA32323	1:1	551621
ENSPANG00000018751	AAH38796	1:1	552541
ENSPANG00000023233	AAD32626	1:1	799540
ENSPANG00000024089	AAH09016	1:1	553484
ENSPANG00000017892	AAC41692	1:1	549873
ENSPANG00000017803	AAA74244	1:1	549130
ENSPANG00000018748	ENSG00000215906.8	1:1	722053
ENSPANG00000018824	ENSG00000227868.5	1:1	719447
ENSPANG00000017802	AAH16639	1:1	538653
ENSPANG00000011015	AAH33219	1:1	813296
ENSPANG00000016415	AAA35491	1:1	657347
ENSPANG00000007691	AAC39540	1:1	548625
ENSPANG00000018160	AAH56400	1:1	553947
ENSPANG00000021436	AAH41613	1:1	798663
ENSPANG00000026395	AAH52305	1:1	734479
ENSPANG00000015167	AAA16890	1:1	734856
ENSPANG00000005408	AAH03107	1:1	842190
ENSPANG00000020341	AAC15856	1:1	865638
ENSPANG00000005407	AAF91232	1:1	809130
ENSPANG00000014433	AAC72844	1:1	833703
ENSPANG00000018747	AAB86498	1:1	546839
ENSPANG00000010869	AAA92733	1:1	771291
ENSPANG00000006868	AAA35519	1:1	755961
ENSPANG00000025470	AAH69722	1:1	825420
ENSPANG00000014462	AAF36128	1:1	263462
ENSPANG00000021680	AAC26727	1:1	550043
ENSPANG00000003129	AAH14671	1:1	792439
ENSPANG00000021938	AAG22073	1:1	303294
ENSPANG00000014431	AAI40873	1:1	782689
ENSPANG00000024748	AAH36890	1:1	753163
ENSPANG00000023479	AAH17650	1:1	795229
ENSPANG00000005051	AAH01265	1:1	523056
ENSPANG00000005865	AAF01684	1:1	847509
ENSPANG00000010194	ENSG00000133226.16	1:1	548317
ENSPANG00000023168	AAD26136	1:1	839874
ENSPANG00000008140	AAA86465	1:1	800154
ENSPANG00000008139	AAG42073	1:1	842310
ENSPANG00000008896	AAG44543	1:1	551832
ENSPANG00000005864	AAD17754	1:1	814526
ENSPANG00000010026	AAA02679	1:m	
ENSPANG00000010026	ENSG00000188672.17	1:m	507399
ENSPANG00000000594	AAH32427	1:1	549991
ENSPANG00000012319	AAH29770	1:1	816087
ENSPANG00000009808	AAF97058	1:1	526736
ENSPANG00000020847	ENSG00000162430.16	1:1	842269
ENSPANG00000005970	AAH17175	1:1	265567
ENSPANG00000008189	AAH00209	1:1	774565
ENSPANG00000001704	AAH34015	1:1	270688
ENSPANG00000010315	AAA59971	1:1	777271
ENSPANG00000005746	AAC39707	1:1	698237
ENSPANG00000001282	AAC51141	1:1	531256
ENSPANG00000020224	AAH06251	1:1	810849
ENSPANG00000005628	AAH80529	1:1	515010
ENSPANG00000013872	AAH28713	1:1	555576
ENSPANG00000011846	AAH25658	1:1	800233
ENSPANG00000020223	AAC80558	1:1	675717
ENSPANG00000012398	ENSG00000188782.8	1:1	774024
ENSPANG00000008187	AAH19902	1:1	800849
ENSPANG00000008186	AAG41412	1:1	551523
ENSPANG00000011558	AAH38106	1:1	650953
ENSPANG00000013297	AAH00644	1:1	310039
ENSPANG00000000188	ENSG00000176092.13	1:1	266123
ENSPANG00000022867	AAH28731	1:1	761074
ENSPANG00000009841	AAH28566	1:1	553174
ENSPANG00000005607	AAH03643	1:1	
ENSPANG00000020222	AAC82497	1:1	550087
ENSPANG00000020845	AAF75765	1:1	549058
ENSPANG00000002392	AAH13568	1:1	834734
ENSPANG00000011011	AAH66776	1:1	514632
ENSPANG00000023588	AAA59546	1:1	499507
ENSPANG00000005722	AAH07815	1:1	810422
ENSPANG00000007984	AAH07767	1:1	804729
ENSPANG00000002391	AAC41998	1:1	273842
ENSPANG00000019007	AAD30517	1:1	748277
ENSPANG00000023562	AAH33143	1:1	834977
ENSPANG00000018909	AAH69216	1:1	709570
ENSPANG00000007821	AAH12790	1:1	831764
ENSPANG00000009875	AAA59867	1:m	
ENSPANG00000009875	ENSG00000185088.13	1:m	860332
ENSPANG00000008666	AAH32523	1:1	720797
ENSPANG00000018881	ENSG00000186501.14	1:1	805557
ENSPANG00000006133	AAD05304	1:1	856172
ENSPANG00000012868	AAH20731	1:1	557577
ENSPANG00000017456	ENSG00000174950.10	1:1	775985
ENSPANG00000001840	AAA64594	1:1	744924
ENSPANG00000013871	AAH40943	1:1	550529
ENSPANG00000006132	AAB50205	1:1	794915
ENSPANG00000016682	AAA52451	1:1	553852
ENSPANG00000000246	AAC50159	1:1	280400
ENSPANG00000000247	AAH25768	1:1	853907
ENSPANG00000007130	AAH46999	1:1	795549
ENSPANG00000009183	AAA64749	1:1	850687
ENSPANG00000005205	AAC16284	1:1	754807
ENSPANG00000017991	AAA36560	1:1	850510
ENSPANG00000007129	AAH14444	1:1	679171
ENSPANG00000007916	AAH13379	1:1	795302
ENSPANG00000016511	AAB42066	1:1	748438
ENSPANG00000006117	AAA60001	1:1	270762
ENSPANG00000018327	AAF97495	n:1	828060
ENSPANG00000012598	AAH13304	1:1	785596
ENSPANG00000006507	AAH02694	1:1	801429
ENSPANG00000022866	AAG35507	1:1	549631
ENSPANG00000016019	AAH00680	1:1	548934
ENSPANG00000022039	AAC50600	1:1	553206
ENSPANG00000018743	AAD39355	1:1	828658
ENSPANG00000006550	AAD42861	1:1	777239
ENSPANG00000024951	AAA18789	1:1	657354
ENSPANG00000021937	AAA36649	1:1	552396
ENSPANG00000007687	AAD34058	1:1	
ENSPANG00000011555	AAB07074	1:1	762140
ENSPANG00000016577	AAA63904	1:1	804103
ENSPANG00000016018	AAA74018	1:1	762205
ENSPANG00000008025	AAK39969	1:1	554630
ENSPANG00000016338	EAX07632	1:1	551082
ENSPANG00000006010	AAH96707	1:1	787427
ENSPANG00000017889	AAC64084	1:1	547093
ENSPANG00000016167	ENSG00000121766.15	1:1	552433
ENSPANG00000000127	AAB02555	1:1	741046
ENSPANG00000017233	AAH84580	1:1	738169
ENSPANG00000017800	AAG33699	1:1	767905
ENSPANG00000005576	AAH02773	1:1	
ENSPANG00000025216	AAA58427	1:1	555161
ENSPANG00000005575	AAH09035	1:1	266120
ENSPANG00000017826	AAH39870	1:1	557820
ENSPANG00000008254	AAA90979	1:1	783947
ENSPANG00000023230	AAA59990	1:1	549537
ENSPANG00000016297	BAB14530	1:1	823090
ENSPANG00000007649	AAC15233	1:1	515825
ENSPANG00000020220	AAH29686	1:1	550790
ENSPANG00000015080	AAH22848	1:1	809521
ENSPANG00000016017	AAH98250	1:1	310395
ENSPANG00000015003	AAG23751	1:1	832856
ENSPANG00000010063	AAC50224	1:1	546966
ENSPANG00000016296	AAH04269	1:1	827884
ENSPANG00000007204	AAA18225	1:1	551206
ENSPANG00000007203	AAC50475	1:1	
ENSPANG00000005802	AAH07904	1:1	
ENSPANG00000015079	EAX07533	1:1	693798
ENSPANG00000025215	AAH35354	1:1	549609
ENSPANG00000005350	AAH26322	1:1	835376
ENSPANG00000016510	ENSG00000254553.1	1:1	818492
ENSPANG00000019096	ENSG00000160062.14	1:1	551471
ENSPANG00000024949	AAI19701	1:1	807335
ENSPANG00000009223	BAA96046	1:1	550539
ENSPANG00000009804	AAB39406	1:1	860255
ENSPANG00000007507	AAH15175	1:1	308515
ENSPANG00000010637	ENSG00000160097.15	1:1	776835
ENSPANG00000018294	AAH01777	1:1	549372
ENSPANG00000007647	AAH01418	1:1	802974
ENSPANG00000025214	AAH20595	1:1	496317
ENSPANG00000023826	AAB41790	1:1	864438
ENSPANG00000013367	AAH10449	1:1	809263
ENSPANG00000015281	AAH01222	1:1	807652
ENSPANG00000010244	AAI04780	1:1	550434
ENSPANG00000010025	AAH15450	1:1	550255
ENSPANG00000005573	AAH08827	1:1	752247
ENSPANG00000010868	AAH31871	1:1	265970
ENSPANG00000017958	AAH21180	1:1	551233
ENSPANG00000019095	AAH07637	1:1	727401
ENSPANG00000005592	AAC95472	1:1	748476
ENSPANG00000021575	AAC95471	1:1	304882
ENSPANG00000005195	AAA52558	1:1	828855
ENSPANG00000017989	AAH11880	1:1	307606
ENSPANG00000018879	AAD20042	1:1	844199
ENSPANG00000019714	AAH29439	1:1	827844
ENSPANG00000007234	AAD15797	1:1	304135
ENSPANG00000020898	CAD97777	1:1	759510
ENSPANG00000005380	CAA34747	1:1	550411
ENSPANG00000011410	AAH12093	1:1	266126
ENSPANG00000010535	AAD05028	1:1	831372
ENSPANG00000017888	AAD05029	1:1	732957
ENSPANG00000004801	AAH41175	1:1	808749
ENSPANG00000007342	AAI01837	1:1	795166
ENSPANG00000023261	AAH26909	1:1	755700
ENSPANG00000023877	AAG24515	1:1	548135
ENSPANG00000007232	AAI52451	1:1	542654
ENSPANG00000009060	AAF00068	1:1	542655
ENSPANG00000007682	BAB14262	1:1	542656
ENSPANG00000010534	AAC09343	1:1	810700
ENSPANG00000010533	AAH14169	1:1	738853
ENSPANG00000011822	AAA62822	1:1	550328
ENSPANG00000013869	ENSG00000054116.11	1:1	862592
ENSPANG00000006397	AAG17244	1:1	550289
ENSPANG00000010532	AAD22034	1:1	751475
ENSPANG00000019295	ENSG00000214193.9	1:1	267243
ENSPANG00000023876	AAH06241	1:1	797420
ENSPANG00000026394	AAH05169	1:1	825095
ENSPANG00000023172	AAH07623	1:1	530503
ENSPANG00000009801	AAH18069	1:1	665412
ENSPANG00000009486	AAG44697	n:1	
ENSPANG00000004799	AAA63176	1:1	840596
ENSPANG00000002642	AAA36011	n:1	848505
ENSPANG00000005822	AAB30157	1:1	770483
ENSPANG00000011821	AAH05001	1:1	788592
ENSPANG00000023016	AAH16328	1:1	763381
ENSPANG00000016943	AAH27040	1:1	547674
ENSPANG00000025521	ENSG00000163879.10	1:1	831145
ENSPANG00000025285	AAC37588	1:1	841940
ENSPANG00000016776	AAI14967	1:1	844717
ENSPANG00000010241	AAH18109	1:1	759503
ENSPANG00000025284	AAH00703	1:1	829475
ENSPANG00000023477	EAX07322	1:1	550228
ENSPANG00000017578	AAH09952	1:1	648590
ENSPANG00000006487	AAH08984	1:1	790991
ENSPANG00000007644	AAH57819	1:1	740040
ENSPANG00000016211	AAH14454	1:1	794230
ENSPANG00000000705	AAA79207	1:1	530073
ENSPANG00000010240	AAC04466	1:1	553374
ENSPANG00000018634	AAD34089	1:1	825074
ENSPANG00000009765	AAA59965	1:1	803003
ENSPANG00000017086	AAG32662	1:1	693351
ENSPANG00000006813	AAP74559	n:m	830967
ENSPANG00000006813	AAB01360	n:m	
ENSPANG00000009484	AAB97309	1:1	547118
ENSPANG00000006227	AAG31158	1:1	552609
ENSPANG00000025518	AAI03880	1:1	738988
ENSPANG00000006453	AAH30827	1:1	548894
ENSPANG00000000575	AAC00006	1:1	549135
ENSPANG00000010056	AAP74559	n:m	
ENSPANG00000010056	AAB01360	n:m	830962
ENSPANG00000018125	AAG31324	1:1	866368
ENSPANG00000010238	AAA59878	1:1	849405
ENSPANG00000011715	AAH06353	1:1	547452
ENSPANG00000006452	AAA35507	1:1	
ENSPANG00000017273	AAA85337	1:1	824164
ENSPANG00000018124	AAC50396	1:1	766734
ENSPANG00000006394	AAI08667	1:1	260608
ENSPANG00000007506	AAC68866	1:1	
ENSPANG00000018450	AAH14512	1:1	549942
ENSPANG00000005886	AAH17498	1:1	268195
ENSPANG00000006664	AAH41873	1:1	268278
ENSPANG00000018123	AAH91518	1:1	270129
ENSPANG00000010023	AAH03103	1:1	800860
ENSPANG00000026473	AAC50816	1:1	548615
ENSPANG00000006225	AAD14680	1:1	710839
ENSPANG00000008319	AAH35496	1:1	277917
ENSPANG00000006392	AAH09408	1:1	865994
ENSPANG00000005801	AAH22037	1:1	774045
ENSPANG00000000436	AAA52340	1:1	790391
ENSPANG00000010311	AAI52564	1:1	829150
ENSPANG00000006448	AAC50416	1:1	816306
ENSPANG00000008252	AAA35915	1:1	816305
ENSPANG00000004657	AAH14182	1:1	761071
ENSPANG00000009482	AAH39737	1:1	830769
ENSPANG00000007738	AAH24186	1:1	813173
ENSPANG00000017228	AAI04939	1:1	832864
ENSPANG00000003497	AAX19141	1:1	551500
ENSPANG00000006391	AAC51927	1:1	547191
ENSPANG00000012914	AAH30524	1:1	736876
ENSPANG00000024088	AAG31018	1:1	834753
ENSPANG00000024744	AAH01508	1:1	656854
ENSPANG00000005202	ENSG00000274386.5	1:1	538863
ENSPANG00000000949	AAH29427	1:1	809428
ENSPANG00000009481	ENSG00000164011.17	1:1	562494
ENSPANG00000018326	AAH04443	1:1	848169
ENSPANG00000006390	AAA52571	1:1	547948
ENSPANG00000003496	AAA60287	n:1	
ENSPANG00000015351	EAX07115	1:1	495977
ENSPANG00000001327	ENSG00000243710.7	1:1	547959
ENSPANG00000013715	AAH16858	1:1	803572
ENSPANG00000006446	AAH41633	1:1	265585
ENSPANG00000007872	AAH38239	1:1	553534
ENSPANG00000009479	AAA69971	1:1	836133
ENSPANG00000020759	AAA19017	1:1	547611
ENSPANG00000025281	AAD34083	1:1	650974
ENSPANG00000009478	AAH17576	1:1	824252
ENSPANG00000002794	ENSG00000178922.16	1:1	710445
ENSPANG00000017083	AAH48768	1:1	553496
ENSPANG00000013120	AAH02558	1:1	685575
ENSPANG00000023558	AAA35778	1:1	805153
ENSPANG00000026367	AAC98690	1:1	730703
ENSPANG00000013153	AAF73471	1:1	846979
ENSPANG00000007643	AAC18086	1:1	863031
ENSPANG00000023941	ENSG00000117410.13	1:1	797686
ENSPANG00000023944	AAC39733	1:1	847312
ENSPANG00000006221	AAH33868	1:1	712503
ENSPANG00000024685	AAH49844	1:1	716393
ENSPANG00000019272	AAF87079	1:1	
ENSPANG00000005800	AAH34221	1:1	
ENSPANG00000023474	AAH64520	1:1	516399
ENSPANG00000001766	AAH26115	1:1	823289
ENSPANG00000015212	AAC27660	1:1	553708
ENSPANG00000009318	AAI01824	1:1	
ENSPANG00000021434	AAC50637	1:1	549010
ENSPANG00000011287	AAH92499	1:1	740947
ENSPANG00000006007	BAG65396	1:1	555340
ENSPANG00000006657	AAF91351	1:1	547252
ENSPANG00000022037	AAH19105	1:1	739665
ENSPANG00000000351	AAA61258	1:1	679003
