mouse_ID	drosophila_ID	orthotype	OMAgroup
ENSMUSG00000019987.9	FBgn0023535	n:1	856719
ENSMUSG00000019792.8	FBgn0037250	1:1	772080
ENSMUSG00000019791.12	FBgn0054015	1:1	714499
ENSMUSG00000039697.16	FBgn0013576	n:1	770993
ENSMUSG00000069670.8	FBgn0085442	n:1	787425
ENSMUSG00000019787.9	FBgn0033863	1:1	
ENSMUSG00000039552.14	FBgn0034957	n:1	816006
ENSMUSG00000019782.10	FBgn0039163	1:1	805520
ENSMUSG00000039480.14	FBgn0035204	1:1	726861
ENSMUSG00000019779.15	FBgn0264959	n:1	549465
ENSMUSG00000063953.3	FBgn0019932	n:1	
ENSMUSG00000019843.14	FBgn0264959	n:1	
ENSMUSG00000019838.11	FBgn0001296	n:1	547215
ENSMUSG00000038510.12	FBgn0038585	1:1	828918
ENSMUSG00000075232.5	FBgn0019932	n:1	802738
ENSMUSG00000063428.8	FBgn0033543	1:1	
ENSMUSG00000038446.8	FBgn0038927	1:1	547138
ENSMUSG00000019831.14	FBgn0041781	n:1	
ENSMUSG00000038417.4	FBgn0031611	1:1	693068
ENSMUSG00000019826.11	FBgn0003870	n:1	
ENSMUSG00000019822.12	FBgn0035421	1:1	846221
ENSMUSG00000038332.13	FBgn0034897	n:1	785595
ENSMUSG00000071324.11	FBgn0052668	1:1	750783
ENSMUSG00000038302.14	FBgn0033734	1:1	857572
ENSMUSG00000019803.11	FBgn0003720	1:1	852947
ENSMUSG00000019802.13	FBgn0035771	1:1	739380
ENSMUSG00000038240.13	FBgn0037044	1:1	858654
ENSMUSG00000045886.7	FBgn0038387	n:1	856954
ENSMUSG00000019863.7	FBgn0260779	1:1	694718
ENSMUSG00000019864.14	FBgn0031500	1:1	786336
ENSMUSG00000038160.7	FBgn0029943	1:1	703497
ENSMUSG00000019849.11	FBgn0032242	1:m	763670
ENSMUSG00000019849.11	FBgn0032969	1:m	
ENSMUSG00000038822.15	FBgn0261931	1:1	
ENSMUSG00000038774.9	FBgn0038344	1:1	823914
ENSMUSG00000019893.13	FBgn0003366	1:1	805618
ENSMUSG00000019857.7	FBgn0029094	n:1	840865
ENSMUSG00000003746.16	FBgn0259170	n:1	
ENSMUSG00000047669.8	FBgn0002775	n:1	
ENSMUSG00000019877.10	FBgn0028399	n:1	
ENSMUSG00000019874.11	FBgn0037913	1:1	
ENSMUSG00000019920.17	FBgn0020249	n:1	548905
ENSMUSG00000003226.7	FBgn0039302	1:1	859097
ENSMUSG00000037990.18	FBgn0040294	n:1	
ENSMUSG00000019917.10	FBgn0026361	n:m	
ENSMUSG00000019917.10	FBgn0014029	n:m	
ENSMUSG00000019916.14	FBgn0039776	n:1	
ENSMUSG00000069622.4	FBgn0058042	n:1	670970
ENSMUSG00000009647.13	FBgn0042185	1:1	818043
ENSMUSG00000020111.15	FBgn0031893	1:1	755428
ENSMUSG00000020109.13	FBgn0038195	n:1	857769
ENSMUSG00000020108.4	FBgn0041094	1:1	808001
ENSMUSG00000044475.14	FBgn0033475	1:1	752838
ENSMUSG00000020099.8	FBgn0034013	n:1	
ENSMUSG00000020097.14	FBgn0010591	1:1	824799
ENSMUSG00000020091.15	FBgn0261560	n:1	
ENSMUSG00000037151.8	FBgn0030357	1:1	548080
ENSMUSG00000020089.8	FBgn0016687	1:1	815432
ENSMUSG00000020088.10	FBgn0038947	n:1	775021
ENSMUSG00000020079.15	FBgn0037232	1:1	738032
ENSMUSG00000036955.16	FBgn0031659	1:1	703467
ENSMUSG00000036875.15	FBgn0030170	1:1	784424
ENSMUSG00000020070.18	FBgn0051064	n:1	
ENSMUSG00000020064.9	FBgn0035207	n:1	739653
ENSMUSG00000048185.5	FBgn0044020	n:1	
ENSMUSG00000057134.5	FBgn0035839	1:1	658811
ENSMUSG00000019944.14	FBgn0036980	n:1	
ENSMUSG00000019942.13	FBgn0004106	1:1	547096
ENSMUSG00000014329.14	FBgn0000182	1:1	857244
ENSMUSG00000003923.14	FBgn0038805	1:1	549825
ENSMUSG00000037710.8	FBgn0062442	n:1	
ENSMUSG00000020175.14	FBgn0035255	n:1	
ENSMUSG00000033416.15	FBgn0040375	1:1	671432
ENSMUSG00000033427.14	FBgn0037513	1:1	732110
ENSMUSG00000020180.10	FBgn0023167	1:1	793363
ENSMUSG00000006345.10	FBgn0025837	1:m	
ENSMUSG00000006345.10	FBgn0030932	1:m	
ENSMUSG00000092360.1	FBgn0050000	n:m	
ENSMUSG00000092360.1	FBgn0050005	n:m	839983
ENSMUSG00000092360.1	FBgn0030484	n:m	
ENSMUSG00000092360.1	FBgn0031117	n:m	
ENSMUSG00000001665.11	FBgn0050000	n:m	
ENSMUSG00000001665.11	FBgn0050005	n:m	
ENSMUSG00000001665.11	FBgn0030484	n:m	839914
ENSMUSG00000001665.11	FBgn0031117	n:m	
ENSMUSG00000001663.10	FBgn0050000	n:m	
ENSMUSG00000001663.10	FBgn0050005	n:m	
ENSMUSG00000001663.10	FBgn0030484	n:m	
ENSMUSG00000001663.10	FBgn0031117	n:m	
ENSMUSG00000009093.7	FBgn0050000	n:m	
ENSMUSG00000009093.7	FBgn0050005	n:m	
ENSMUSG00000009093.7	FBgn0030484	n:m	
ENSMUSG00000009093.7	FBgn0031117	n:m	
ENSMUSG00000033318.7	FBgn0050000	n:m	
ENSMUSG00000033318.7	FBgn0050005	n:m	
ENSMUSG00000033318.7	FBgn0030484	n:m	
ENSMUSG00000033318.7	FBgn0031117	n:m	
ENSMUSG00000009092.5	FBgn0038438	n:1	
ENSMUSG00000000902.13	FBgn0011715	1:1	844761
ENSMUSG00000020231.15	FBgn0024806	n:1	
ENSMUSG00000001120.15	FBgn0262737	n:1	
ENSMUSG00000001436.15	FBgn0037845	1:1	814832
ENSMUSG00000020260.9	FBgn0027791	1:1	856105
ENSMUSG00000020262.15	FBgn0026086	1:1	809891
ENSMUSG00000020265.16	FBgn0264922	n:1	
ENSMUSG00000112241.1	FBgn0264922	n:1	
ENSMUSG00000009293.17	FBgn0267384	1:1	546992
ENSMUSG00000112170.1	FBgn0002865	n:1	
ENSMUSG00000095721.1	FBgn0002865	n:1	
ENSMUSG00000096131.3	FBgn0085353	n:1	
ENSMUSG00000096380.1	FBgn0085353	n:1	
ENSMUSG00000112653.1	FBgn0046873	n:1	
ENSMUSG00000020277.10	FBgn0003071	n:1	
ENSMUSG00000032834.11	FBgn0033557	1:1	778452
ENSMUSG00000000374.8	FBgn0038303	1:1	768999
ENSMUSG00000001211.15	FBgn0036622	n:m	
ENSMUSG00000001211.15	FBgn0036623	n:m	860435
ENSMUSG00000032788.15	FBgn0085484	1:1	775280
ENSMUSG00000005357.9	FBgn0026439	1:1	507670
ENSMUSG00000052151.12	FBgn0041087	n:1	
ENSMUSG00000020312.12	FBgn0015296	n:1	
ENSMUSG00000035963.8	FBgn0039104	1:1	550214
ENSMUSG00000020329.12	FBgn0261938	1:1	656547
ENSMUSG00000035890.9	FBgn0037653	n:1	772835
ENSMUSG00000006498.16	FBgn0011224	n:1	
ENSMUSG00000013833.15	FBgn0034707	1:1	804194
ENSMUSG00000035754.8	FBgn0023514	1:1	
ENSMUSG00000004667.18	FBgn0033571	1:1	858986
ENSMUSG00000003072.15	FBgn0028342	1:1	860984
ENSMUSG00000020153.14	FBgn0039669	1:m	546856
ENSMUSG00000020153.14	FBgn0030718	1:m	
ENSMUSG00000069565.12	FBgn0004838	1:1	
ENSMUSG00000063457.14	FBgn0034138	1:1	861041
ENSMUSG00000035478.14	FBgn0027950	1:1	774886
ENSMUSG00000003346.14	FBgn0053096	n:1	
ENSMUSG00000113640.1	FBgn0034360	1:1	724684
ENSMUSG00000003345.16	FBgn0250823	n:1	547709
ENSMUSG00000003348.10	FBgn0259482	n:1	
ENSMUSG00000020198.8	FBgn0001087	1:1	515692
ENSMUSG00000035215.9	FBgn0261068	1:1	761392
ENSMUSG00000020219.7	FBgn0083968	1:m	851512
ENSMUSG00000020219.7	FBgn0036204	1:m	
ENSMUSG00000062075.13	FBgn0002525	n:m	550856
ENSMUSG00000062075.13	FBgn0010397	n:m	
ENSMUSG00000048240.14	FBgn0004921	n:1	
ENSMUSG00000004937.6	FBgn0032640	n:1	
ENSMUSG00000035027.18	FBgn0010269	n:1	547496
ENSMUSG00000034994.10	FBgn0000559	1:1	863711
ENSMUSG00000034917.8	FBgn0262614	n:1	
ENSMUSG00000034889.8	FBgn0031114	1:1	855143
ENSMUSG00000034872.6	FBgn0010504	n:1	
ENSMUSG00000020232.17	FBgn0026582	1:1	548967
ENSMUSG00000020235.16	FBgn0262699	1:1	547655
ENSMUSG00000078440.10	FBgn0261479	n:1	547011
ENSMUSG00000113262.1	FBgn0261479	n:1	
ENSMUSG00000020238.14	FBgn0032217	1:1	739554
ENSMUSG00000034781.5	FBgn0004435	n:1	
ENSMUSG00000034748.16	FBgn0037802	1:1	653864
ENSMUSG00000112160.1	FBgn0022720	n:1	
ENSMUSG00000073427.4	FBgn0033934	1:1	
ENSMUSG00000034612.7	FBgn0032618	n:1	724610
ENSMUSG00000020256.14	FBgn0032945	1:1	661776
ENSMUSG00000034560.6	FBgn0030739	1:1	
ENSMUSG00000020034.7	FBgn0029820	n:1	
ENSMUSG00000034453.8	FBgn0004463	1:1	864213
ENSMUSG00000035620.15	FBgn0028292	n:1	696610
ENSMUSG00000020042.15	FBgn0264711	n:1	762141
ENSMUSG00000001785.13	FBgn0263510	1:1	828338
ENSMUSG00000001783.3	FBgn0032781	1:1	859826
ENSMUSG00000059602.14	FBgn0004575	n:1	550738
ENSMUSG00000020044.13	FBgn0025879	n:1	
ENSMUSG00000020048.13	FBgn0039562	1:1	824984
ENSMUSG00000112743.1	FBgn0033426	n:1	726859
ENSMUSG00000054027.8	FBgn0033426	n:1	
ENSMUSG00000020051.17	FBgn0001208	1:1	816686
ENSMUSG00000035351.16	FBgn0039301	1:1	835175
ENSMUSG00000020056.16	FBgn0031979	1:1	843761
ENSMUSG00000020057.2	FBgn0025624	n:1	787663
ENSMUSG00000060904.14	FBgn0000115	1:1	775022
ENSMUSG00000004356.8	FBgn0034734	1:1	845058
ENSMUSG00000035189.16	FBgn0036235	n:1	796217
ENSMUSG00000019935.16	FBgn0031424	n:1	
ENSMUSG00000069539.11	FBgn0039623	1:1	516208
ENSMUSG00000019948.4	FBgn0011741	1:1	784104
ENSMUSG00000019951.10	FBgn0083962	1:1	
ENSMUSG00000058589.14	FBgn0039075	n:1	
ENSMUSG00000061904.12	FBgn0034497	1:m	860523
ENSMUSG00000061904.12	FBgn0026409	1:m	
ENSMUSG00000015889.8	FBgn0032721	1:1	797480
ENSMUSG00000020018.6	FBgn0000426	1:1	803790
ENSMUSG00000036112.15	FBgn0025117	1:1	863503
ENSMUSG00000020022.16	FBgn0031436	1:1	849868
ENSMUSG00000062981.5	FBgn0033480	1:1	848313
ENSMUSG00000074781.5	FBgn0028913	1:m	
ENSMUSG00000074781.5	FBgn0000173	1:m	
ENSMUSG00000020029.6	FBgn0036111	n:1	800067
ENSMUSG00000096486.1	FBgn0031941	n:m	831357
ENSMUSG00000096486.1	FBgn0010612	n:m	
ENSMUSG00000019943.10	FBgn0259214	n:1	523654
ENSMUSG00000019952.15	FBgn0036354	n:1	
ENSMUSG00000090035.3	FBgn0050463	1:1	
ENSMUSG00000019960.8	FBgn0036844	n:1	
ENSMUSG00000046934.5	FBgn0261955	n:1	
ENSMUSG00000036676.14	FBgn0020312	1:1	549844
ENSMUSG00000019971.10	FBgn0035168	1:1	548748
ENSMUSG00000091779.8	FBgn0010774	n:1	
ENSMUSG00000097427.5	FBgn0010774	n:1	
ENSMUSG00000097878.5	FBgn0010774	n:1	
ENSMUSG00000097550.7	FBgn0010774	n:1	
ENSMUSG00000094144.8	FBgn0010774	n:1	
ENSMUSG00000095022.8	FBgn0010774	n:1	
ENSMUSG00000036019.8	FBgn0028481	1:m	549747
ENSMUSG00000036019.8	FBgn0051690	1:m	
ENSMUSG00000036009.16	FBgn0053964	1:1	849920
ENSMUSG00000053825.15	FBgn0046704	n:1	549350
ENSMUSG00000035948.13	FBgn0039184	1:1	546879
ENSMUSG00000019907.10	FBgn0005536	1:1	
ENSMUSG00000035798.14	FBgn0259824	1:1	752806
ENSMUSG00000020189.14	FBgn0261550	n:1	859253
ENSMUSG00000058799.15	FBgn0015268	n:1	813369
ENSMUSG00000063334.16	FBgn0020305	1:1	811006
ENSMUSG00000020213.6	FBgn0052679	n:1	
ENSMUSG00000112611.1	FBgn0052679	n:1	
ENSMUSG00000035681.7	FBgn0003386	n:1	710835
ENSMUSG00000020132.10	FBgn0039966	1:1	522111
ENSMUSG00000069520.6	FBgn0036353	1:1	834628
ENSMUSG00000020154.10	FBgn0004368	1:m	
ENSMUSG00000020154.10	FBgn0004370	1:m	527514
ENSMUSG00000034024.8	FBgn0030086	1:1	636215
ENSMUSG00000020171.8	FBgn0031873	1:1	499393
ENSMUSG00000020177.12	FBgn0034092	n:m	
ENSMUSG00000020177.12	FBgn0004431	n:m	
ENSMUSG00000020177.12	FBgn0004425	n:m	
ENSMUSG00000020177.12	FBgn0004426	n:m	756395
ENSMUSG00000020177.12	FBgn0004427	n:m	
ENSMUSG00000020177.12	FBgn0004428	n:m	
ENSMUSG00000020177.12	FBgn0004429	n:m	
ENSMUSG00000020177.12	FBgn0004430	n:m	
ENSMUSG00000020177.12	FBgn0029765	n:m	
ENSMUSG00000069516.8	FBgn0034092	n:m	
ENSMUSG00000069516.8	FBgn0004431	n:m	
ENSMUSG00000069516.8	FBgn0004425	n:m	
ENSMUSG00000069516.8	FBgn0004426	n:m	
ENSMUSG00000069516.8	FBgn0004427	n:m	
ENSMUSG00000069516.8	FBgn0004428	n:m	
ENSMUSG00000069516.8	FBgn0004429	n:m	
ENSMUSG00000069516.8	FBgn0004430	n:m	
ENSMUSG00000069516.8	FBgn0029765	n:m	
ENSMUSG00000069515.6	FBgn0034092	n:m	
ENSMUSG00000069515.6	FBgn0004431	n:m	
ENSMUSG00000069515.6	FBgn0004425	n:m	756401
ENSMUSG00000069515.6	FBgn0004426	n:m	
ENSMUSG00000069515.6	FBgn0004427	n:m	
ENSMUSG00000069515.6	FBgn0004428	n:m	
ENSMUSG00000069515.6	FBgn0004429	n:m	
ENSMUSG00000069515.6	FBgn0004430	n:m	
ENSMUSG00000069515.6	FBgn0029765	n:m	
ENSMUSG00000055531.12	FBgn0035872	1:1	547974
ENSMUSG00000052798.13	FBgn0027868	1:1	839213
ENSMUSG00000052681.8	FBgn0004636	n:1	
ENSMUSG00000112216.1	FBgn0265574	n:1	
ENSMUSG00000112252.1	FBgn0265574	n:1	
ENSMUSG00000112814.1	FBgn0265574	n:1	
ENSMUSG00000112419.1	FBgn0265574	n:1	
ENSMUSG00000112027.1	FBgn0265574	n:1	
ENSMUSG00000112781.1	FBgn0265574	n:1	
ENSMUSG00000112495.1	FBgn0265574	n:1	
ENSMUSG00000112919.1	FBgn0265574	n:1	
ENSMUSG00000020114.12	FBgn0027568	1:1	844848
ENSMUSG00000034813.17	FBgn0029830	n:1	830650
ENSMUSG00000051236.13	FBgn0267376	1:1	
ENSMUSG00000020218.11	FBgn0003390	1:1	548304
ENSMUSG00000034707.7	FBgn0033836	1:m	748751
ENSMUSG00000034707.7	FBgn0260475	1:m	
ENSMUSG00000020123.6	FBgn0039396	n:1	
ENSMUSG00000034613.12	FBgn0031194	n:1	849833
ENSMUSG00000034602.15	FBgn0031985	1:1	714297
ENSMUSG00000020105.9	FBgn0034083	n:1	
ENSMUSG00000025432.11	FBgn0010225	n:1	
ENSMUSG00000040521.11	FBgn0032646	1:1	853950
ENSMUSG00000006732.14	FBgn0025629	1:1	858158
ENSMUSG00000006728.12	FBgn0016131	n:1	
ENSMUSG00000006736.9	FBgn0039465	n:1	
ENSMUSG00000019467.15	FBgn0034194	1:1	
ENSMUSG00000074657.5	FBgn0001308	n:1	548155
ENSMUSG00000025410.10	FBgn0021825	1:1	738158
ENSMUSG00000025409.14	FBgn0030034	1:1	
ENSMUSG00000040354.14	FBgn0034401	1:1	855987
ENSMUSG00000040249.15	FBgn0053087	1:1	550111
ENSMUSG00000074639.6	FBgn0033679	n:m	
ENSMUSG00000074639.6	FBgn0262112	n:m	
ENSMUSG00000040134.8	FBgn0033679	n:m	
ENSMUSG00000040134.8	FBgn0262112	n:m	
ENSMUSG00000025395.14	FBgn0011762	1:1	864610
ENSMUSG00000071072.12	FBgn0037728	1:1	805904
ENSMUSG00000025393.12	FBgn0010217	1:1	735948
ENSMUSG00000044005.13	FBgn0261625	1:1	674148
ENSMUSG00000025389.7	FBgn0033635	n:1	
ENSMUSG00000039994.15	FBgn0038118	1:1	852486
ENSMUSG00000005682.9	FBgn0033352	1:1	658842
ENSMUSG00000025381.3	FBgn0263260	1:1	856504
ENSMUSG00000005683.8	FBgn0261955	n:1	863127
ENSMUSG00000039914.6	FBgn0033086	n:1	864033
ENSMUSG00000039878.13	FBgn0036461	1:1	789347
ENSMUSG00000025373.14	FBgn0036546	1:1	271210
ENSMUSG00000025369.15	FBgn0002783	n:1	550011
ENSMUSG00000090841.2	FBgn0004687	n:1	
ENSMUSG00000039824.4	FBgn0004687	n:1	547262
ENSMUSG00000025364.13	FBgn0035630	1:1	
ENSMUSG00000025362.6	FBgn0261597	1:1	859601
ENSMUSG00000049858.8	FBgn0030966	1:1	800889
ENSMUSG00000000711.3	FBgn0014010	n:1	
ENSMUSG00000025358.16	FBgn0004107	n:1	
ENSMUSG00000064030.15	FBgn0034918	1:1	803515
ENSMUSG00000078427.3	FBgn0037700	n:1	834125
ENSMUSG00000025353.5	FBgn0037110	n:1	
ENSMUSG00000090247.7	FBgn0050077	1:1	714227
ENSMUSG00000025348.9	FBgn0004456	n:1	845449
ENSMUSG00000020457.13	FBgn0010339	1:1	490078
ENSMUSG00000020448.16	FBgn0052847	1:1	
ENSMUSG00000034570.12	FBgn0030761	1:1	
ENSMUSG00000020435.17	FBgn0020626	n:1	497407
ENSMUSG00000047205.12	FBgn0039742	n:1	709075
ENSMUSG00000020430.12	FBgn0032138	1:1	818187
ENSMUSG00000019368.13	FBgn0035146	n:1	
ENSMUSG00000054986.13	FBgn0035146	n:1	
ENSMUSG00000004748.5	FBgn0030883	1:1	796288
ENSMUSG00000003585.13	FBgn0035146	n:1	530545
ENSMUSG00000002129.11	FBgn0266917	1:1	842396
ENSMUSG00000034412.13	FBgn0037917	1:1	548327
ENSMUSG00000020412.16	FBgn0024973	1:1	649714
ENSMUSG00000059534.8	FBgn0011227	1:1	830470
ENSMUSG00000009073.16	FBgn0086384	1:1	809656
ENSMUSG00000034285.15	FBgn0030724	n:1	705903
ENSMUSG00000034274.11	FBgn0034939	1:1	
ENSMUSG00000020396.8	FBgn0035241	1:1	
ENSMUSG00000009090.17	FBgn0010380	n:1	
ENSMUSG00000020477.10	FBgn0039159	1:1	795672
ENSMUSG00000020476.14	FBgn0036372	1:1	547632
ENSMUSG00000020475.3	FBgn0011270	n:m	691238
ENSMUSG00000020475.3	FBgn0014869	n:m	
ENSMUSG00000020471.11	FBgn0027903	1:1	792405
ENSMUSG00000020469.8	FBgn0002773	1:1	548797
ENSMUSG00000041798.15	FBgn0001187	1:m	
ENSMUSG00000041798.15	FBgn0001186	1:m	793274
ENSMUSG00000002741.9	FBgn0260858	1:1	778467
ENSMUSG00000057897.14	FBgn0264607	n:1	
ENSMUSG00000053838.14	FBgn0051251	1:1	748279
ENSMUSG00000004393.10	FBgn0001565	1:1	547019
ENSMUSG00000004394.12	FBgn0069242	n:m	498653
ENSMUSG00000004394.12	FBgn0053105	n:m	
ENSMUSG00000020456.17	FBgn0010352	n:1	864282
ENSMUSG00000041126.16	FBgn0001197	n:1	862324
ENSMUSG00000094483.2	FBgn0022361	n:1	
ENSMUSG00000020437.12	FBgn0086347	n:1	
ENSMUSG00000020413.11	FBgn0026417	n:1	843985
ENSMUSG00000020407.13	FBgn0034800	n:m	791983
ENSMUSG00000020407.13	FBgn0039464	n:m	
ENSMUSG00000020182.16	FBgn0000422	1:1	824801
ENSMUSG00000078974.10	FBgn0033691	1:m	793347
ENSMUSG00000078974.10	FBgn0031049	1:m	
ENSMUSG00000020122.16	FBgn0003731	n:1	852094
ENSMUSG00000033953.10	FBgn0015614	1:m	547133
ENSMUSG00000033953.10	FBgn0010014	1:m	
ENSMUSG00000078970.5	FBgn0036771	1:1	640838
ENSMUSG00000020116.7	FBgn0027334	1:1	857228
ENSMUSG00000045671.17	FBgn0020767	n:1	842380
ENSMUSG00000020152.7	FBgn0011742	1:1	784100
ENSMUSG00000020149.17	FBgn0016700	n:1	522090
ENSMUSG00000020134.13	FBgn0025574	n:1	844924
ENSMUSG00000020128.15	FBgn0011232	1:1	
ENSMUSG00000001891.16	FBgn0035978	1:1	835508
ENSMUSG00000020321.15	FBgn0262782	1:1	847394
ENSMUSG00000020319.9	FBgn0086698	1:1	
ENSMUSG00000042302.14	FBgn0034180	1:1	547738
ENSMUSG00000051650.10	FBgn0050037	1:1	
ENSMUSG00000044068.6	FBgn0031628	1:1	555091
ENSMUSG00000007739.10	FBgn0032444	1:1	636210
ENSMUSG00000020290.14	FBgn0020497	1:1	529351
ENSMUSG00000056342.16	FBgn0039214	1:1	845022
ENSMUSG00000020288.13	FBgn0032961	n:1	
ENSMUSG00000020283.5	FBgn0033812	1:1	801404
ENSMUSG00000020280.12	FBgn0031227	1:1	850196
ENSMUSG00000020273.13	FBgn0015949	n:1	
ENSMUSG00000032889.6	FBgn0031596	n:1	
ENSMUSG00000020464.15	FBgn0039846	1:1	866516
ENSMUSG00000020463.15	FBgn0024555	n:1	
ENSMUSG00000020462.14	FBgn0038170	1:1	
ENSMUSG00000020459.14	FBgn0039588	1:1	547330
ENSMUSG00000020460.15	FBgn0003942	1:1	754150
ENSMUSG00000020458.16	FBgn0053113	n:1	
ENSMUSG00000078157.1	FBgn0038286	n:1	
ENSMUSG00000020315.18	FBgn0250788	n:1	266010
ENSMUSG00000060923.5	FBgn0085190	n:m	
ENSMUSG00000060923.5	FBgn0025115	n:m	
ENSMUSG00000060923.5	FBgn0038363	n:m	
ENSMUSG00000020311.17	FBgn0032398	1:1	825454
ENSMUSG00000020289.15	FBgn0036397	1:1	794864
ENSMUSG00000044949.4	FBgn0264712	n:1	
ENSMUSG00000020272.8	FBgn0035001	n:1	
ENSMUSG00000020271.17	FBgn0023423	n:1	
ENSMUSG00000040594.19	FBgn0053180	n:1	
ENSMUSG00000020143.15	FBgn0015513	n:1	
ENSMUSG00000069910.2	FBgn0031549	1:1	
ENSMUSG00000056427.10	FBgn0264089	1:1	
ENSMUSG00000018846.8	FBgn0011205	n:1	
ENSMUSG00000018848.4	FBgn0027093	1:1	860590
ENSMUSG00000018849.6	FBgn0262127	n:1	839783
ENSMUSG00000049336.16	FBgn0004449	n:m	
ENSMUSG00000049336.16	FBgn0267001	n:m	
ENSMUSG00000007653.12	FBgn0010240	n:1	
ENSMUSG00000055415.7	FBgn0032120	n:1	
ENSMUSG00000020409.10	FBgn0039626	1:1	515583
ENSMUSG00000044707.7	FBgn0010317	1:1	
ENSMUSG00000041278.10	FBgn0038428	1:1	547935
ENSMUSG00000041231.15	FBgn0027526	1:1	860813
ENSMUSG00000057098.14	FBgn0001319	n:1	
ENSMUSG00000011254.16	FBgn0261882	1:1	713569
ENSMUSG00000069899.3	FBgn0037009	n:1	842630
ENSMUSG00000011256.16	FBgn0265140	n:1	
ENSMUSG00000020340.16	FBgn0038320	n:1	719148
ENSMUSG00000020397.15	FBgn0051390	1:1	730328
ENSMUSG00000020354.15	FBgn0025391	n:1	
ENSMUSG00000020372.15	FBgn0020618	1:1	546994
ENSMUSG00000046311.13	FBgn0022720	n:1	
ENSMUSG00000020346.16	FBgn0034521	1:1	850109
ENSMUSG00000020357.3	FBgn0032006	n:1	
ENSMUSG00000020362.13	FBgn0011725	n:1	
ENSMUSG00000020363.6	FBgn0027341	n:m	
ENSMUSG00000020363.6	FBgn0039580	n:m	
ENSMUSG00000020374.16	FBgn0037188	n:1	
ENSMUSG00000036644.15	FBgn0037074	n:1	
ENSMUSG00000036620.14	FBgn0036446	n:1	
ENSMUSG00000050567.16	FBgn0041188	1:1	
ENSMUSG00000020368.15	FBgn0015622	n:m	
ENSMUSG00000020368.15	FBgn0264077	n:m	
ENSMUSG00000007850.16	FBgn0259139	n:1	
ENSMUSG00000020375.9	FBgn0051064	n:1	550564
ENSMUSG00000020358.17	FBgn0263396	n:1	
ENSMUSG00000001056.3	FBgn0029148	1:1	861737
ENSMUSG00000001054.9	FBgn0034573	n:1	
ENSMUSG00000007777.9	FBgn0266724	n:1	
ENSMUSG00000036391.16	FBgn0033460	1:1	547204
ENSMUSG00000020386.5	FBgn0038947	n:1	
ENSMUSG00000020390.12	FBgn0004436	n:1	
ENSMUSG00000020349.4	FBgn0004177	n:1	547073
ENSMUSG00000036309.14	FBgn0025637	1:1	864700
ENSMUSG00000020402.11	FBgn0004363	n:1	
ENSMUSG00000020361.13	FBgn0026418	n:1	
ENSMUSG00000018239.9	FBgn0038389	1:1	548798
ENSMUSG00000044894.14	FBgn0036728	1:1	
ENSMUSG00000044352.6	FBgn0036302	1:1	
ENSMUSG00000018398.18	FBgn0026361	n:m	
ENSMUSG00000018398.18	FBgn0014029	n:m	
ENSMUSG00000018395.19	FBgn0004380	1:1	547904
ENSMUSG00000020380.16	FBgn0034728	1:1	547064
ENSMUSG00000018906.14	FBgn0039776	n:1	540076
ENSMUSG00000020333.17	FBgn0036821	n:1	547297
ENSMUSG00000052298.12	FBgn0044823	1:1	534336
ENSMUSG00000020267.6	FBgn0031459	1:1	
ENSMUSG00000049491.15	FBgn0032036	n:m	
ENSMUSG00000049491.15	FBgn0263776	n:m	
ENSMUSG00000020264.5	FBgn0032036	n:m	
