zebrafish_ID	baboon_ID	orthotype	OMAgroup
ENSDARG00000063140	ENSPANG00000026338	1:1	825202
ENSDARG00000044265	ENSPANG00000025153	1:1	830081
ENSDARG00000058226	ENSPANG00000025152	1:1	864439
ENSDARG00000058221	ENSPANG00000025759	1:1	677229
ENSDARG00000043757	ENSPANG00000025763	1:1	804568
ENSDARG00000060911	ENSPANG00000025770	1:1	
ENSDARG00000028523	ENSPANG00000025769	1:1	310498
ENSDARG00000063194	ENSPANG00000009917	1:1	818487
ENSDARG00000043732	ENSPANG00000021637	1:1	765196
ENSDARG00000094438	ENSPANG00000009950	n:m	
ENSDARG00000094438	ENSPANG00000004762	n:m	
ENSDARG00000043729	ENSPANG00000009950	n:m	
ENSDARG00000043729	ENSPANG00000004762	n:m	
ENSDARG00000043728	ENSPANG00000003299	1:1	549791
ENSDARG00000041982	ENSPANG00000012117	1:1	550172
ENSDARG00000063161	ENSPANG00000008456	1:1	831232
ENSDARG00000069420	ENSPANG00000014046	1:1	830609
ENSDARG00000102794	ENSPANG00000000148	1:1	
ENSDARG00000099840	ENSPANG00000006030	1:1	657479
ENSDARG00000098764	ENSPANG00000025746	1:1	548515
ENSDARG00000000804	ENSPANG00000013796	1:1	837306
ENSDARG00000000142	ENSPANG00000004377	1:1	854817
ENSDARG00000028661	ENSPANG00000025318	1:1	829154
ENSDARG00000011418	ENSPANG00000025324	1:1	670017
ENSDARG00000012275	ENSPANG00000017088	1:1	
ENSDARG00000024728	ENSPANG00000010312	1:1	
ENSDARG00000039601	ENSPANG00000015078	1:1	778433
ENSDARG00000006389	ENSPANG00000025520	1:1	
ENSDARG00000028096	ENSPANG00000006204	n:1	776343
ENSDARG00000103703	ENSPANG00000006204	n:1	
ENSDARG00000090996	ENSPANG00000025635	1:1	552263
ENSDARG00000021982	ENSPANG00000021586	1:1	817933
ENSDARG00000006257	ENSPANG00000025120	1:1	552733
ENSDARG00000076644	ENSPANG00000025119	n:1	710840
ENSDARG00000087779	ENSPANG00000025118	1:1	547556
ENSDARG00000033768	ENSPANG00000010964	1:1	719115
ENSDARG00000016769	ENSPANG00000018405	1:1	547335
ENSDARG00000002271	ENSPANG00000025072	1:1	
ENSDARG00000044282	ENSPANG00000025102	1:1	547028
ENSDARG00000063309	ENSPANG00000025110	n:1	799716
ENSDARG00000076560	ENSPANG00000019479	1:1	792942
ENSDARG00000018426	ENSPANG00000012208	1:1	661716
ENSDARG00000044298	ENSPANG00000010164	1:1	
ENSDARG00000044299	ENSPANG00000011682	1:1	552842
ENSDARG00000017229	ENSPANG00000006534	1:1	551156
ENSDARG00000044304	ENSPANG00000003082	1:1	
ENSDARG00000104573	ENSPANG00000007040	1:1	756815
ENSDARG00000046054	ENSPANG00000024518	1:1	552245
ENSDARG00000046053	ENSPANG00000004065	1:1	549179
ENSDARG00000060069	ENSPANG00000011667	1:1	662302
ENSDARG00000069472	ENSPANG00000014180	1:1	
ENSDARG00000103135	ENSPANG00000025347	1:1	546825
ENSDARG00000100292	ENSPANG00000025352	1:1	
ENSDARG00000078056	ENSPANG00000014062	1:1	784737
ENSDARG00000013871	ENSPANG00000004876	1:1	
ENSDARG00000005560	ENSPANG00000015907	1:1	
ENSDARG00000014058	ENSPANG00000019629	1:1	522185
ENSDARG00000025220	ENSPANG00000015785	1:1	696132
ENSDARG00000099844	ENSPANG00000024410	1:1	498834
ENSDARG00000039354	ENSPANG00000025645	1:1	498981
ENSDARG00000073721	ENSPANG00000019757	n:1	548842
ENSDARG00000014939	ENSPANG00000002292	1:1	542288
ENSDARG00000039345	ENSPANG00000023194	1:m	490078
ENSDARG00000039345	ENSPANG00000006353	1:m	
ENSDARG00000074858	ENSPANG00000000472	1:1	497969
ENSDARG00000010641	ENSPANG00000008669	1:1	
ENSDARG00000011743	ENSPANG00000025326	1:1	842075
ENSDARG00000077596	ENSPANG00000025333	1:1	762207
ENSDARG00000044183	ENSPANG00000008968	1:1	706044
ENSDARG00000006624	ENSPANG00000024529	1:1	813726
ENSDARG00000028067	ENSPANG00000000724	n:1	838432
ENSDARG00000032083	ENSPANG00000024528	1:1	817090
ENSDARG00000027687	ENSPANG00000011725	n:1	
ENSDARG00000043465	ENSPANG00000012407	n:1	
ENSDARG00000044015	ENSPANG00000008821	n:1	835154
ENSDARG00000005540	ENSPANG00000008979	1:1	843436
ENSDARG00000013110	ENSPANG00000020182	1:1	817669
ENSDARG00000057456	ENSPANG00000015060	n:1	549216
ENSDARG00000057676	ENSPANG00000016690	1:1	
ENSDARG00000099593	ENSPANG00000000453	1:1	
ENSDARG00000044010	ENSPANG00000011564	n:1	
ENSDARG00000073753	ENSPANG00000019847	1:1	828106
ENSDARG00000076765	ENSPANG00000019041	1:1	670932
ENSDARG00000057672	ENSPANG00000005870	1:1	495340
ENSDARG00000062765	ENSPANG00000009526	1:1	495147
ENSDARG00000017880	ENSPANG00000018833	1:1	
ENSDARG00000062720	ENSPANG00000009429	n:1	
ENSDARG00000027523	ENSPANG00000003827	n:1	
ENSDARG00000043976	ENSPANG00000009407	n:1	
ENSDARG00000017230	ENSPANG00000006849	n:1	550046
ENSDARG00000104007	ENSPANG00000014179	1:1	
ENSDARG00000103013	ENSPANG00000007852	1:1	
ENSDARG00000017615	ENSPANG00000000216	n:1	
ENSDARG00000014329	ENSPANG00000007591	n:m	
ENSDARG00000014329	ENSPANG00000016617	n:m	
ENSDARG00000014329	ENSPANG00000019628	n:m	
ENSDARG00000014329	ENSPANG00000011029	n:m	
ENSDARG00000014329	ENSPANG00000001071	n:m	
ENSDARG00000014329	ENSPANG00000009192	n:m	
ENSDARG00000014329	ENSPANG00000009984	n:m	
ENSDARG00000014329	ENSPANG00000004075	n:m	
ENSDARG00000014329	ENSPANG00000004185	n:m	
ENSDARG00000014329	ENSPANG00000014251	n:m	
ENSDARG00000014329	ENSPANG00000000607	n:m	
ENSDARG00000014329	ENSPANG00000005492	n:m	
ENSDARG00000014329	ENSPANG00000021409	n:m	
ENSDARG00000008182	ENSPANG00000017403	n:1	
ENSDARG00000014047	ENSPANG00000024214	n:1	799043
ENSDARG00000100737	ENSPANG00000021927	n:1	
ENSDARG00000078691	ENSPANG00000018440	n:1	
ENSDARG00000056913	ENSPANG00000018315	n:1	
ENSDARG00000056885	ENSPANG00000023840	1:1	
ENSDARG00000056877	ENSPANG00000023841	n:1	812262
ENSDARG00000056871	ENSPANG00000017639	1:1	531856
ENSDARG00000039215	ENSPANG00000024345	n:1	
ENSDARG00000086416	ENSPANG00000024347	1:1	749873
ENSDARG00000104458	ENSPANG00000024199	n:1	780181
ENSDARG00000099273	ENSPANG00000024200	n:1	829389
ENSDARG00000057105	ENSPANG00000022991	1:1	546983
ENSDARG00000003984	ENSPANG00000015701	1:1	834243
ENSDARG00000009930	ENSPANG00000006775	n:1	
ENSDARG00000088727	ENSPANG00000017403	n:1	
ENSDARG00000078618	ENSPANG00000024602	n:1	
ENSDARG00000044091	ENSPANG00000024603	n:1	807164
ENSDARG00000062361	ENSPANG00000022535	1:1	756282
ENSDARG00000077313	ENSPANG00000020218	n:1	
ENSDARG00000057021	ENSPANG00000014126	1:1	854871
ENSDARG00000086302	ENSPANG00000000887	1:1	553013
ENSDARG00000075273	ENSPANG00000004615	1:1	807439
ENSDARG00000056985	ENSPANG00000005489	1:1	515438
ENSDARG00000076121	ENSPANG00000004793	1:1	679170
ENSDARG00000056964	ENSPANG00000023648	1:1	548017
ENSDARG00000086493	ENSPANG00000018013	1:1	657360
ENSDARG00000017067	ENSPANG00000025829	n:1	
ENSDARG00000069159	ENSPANG00000007862	1:1	
ENSDARG00000069157	ENSPANG00000016447	1:1	650602
ENSDARG00000008243	ENSPANG00000015807	1:1	636211
ENSDARG00000069143	ENSPANG00000009924	1:1	803210
ENSDARG00000043848	ENSPANG00000022109	1:1	761250
ENSDARG00000077093	ENSPANG00000017332	1:1	549415
ENSDARG00000043806	ENSPANG00000009523	n:1	
ENSDARG00000043857	ENSPANG00000024743	1:1	860549
ENSDARG00000076856	ENSPANG00000006217	n:1	
ENSDARG00000005397	ENSPANG00000006536	n:1	510785
ENSDARG00000056664	ENSPANG00000008374	n:1	
ENSDARG00000079850	ENSPANG00000024148	n:1	
ENSDARG00000079933	ENSPANG00000020218	n:1	
ENSDARG00000025011	ENSPANG00000022531	1:1	693071
ENSDARG00000029493	ENSPANG00000002645	1:1	
ENSDARG00000056603	ENSPANG00000013628	n:1	
ENSDARG00000069109	ENSPANG00000013678	1:1	728830
ENSDARG00000069106	ENSPANG00000009144	n:1	
ENSDARG00000056479	ENSPANG00000010485	n:1	
ENSDARG00000073696	ENSPANG00000013649	1:1	801480
ENSDARG00000062016	ENSPANG00000004241	1:1	547286
ENSDARG00000032816	ENSPANG00000020755	1:1	703060
ENSDARG00000030805	ENSPANG00000007081	1:1	517782
ENSDARG00000075422	ENSPANG00000004414	1:1	829765
ENSDARG00000043663	ENSPANG00000009834	n:1	
ENSDARG00000043662	ENSPANG00000011527	1:1	860024
ENSDARG00000061993	ENSPANG00000013148	1:1	703723
ENSDARG00000014793	ENSPANG00000023358	1:1	643317
ENSDARG00000043658	ENSPANG00000021653	1:1	270414
ENSDARG00000056427	ENSPANG00000022191	1:1	551178
ENSDARG00000069085	ENSPANG00000022170	1:1	817522
ENSDARG00000053884	ENSPANG00000022177	1:1	844480
ENSDARG00000077339	ENSPANG00000022269	1:1	824103
ENSDARG00000043493	ENSPANG00000022267	n:1	865496
ENSDARG00000069065	ENSPANG00000021652	1:1	518106
ENSDARG00000012699	ENSPANG00000018335	1:1	779571
ENSDARG00000015199	ENSPANG00000007141	1:1	808230
ENSDARG00000026531	ENSPANG00000009915	n:1	
ENSDARG00000061835	ENSPANG00000018975	n:1	838946
ENSDARG00000012866	ENSPANG00000019177	1:1	554429
ENSDARG00000061956	ENSPANG00000010114	1:1	776384
ENSDARG00000014506	ENSPANG00000011636	1:1	308544
ENSDARG00000011240	ENSPANG00000014014	1:1	802788
ENSDARG00000036338	ENSPANG00000010745	1:1	843531
ENSDARG00000013670	ENSPANG00000012741	1:1	547120
ENSDARG00000068996	ENSPANG00000017354	n:m	
ENSDARG00000068996	ENSPANG00000011874	n:m	
ENSDARG00000068996	ENSPANG00000002232	n:m	
ENSDARG00000068996	ENSPANG00000018082	n:m	801588
ENSDARG00000068996	ENSPANG00000000299	n:m	
ENSDARG00000068996	ENSPANG00000014836	n:m	
ENSDARG00000068996	ENSPANG00000022805	n:m	
ENSDARG00000068996	ENSPANG00000008217	n:m	
ENSDARG00000068996	ENSPANG00000001083	n:m	
ENSDARG00000068996	ENSPANG00000020453	n:m	
ENSDARG00000068996	ENSPANG00000009926	n:m	
ENSDARG00000068996	ENSPANG00000008441	n:m	
ENSDARG00000068996	ENSPANG00000022803	n:m	
ENSDARG00000068995	ENSPANG00000013673	n:m	
ENSDARG00000068995	ENSPANG00000008661	n:m	
ENSDARG00000068995	ENSPANG00000025163	n:m	
ENSDARG00000068995	ENSPANG00000005443	n:m	
ENSDARG00000068995	ENSPANG00000016111	n:m	
ENSDARG00000068995	ENSPANG00000010426	n:m	
ENSDARG00000068995	ENSPANG00000013665	n:m	
ENSDARG00000068995	ENSPANG00000001579	n:m	862326
ENSDARG00000068995	ENSPANG00000010713	n:m	
ENSDARG00000068995	ENSPANG00000004164	n:m	
ENSDARG00000068995	ENSPANG00000024141	n:m	
ENSDARG00000068995	ENSPANG00000000917	n:m	
ENSDARG00000068995	ENSPANG00000006801	n:m	
ENSDARG00000043542	ENSPANG00000006431	1:1	857815
ENSDARG00000089327	ENSPANG00000018960	1:1	840539
ENSDARG00000068992	ENSPANG00000011889	1:1	547231
ENSDARG00000068982	ENSPANG00000015650	1:1	811036
ENSDARG00000013005	ENSPANG00000004917	1:m	
ENSDARG00000013005	ENSPANG00000011046	1:m	
ENSDARG00000004627	ENSPANG00000004846	1:1	333107
ENSDARG00000027129	ENSPANG00000017161	1:1	827852
ENSDARG00000005645	ENSPANG00000004722	n:1	
ENSDARG00000079474	ENSPANG00000023928	1:1	831159
ENSDARG00000077039	ENSPANG00000019291	n:1	
ENSDARG00000055433	ENSPANG00000010630	1:1	862136
ENSDARG00000004363	ENSPANG00000018802	1:1	805615
ENSDARG00000086112	ENSPANG00000007737	1:1	
ENSDARG00000014796	ENSPANG00000014353	1:1	843685
ENSDARG00000023815	ENSPANG00000012471	1:1	750605
ENSDARG00000018846	ENSPANG00000005994	1:1	512273
ENSDARG00000019228	ENSPANG00000008371	1:1	512269
ENSDARG00000043287	ENSPANG00000012629	1:1	834366
ENSDARG00000068919	ENSPANG00000022251	1:1	858893
ENSDARG00000014430	ENSPANG00000019688	1:1	496810
ENSDARG00000061580	ENSPANG00000008673	1:1	777258
ENSDARG00000078459	ENSPANG00000016879	1:1	822990
ENSDARG00000062592	ENSPANG00000015089	1:1	
ENSDARG00000079330	ENSPANG00000025449	1:1	809202
ENSDARG00000100611	ENSPANG00000011064	n:1	
ENSDARG00000043357	ENSPANG00000024030	1:1	843331
ENSDARG00000098867	ENSPANG00000006262	1:1	
ENSDARG00000105000	ENSPANG00000025139	1:1	
ENSDARG00000043371	ENSPANG00000017997	1:1	847393
ENSDARG00000011422	ENSPANG00000020887	n:1	772949
ENSDARG00000068858	ENSPANG00000010096	n:1	834020
ENSDARG00000035332	ENSPANG00000022530	1:1	805518
ENSDARG00000056024	ENSPANG00000015096	1:1	797441
ENSDARG00000035333	ENSPANG00000019589	1:1	
ENSDARG00000032820	ENSPANG00000011982	n:1	548587
ENSDARG00000055973	ENSPANG00000011980	1:1	822361
ENSDARG00000079862	ENSPANG00000015481	1:1	814908
ENSDARG00000055969	ENSPANG00000013152	1:1	546965
ENSDARG00000088743	ENSPANG00000025370	n:1	
ENSDARG00000079542	ENSPANG00000021855	1:1	
ENSDARG00000089570	ENSPANG00000009259	1:1	741167
ENSDARG00000021938	ENSPANG00000014460	1:1	831960
ENSDARG00000061235	ENSPANG00000005232	1:1	489826
ENSDARG00000068755	ENSPANG00000019344	1:1	844405
ENSDARG00000078658	ENSPANG00000022863	1:1	796335
ENSDARG00000030803	ENSPANG00000021651	1:1	764715
ENSDARG00000043209	ENSPANG00000018605	1:1	684104
ENSDARG00000055113	ENSPANG00000006896	1:1	556768
ENSDARG00000077224	ENSPANG00000022386	n:m	
ENSDARG00000077224	ENSPANG00000022265	n:m	
ENSDARG00000061378	ENSPANG00000022259	1:1	497637
ENSDARG00000026338	ENSPANG00000008065	1:1	836860
ENSDARG00000030914	ENSPANG00000006929	1:1	671282
ENSDARG00000004763	ENSPANG00000016518	1:1	
ENSDARG00000079889	ENSPANG00000026404	1:1	
ENSDARG00000055066	ENSPANG00000012548	n:1	
ENSDARG00000100481	ENSPANG00000024588	1:1	831584
ENSDARG00000103748	ENSPANG00000024597	1:1	659049
ENSDARG00000007856	ENSPANG00000001706	n:1	
ENSDARG00000099175	ENSPANG00000005029	n:m	
ENSDARG00000099175	ENSPANG00000011105	n:m	549311
ENSDARG00000099156	ENSPANG00000023364	1:1	848771
ENSDARG00000060983	ENSPANG00000024591	1:1	771969
ENSDARG00000100546	ENSPANG00000012528	n:1	
ENSDARG00000068704	ENSPANG00000012528	n:1	
ENSDARG00000078974	ENSPANG00000007761	1:1	722962
ENSDARG00000099532	ENSPANG00000008471	1:1	809758
ENSDARG00000054755	ENSPANG00000020217	1:1	833770
ENSDARG00000043148	ENSPANG00000014048	1:1	
ENSDARG00000068640	ENSPANG00000017793	1:1	551558
ENSDARG00000043154	ENSPANG00000011637	1:1	
ENSDARG00000043157	ENSPANG00000002243	1:1	547726
ENSDARG00000035167	ENSPANG00000019128	1:1	849727
ENSDARG00000103714	ENSPANG00000014356	1:1	
ENSDARG00000074303	ENSPANG00000023370	n:1	
ENSDARG00000068714	ENSPANG00000023544	n:1	
ENSDARG00000004184	ENSPANG00000023142	1:1	
ENSDARG00000012314	ENSPANG00000009692	1:1	765394
ENSDARG00000078647	ENSPANG00000008067	n:1	
ENSDARG00000075954	ENSPANG00000015277	n:1	
ENSDARG00000093366	ENSPANG00000024908	1:1	758809
ENSDARG00000045888	ENSPANG00000010010	1:1	855563
ENSDARG00000098686	ENSPANG00000015992	1:1	
ENSDARG00000024865	ENSPANG00000006261	n:1	550272
ENSDARG00000053130	ENSPANG00000011222	n:1	
ENSDARG00000103919	ENSPANG00000005733	1:1	
ENSDARG00000055339	ENSPANG00000007641	n:1	
ENSDARG00000041811	ENSPANG00000012742	1:m	
ENSDARG00000041811	ENSPANG00000005698	1:m	782199
ENSDARG00000053840	ENSPANG00000023740	1:1	757683
ENSDARG00000104953	ENSPANG00000004684	1:1	736260
ENSDARG00000099705	ENSPANG00000005037	1:1	852566
ENSDARG00000009862	ENSPANG00000010632	1:1	
ENSDARG00000002666	ENSPANG00000012106	n:1	824411
ENSDARG00000075806	ENSPANG00000010857	1:1	
ENSDARG00000009806	ENSPANG00000010675	1:1	638192
ENSDARG00000003145	ENSPANG00000019256	1:1	
ENSDARG00000075383	ENSPANG00000018864	n:1	
ENSDARG00000054155	ENSPANG00000017144	1:1	853167
ENSDARG00000077686	ENSPANG00000021878	n:1	
ENSDARG00000036456	ENSPANG00000006090	1:1	
ENSDARG00000002060	ENSPANG00000006699	1:1	
ENSDARG00000019897	ENSPANG00000020590	1:1	681062
ENSDARG00000078258	ENSPANG00000020744	n:1	839384
ENSDARG00000018342	ENSPANG00000020038	n:m	
ENSDARG00000018342	ENSPANG00000020748	n:m	
ENSDARG00000091128	ENSPANG00000004878	n:1	
ENSDARG00000046010	ENSPANG00000010984	1:1	848253
ENSDARG00000004154	ENSPANG00000005292	1:1	829825
ENSDARG00000021697	ENSPANG00000000478	1:1	548111
ENSDARG00000042929	ENSPANG00000000479	1:1	671283
ENSDARG00000060922	ENSPANG00000001052	1:1	696553
ENSDARG00000054389	ENSPANG00000007557	1:1	522222
ENSDARG00000060847	ENSPANG00000014784	1:1	609238
ENSDARG00000042962	ENSPANG00000015766	1:1	303334
ENSDARG00000054501	ENSPANG00000017543	1:1	542355
ENSDARG00000038159	ENSPANG00000018548	1:1	823646
ENSDARG00000015978	ENSPANG00000023382	n:m	
ENSDARG00000015978	ENSPANG00000017398	n:m	516572
ENSDARG00000011611	ENSPANG00000005064	1:1	784117
ENSDARG00000010603	ENSPANG00000019100	n:1	
ENSDARG00000011190	ENSPANG00000012485	1:1	
ENSDARG00000090219	ENSPANG00000008540	1:1	777897
ENSDARG00000007531	ENSPANG00000008023	1:m	
ENSDARG00000007531	ENSPANG00000013570	1:m	554683
ENSDARG00000054534	ENSPANG00000025089	1:1	844020
ENSDARG00000099727	ENSPANG00000007115	n:1	
ENSDARG00000104846	ENSPANG00000003860	1:1	665811
ENSDARG00000035914	ENSPANG00000011935	1:1	818180
ENSDARG00000010732	ENSPANG00000003281	1:1	824509
ENSDARG00000068516	ENSPANG00000000301	n:1	791482
ENSDARG00000029764	ENSPANG00000010944	n:1	
ENSDARG00000011825	ENSPANG00000010181	1:1	547713
ENSDARG00000036031	ENSPANG00000001023	n:1	
ENSDARG00000030781	ENSPANG00000008967	1:1	832461
ENSDARG00000068507	ENSPANG00000021971	1:1	771092
ENSDARG00000024548	ENSPANG00000017503	1:1	771091
ENSDARG00000104094	ENSPANG00000011721	1:1	548711
ENSDARG00000101282	ENSPANG00000007582	1:1	776840
