drosophila_ID	aedes_ID	orthotype	OMAgroup
FBgn0031601	AAEL006401	1:1	843897
FBgn0262357	AAEL011455	n:m	
FBgn0262357	AAEL011607	n:m	
FBgn0262357	AAEL014382	n:m	
FBgn0262357	AAEL004679	n:m	
FBgn0262357	AAEL005641	n:m	
FBgn0031603	AAEL009779	1:1	845303
FBgn0027609	AAEL006413	1:1	817908
FBgn0031604	AAEL006400	1:1	822311
FBgn0025684	AAEL006409	1:1	547051
FBgn0031606	AAEL003032	1:1	761579
FBgn0031607	AAEL011988	1:1	
FBgn0040705	AAEL003011	1:1	836726
FBgn0053002	AAEL002418	1:1	832986
FBgn0031608	AAEL003549	1:1	
FBgn0031609	AAEL006407	1:1	
FBgn0031610	AAEL006986	n:m	
FBgn0031610	AAEL002973	n:m	
FBgn0031611	AAEL008807	1:1	
FBgn0011603	AAEL006412	1:1	
FBgn0053196	AAEL012905	1:1	
FBgn0031617	AAEL014392	1:1	
FBgn0085380	AAEL002220	1:1	
FBgn0031628	AAEL011071	1:1	
FBgn0031629	AAEL011070	1:1	774578
FBgn0031630	AAEL005703	1:1	508622
FBgn0031631	AAEL008140	1:m	
FBgn0031631	AAEL014155	1:m	846761
FBgn0031632	AAEL009818	1:1	804168
FBgn0031633	AAEL013783	1:m	831279
FBgn0031633	AAEL014396	1:m	
FBgn0031634	AAEL009813	1:1	266655
FBgn0031635	AAEL006300	1:1	261151
FBgn0031636	AAEL006002	n:1	547511
FBgn0031637	AAEL006510	1:1	331823
FBgn0031639	AAEL008582	1:1	855447
FBgn0031640	AAEL009147	1:1	530409
FBgn0051660	AAEL009139	1:1	
FBgn0031643	AAEL009424	1:1	769035
FBgn0031645	AAEL006514	1:1	549905
FBgn0041150	AAEL007979	1:1	555137
FBgn0031650	AAEL001821	1:1	787480
FBgn0031651	AAEL012264	1:1	861254
FBgn0015000	AAEL001830	1:1	844093
FBgn0031652	AAEL012126	1:1	550152
FBgn0031655	AAEL006963	1:1	548232
FBgn0083960	AAEL005109	1:1	548381
FBgn0015834	AAEL013144	1:1	546966
FBgn0031657	AAEL007568	1:1	858072
FBgn0031660	AAEL008601	1:1	855923
FBgn0031661	AAEL014961	1:1	546860
FBgn0031662	AAEL008594	1:1	845756
FBgn0031663	AAEL008605	1:1	858365
FBgn0265968	AAEL012891	1:1	792839
FBgn0031668	AAEL012898	1:1	689614
FBgn0031670	AAEL007944	1:1	854318
FBgn0260470	AAEL014824	1:1	
FBgn0031673	AAEL011076	1:m	548099
FBgn0031673	AAEL014589	1:m	
FBgn0264743	AAEL013941	1:1	
FBgn0022023	AAEL007945	1:1	864406
FBgn0031676	AAEL006666	1:1	711963
FBgn0031677	AAEL006678	1:1	727402
FBgn0014857	AAEL006158	n:m	
FBgn0014857	AAEL011424	n:m	
FBgn0028694	AAEL004733	1:1	864405
FBgn0028572	AAEL013000	1:m	
FBgn0028572	AAEL014486	1:m	805583
FBgn0261608	AAEL013272	1:1	858433
FBgn0031681	AAEL013274	1:1	677253
FBgn0031682	AAEL006648	1:1	827872
FBgn0031683	AAEL001215	1:1	262338
FBgn0031684	AAEL001210	1:1	516259
FBgn0261836	AAEL007898	1:1	548718
FBgn0031688	AAEL006984	n:m	
FBgn0031688	AAEL006992	n:m	
FBgn0031688	AAEL006989	n:m	
FBgn0031688	AAEL007024	n:m	819712
FBgn0031688	AAEL007010	n:m	
FBgn0031688	AAEL015654	n:m	
FBgn0031688	AAEL003890	n:m	
FBgn0031689	AAEL006984	n:m	
FBgn0031689	AAEL006992	n:m	819600
FBgn0031689	AAEL006989	n:m	
FBgn0031689	AAEL007024	n:m	
FBgn0031689	AAEL007010	n:m	
FBgn0031689	AAEL015654	n:m	
FBgn0031689	AAEL003890	n:m	
FBgn0031690	AAEL008603	1:1	822591
FBgn0031692	AAEL009336	1:m	
FBgn0031692	AAEL012114	1:m	550601
FBgn0003716	AAEL009339	1:m	548614
FBgn0003716	AAEL012125	1:m	
FBgn0031693	AAEL013555	n:m	
FBgn0031693	AAEL013554	n:m	
FBgn0031693	AAEL013556	n:m	
FBgn0031693	AAEL014019	n:m	
FBgn0031693	AAEL014830	n:m	
FBgn0031693	AAEL014829	n:m	
FBgn0031693	AAEL015663	n:m	
FBgn0031694	AAEL013555	n:m	
FBgn0031694	AAEL013554	n:m	
FBgn0031694	AAEL013556	n:m	
FBgn0031694	AAEL014019	n:m	
FBgn0031694	AAEL014830	n:m	
FBgn0031694	AAEL014829	n:m	
FBgn0031694	AAEL015663	n:m	
FBgn0031695	AAEL013555	n:m	
FBgn0031695	AAEL013554	n:m	
FBgn0031695	AAEL013556	n:m	
FBgn0031695	AAEL014019	n:m	
FBgn0031695	AAEL014830	n:m	819131
FBgn0031695	AAEL014829	n:m	
FBgn0031695	AAEL015663	n:m	
FBgn0016076	AAEL011371	1:1	744890
FBgn0031697	AAEL010120	1:1	724613
FBgn0031698	AAEL009265	1:1	555271
FBgn0015031	AAEL009257	1:1	764702
FBgn0031700	AAEL001490	1:1	850980
FBgn0031702	AAEL001499	1:1	
FBgn0031703	AAEL011677	1:m	
FBgn0031703	AAEL014664	1:m	546950
FBgn0031703	AAEL014665	1:m	
FBgn0016920	AAEL008338	1:m	
FBgn0016920	AAEL011679	1:m	551485
FBgn0261963	AAEL008337	1:1	738375
FBgn0031707	AAEL011186	1:m	516846
FBgn0031707	AAEL015276	1:m	
FBgn0031708	AAEL011189	1:m	516741
FBgn0031708	AAEL015275	1:m	
FBgn0000318	AAEL014064	1:1	530040
FBgn0031710	AAEL014070	1:1	498780
FBgn0031711	AAEL004333	1:1	
FBgn0051648	AAEL006779	1:1	862206
FBgn0051915	AAEL003481	1:1	852067
FBgn0031713	AAEL004180	1:1	646735
FBgn0014189	AAEL001216	1:1	547061
FBgn0002525	AAEL000335	n:m	
FBgn0002525	AAEL003415	n:m	
FBgn0031717	AAEL013877	1:1	861535
FBgn0031720	AAEL001452	n:1	743460
FBgn0031721	AAEL001452	n:1	
FBgn0031725	AAEL006478	1:1	553851
FBgn0031730	AAEL004700	1:1	
FBgn0024191	AAEL008437	1:m	848631
FBgn0024191	AAEL008445	1:m	
FBgn0031736	AAEL008443	1:1	852335
FBgn0031734	AAEL014428	1:1	552254
FBgn0031738	AAEL011900	1:1	748500
FBgn0031741	AAEL015110	1:m	
FBgn0031741	AAEL015386	1:m	763671
FBgn0031745	AAEL001832	1:1	333696
FBgn0043362	AAEL009823	1:1	530247
FBgn0015381	AAEL005381	1:1	772161
FBgn0001128	AAEL001593	1:1	805786
FBgn0031752	AAEL012547	1:1	771187
FBgn0031753	AAEL008323	1:1	813284
FBgn0003980	AAB51284.1	1:1	
FBgn0031757	AAEL007046	1:1	
FBgn0000308	AAEL013353	1:1	705842
FBgn0001942	AAEL013359	1:1	546859
FBgn0001941	AAEL013047	1:1	730038
FBgn0001089	AAEL004580	1:1	835403
FBgn0031762	AAEL005347	1:1	
FBgn0031764	AAEL000115	1:m	
FBgn0031764	AAEL015658	1:m	855244
FBgn0031765	AAEL005363	1:1	
FBgn0025742	AAEL005367	1:1	496535
FBgn0000052	AAEL005384	1:1	853185
FBgn0029161	AAEL013880	1:1	750621
FBgn0031769	AAEL008575	1:1	547385
FBgn0031771	AAEL007681	1:1	801305
FBgn0031773	AAEL007694	1:1	808271
FBgn0031776	AAEL001838	1:1	810509
FBgn0031777	AAEL001871	1:1	823080
FBgn0031779	AAEL012841	1:1	720716
FBgn0266521	AAEL012840	1:1	825217
FBgn0031781	AAEL009041	1:1	844769
FBgn0031782	AAEL008174	1:1	842097
FBgn0261697	AAEL009737	1:1	304452
FBgn0031784	AAEL014017	1:1	
FBgn0053531	AAEL002640	1:1	551222
FBgn0031791	AAEL014713	n:m	
FBgn0031791	AAEL004659	n:m	
FBgn0031791	AAEL004847	n:m	
FBgn0031791	AAEL004827	n:m	
FBgn0265778	AAEL005643	1:1	858148
FBgn0031799	AAEL010234	1:1	850604
FBgn0015623	AAEL014689	1:m	
FBgn0015623	AAEL003349	1:m	800882
FBgn0031800	AAEL002917	n:m	
FBgn0031800	AAEL002904	n:m	
FBgn0031801	AAEL002917	n:m	
FBgn0031801	AAEL002904	n:m	723269
FBgn0263278	AAEL005383	1:1	722267
FBgn0031813	AAEL008841	1:1	852232
FBgn0031814	AAEL012929	1:1	530542
FBgn0031815	AAEL005653	1:1	525813
FBgn0031817	AAEL004282	1:1	858562
FBgn0259749	AAEL001627	1:1	745551
FBgn0031818	AAEL004497	1:1	542378
FBgn0086357	AAEL004523	1:1	863074
FBgn0031821	AAEL004509	1:1	
FBgn0031822	AAEL003695	1:1	850398
FBgn0051638	AAEL003739	1:1	548699
FBgn0031824	AAEL013642	1:m	832456
FBgn0031824	AAEL014797	1:m	
FBgn0000320	AAEL013010	1:m	
FBgn0000320	AAEL005166	1:m	736903
FBgn0031829	AAEL013008	1:m	835189
FBgn0031829	AAEL003132	1:m	
FBgn0031830	AAEL013007	1:1	516570
FBgn0031832	AAEL003654	1:1	858585
FBgn0263916	AAEL005411	1:1	712031
FBgn0051634	AAEL001812	1:1	548652
FBgn0028467	AAEL003907	1:1	530855
FBgn0263200	AAEL001607	1:1	792577
FBgn0028990	AAEL014078	1:m	
FBgn0028990	AAEL005673	1:m	847711
FBgn0000351	AAEL010910	1:1	560669
FBgn0031848	AAEL011715	1:m	843620
FBgn0031848	AAEL003756	1:m	
FBgn0028703	AAEL002051	1:m	547589
FBgn0028703	AAEL002735	1:m	
FBgn0031850	AAEL007455	1:1	
FBgn0025595	AAEL011325	1:1	657288
FBgn0031851	AAEL010885	1:1	855840
FBgn0025777	AAEL011093	1:1	833336
FBgn0046704	AAEL008058	1:1	549350
FBgn0031853	AAEL000578	1:1	
FBgn0031855	AAEL012450	1:1	553946
FBgn0031857	AAEL010147	1:1	562190
FBgn0031858	AAEL010142	1:1	756442
FBgn0015776	AAEL010148	1:m	858471
FBgn0015776	AAEL010140	1:m	
FBgn0015777	AAEL010145	1:m	858472
FBgn0015777	AAEL010145	1:m	
FBgn0031860	AAEL000213	1:1	
FBgn0086451	AAEL001238	1:1	530358
FBgn0031865	AAEL011109	1:1	552795
FBgn0031868	AAEL003800	1:1	734754
FBgn0011737	AAEL011376	1:1	547810
FBgn0052829	AAEL007264	1:1	
FBgn0004838	AAEL008257	1:1	549119
FBgn0031869	AAEL002070	1:1	552668
FBgn0031871	AAEL003544	1:1	
FBgn0031873	AAEL012525	1:1	499393
FBgn0020616	AAEL008506	1:m	
FBgn0020616	AAEL004289	1:m	
FBgn0031875	AAEL003542	1:1	772926
FBgn0031877	AAEL002065	1:1	
FBgn0031878	AAEL002080	1:1	736991
FBgn0021944	AAEL013389	1:1	809845
FBgn0264922	AAEL013787	1:m	
FBgn0264922	AAEL015064	1:m	862067
FBgn0031879	AAEL008069	1:1	
FBgn0263027	AAEL014735	1:1	813050
FBgn0051908	AAEL007556	1:1	773343
FBgn0031883	AAEL005046	1:1	547232
FBgn0262872	AAEL004722	1:1	838925
FBgn0031885	AAEL005686	1:1	
FBgn0266666	AAEL002121	1:1	738284
FBgn0031886	AAEL007917	1:m	
FBgn0031886	AAEL013453	1:m	270274
FBgn0031893	AAEL010116	1:m	
FBgn0031893	AAEL010116	1:m	755428
FBgn0031897	AAEL014164	1:1	657271
FBgn0263133	AAEL010742	1:1	863707
FBgn0259111	AAEL010738	1:1	516616
FBgn0004009	AAEL010740	1:m	843680
FBgn0004009	AAEL000599	1:m	
FBgn0031902	AAEL000618	1:1	843678
FBgn0031903	AAEL000600	1:1	843681
FBgn0002938	AAEL000596	1:1	555269
FBgn0031904	AAEL009259	1:1	721056
FBgn0031905	AAEL010682	1:1	809925
FBgn0031906	AAEL010688	1:1	522262
FBgn0031907	AAEL010684	1:1	720232
FBgn0028387	AAEL010729	1:1	553682
FBgn0031912	AAEL004294	1:1	774253
FBgn0031913	AAEL001293	1:m	530535
FBgn0031913	AAEL001307	1:m	
FBgn0031914	AAEL001308	1:1	530549
FBgn0041247	AAEL011073	n:1	
FBgn0045495	AAEL011073	n:1	689784
FBgn0031918	AAEL011078	1:1	331870
FBgn0260486	AAEL004720	1:1	685647
FBgn0264895	AAEL005998	1:1	671264
FBgn0031929	AAEL008599	n:m	
FBgn0031929	AAEL008604	n:m	
FBgn0031929	AAEL003424	n:m	
FBgn0031930	AAEL008599	n:m	
FBgn0031930	AAEL008604	n:m	539180
FBgn0031930	AAEL003424	n:m	
FBgn0041181	AAEL008607	1:1	655836
FBgn0267326	AAEL002236	1:m	
FBgn0267326	AAEL002210	1:m	
FBgn0014454	AAEL002181	1:1	
FBgn0031940	AAEL002229	1:m	
FBgn0031940	AAEL002211	1:m	
FBgn0031940	AAEL002191	1:m	
FBgn0031940	AAEL002241	1:m	
FBgn0031942	AAEL002185	1:1	693853
FBgn0267689	AAEL002192	1:1	740050
FBgn0020880	AAEL002217	1:1	746042
FBgn0003961	AAEL002194	1:1	807941
FBgn0031947	AAEL002215	1:1	847013
FBgn0031948	AAEL006667	1:1	
FBgn0025687	AAEL014734	1:1	522079
FBgn0031950	AAEL014732	1:1	848587
FBgn0031951	AAEL011753	1:1	800573
FBgn0261800	AAEL003658	1:1	836732
FBgn0027515	AAEL004709	1:1	556081
FBgn0020618	AAEL013069	1:1	546994
FBgn0004177	AAEL013068	1:1	
FBgn0031955	AAEL013797	1:1	689756
FBgn0031957	AAEL009478	1:1	551655
FBgn0031959	AAEL008596	1:1	335879
FBgn0031961	AAEL011227	1:1	830357
FBgn0261790	AAEL011233	1:1	795836
FBgn0083968	AAEL008128	n:1	851512
FBgn0031968	AAEL007910	1:1	849740
FBgn0031969	AAEL007748	1:1	749618
FBgn0031972	AAEL007811	1:m	508650
FBgn0031972	AAEL001768	1:m	
