drosophila_ID	anopheles_ID	orthotype	OMAgroup
FBgn0021906	AGAP008955	1:1	694645
FBgn0011570	AGAP007864	1:1	495587
FBgn0031356	AGAP007934	1:1	665267
FBgn0031357	AGAP007507	1:1	849727
FBgn0086698	AGAP002252	1:1	830399
FBgn0031359	AGAP009333	1:1	497990
FBgn0000579	AGAP007827	1:1	865433
FBgn0260648	AGAP010247	1:1	497611
FBgn0031360	AGAP010696	1:1	
FBgn0031361	AGAP008325	1:1	849937
FBgn0264494	AGAP009464	1:1	557283
FBgn0027597	AGAP008097	1:1	737321
FBgn0045498	AGAP009256	n:1	
FBgn0045500	AGAP009256	n:1	
FBgn0051665	AGAP010049	1:1	
FBgn0051663	AGAP010048	1:1	559163
FBgn0031375	AGAP009286	1:1	
FBgn0031376	AGAP009288	1:1	689448
FBgn0031379	AGAP010005	1:1	859214
FBgn0001125	AGAP009685	1:1	793530
FBgn0031384	AGAP009516	1:1	829463
FBgn0259192	AGAP007916	1:1	686449
FBgn0003557	AGAP009074	1:1	739651
FBgn0026396	AGAP002639	n:m	789119
FBgn0026396	AAY89508.1	n:m	
FBgn0004507	AGAP007939	1:1	795428
FBgn0031390	AGAP008236	1:1	853891
FBgn0027509	AGAP004782	1:1	641009
FBgn0031392	AGAP008044	1:1	510567
FBgn0000097	AGAP009350	1:1	267140
FBgn0031395	AGAP009525	1:1	
FBgn0085201	AGAP009526	1:1	335599
FBgn0051668	AGAP007836	n:1	
FBgn0031397	AGAP010170	1:1	789711
FBgn0010288	AGAP012113	1:1	
FBgn0085203	AGAP010244	1:1	752291
FBgn0040715	AGAP009492	1:1	
FBgn0031399	AGAP007984	1:1	840726
FBgn0031401	AGAP010171	1:1	850540
FBgn0267378	AGAP012632	1:1	
FBgn0011832	AGAP001249	1:1	
FBgn0031406	AGAP001252	n:1	
FBgn0031412	AGAP007583	1:1	
FBgn0031413	AGAP007899	1:1	811497
FBgn0014010	ABL74413.1	1:1	522100
FBgn0031418	AGAP009225	1:m	
FBgn0031418	AGAP009945	1:m	737318
FBgn0264672	AGAP009279	1:1	531424
FBgn0031422	AGAP009280	n:1	
FBgn0031424	AGAP007992	1:1	547524
FBgn0085477	AGAP000309	1:1	
FBgn0000490	AAT07305.1	1:1	
FBgn0264978	AGAP011358	1:1	738122
FBgn0011818	AGAP008944	1:1	802818
FBgn0026778	AGAP002255	1:1	703478
FBgn0031436	AGAP008653	1:1	849868
FBgn0031437	AGAP008895	1:1	693030
FBgn0026479	AGAP008896	1:1	811179
FBgn0031449	AGAP008889	1:1	549120
FBgn0031450	AGAP008887	1:1	547905
FBgn0031452	AGAP008760	1:1	
FBgn0250906	AGAP008802	1:1	865920
FBgn0031455	AGAP008162	1:1	
FBgn0031454	AGAP009458	1:1	858387
FBgn0031456	AGAP003576	1:1	846978
FBgn0031457	AGAP009095	1:1	822728
FBgn0031458	AGAP009816	1:1	840753
FBgn0026324	AGAP008612	n:1	
FBgn0028398	AGAP008612	n:1	720948
FBgn0019830	AGAP006104	1:1	497987
FBgn0031459	AGAP006353	1:1	851443
FBgn0004242	AGAP007942	1:1	745738
FBgn0031464	AAV30068.1	1:1	548147
FBgn0031473	AGAP009428	1:1	547445
FBgn0015521	AGAP009431	1:1	796923
FBgn0031474	AGAP009181	1:1	751534
FBgn0051694	AGAP001032	1:1	
FBgn0031478	AGAP004489	1:1	815717
FBgn0031479	AAV68043.1	1:1	546930
FBgn0024947	AGAP009265	1:1	742254
FBgn0010263	AGAP009952	n:m	
FBgn0010263	AGAP000965	n:m	
FBgn0024920	AGAP010457	1:1	859659
FBgn0004584	AGAP009587	1:1	563807
FBgn0260639	AGAP007834	1:1	696184
FBgn0031484	AGAP006662	1:1	721015
FBgn0031485	AGAP005673	1:1	778402
FBgn0250786	AGAP008698	1:1	
FBgn0025109	AGAP008746	1:1	547119
FBgn0002989	AGAP008748	1:1	547058
FBgn0025681	AGAP011705	1:1	
FBgn0031490	AGAP008199	1:1	334008
FBgn0031491	AGAP008258	n:m	738419
FBgn0031491	AGAP008259	n:m	
FBgn0031491	AGAP008260	n:m	
FBgn0031492	AGAP008263	1:1	547242
FBgn0031493	AGAP006240	1:1	851193
FBgn0031494	AGAP009532	1:1	853864
FBgn0031495	AGAP008264	1:1	514623
FBgn0031496	AGAP008262	1:1	767558
FBgn0031497	AGAP008265	1:1	844723
FBgn0243513	AGAP009116	1:1	860023
FBgn0031500	AGAP009178	1:1	786336
FBgn0027571	AGAP009176	1:1	547257
FBgn0031505	AGAP002889	1:1	791499
FBgn0011648	AAT07308.1	1:1	831957
FBgn0260817	AGAP010577	1:1	843590
FBgn0014906	AGAP008542	1:1	792029
FBgn0264744	AGAP002918	1:1	
FBgn0031514	AGAP000075	1:1	
FBgn0031515	AGAP009469	1:m	554985
FBgn0031515	AGAP009472	1:m	
FBgn0031517	AGAP007752	n:m	
FBgn0031517	AGAP007753	n:m	
FBgn0031519	AGAP007769	1:1	
FBgn0053281	AGAP008900	1:1	
FBgn0053282	AGAP007752	n:m	
FBgn0053282	AGAP007753	n:m	
FBgn0031522	AGAP007752	n:m	557611
FBgn0031522	AGAP007753	n:m	
FBgn0031523	AGAP007752	n:m	
FBgn0031523	AGAP007753	n:m	
FBgn0031528	AGAP003930	1:1	822376
FBgn0031529	AGAP008475	1:1	665436
FBgn0016698	AGAP008652	1:1	843106
FBgn0031530	AGAP010078	1:1	677261
FBgn0031534	AGAP009255	1:1	808963
FBgn0031535	AGAP002339	1:1	
FBgn0031536	AGAP003970	1:1	813007
FBgn0266670	AGAP001733	1:1	785934
FBgn0031538	AGAP002341	1:1	752305
FBgn0021967	AGAP007780	1:1	823507
FBgn0031540	AGAP007775	1:1	841054
FBgn0051956	AGAP011984	1:1	
FBgn0261560	AGAP007781	1:1	
FBgn0014396	AGAP008288	1:1	777232
FBgn0051954	AGAP008292	n:m	
FBgn0051954	AGAP008293	n:m	558807
FBgn0051954	AGAP008294	n:m	
FBgn0051954	AGAP008295	n:m	
FBgn0051954	AGAP008296	n:m	
FBgn0053123	AGAP008297	1:1	490199
FBgn0031544	AGAP010007	1:1	752070
FBgn0031550	AGAP008872	1:1	542320
FBgn0024244	AGAP007974	1:1	555219
FBgn0015376	AGAP008869	1:1	839070
FBgn0003386	AGAP008200	1:1	710835
FBgn0263846	AGAP008221	1:1	
FBgn0031571	AGAP009143	1:1	814046
FBgn0021800	AGAP009144	1:1	335504
FBgn0031575	AGAP010180	1:1	730595
FBgn0051957	AGAP010181	1:1	
FBgn0000256	AGAP010183	1:1	556858
FBgn0051774	AGAP010184	1:1	
FBgn0000547	AGAP010186	1:1	
FBgn0014033	AGAP011974	n:1	554124
FBgn0026394	AGAP005495	n:1	
FBgn0031589	AAP69612.1	1:1	862702
FBgn0001075	AGAP007924	1:1	548725
FBgn0031590	AGAP007926	1:1	832832
FBgn0003941	AGAP007927	1:1	754152
FBgn0028482	AGAP008943	1:1	552983
FBgn0020762	AGAP001858	1:1	547468
FBgn0031596	AGAP010016	1:1	
FBgn0026319	AGAP010017	1:1	716064
FBgn0031598	AGAP006623	1:1	514977
FBgn0261976	AGAP010018	1:m	
FBgn0261976	AGAP012743	1:m	530792
FBgn0027560	AGAP008227	1:1	783549
FBgn0031600	AGAP008226	1:1	851136
FBgn0022153	AGAP000576	1:1	842519
FBgn0031601	AGAP008298	1:1	843897
FBgn0259958	AGAP007407	n:m	
FBgn0259958	AGAP007410	n:m	564234
FBgn0259958	AGAP007411	n:m	
FBgn0259958	AGAP007412	n:m	
FBgn0031603	AGAP000425	1:1	845303
FBgn0027609	AGAP008941	1:1	817908
FBgn0031604	AGAP008300	1:1	822311
FBgn0025684	AGAP008942	1:1	547051
FBgn0031606	AGAP000754	1:1	
FBgn0040705	AGAP003367	1:1	836726
FBgn0019982	AGAP003372	1:1	758081
FBgn0261606	AGAP011706	1:1	860639
FBgn0053002	AGAP002470	1:1	832986
FBgn0031610	AGAP001555	1:m	
FBgn0031610	AGAP011485	1:m	
FBgn0031610	AGAP008845	1:m	
FBgn0031611	AGAP004477	1:1	
FBgn0011603	AGAP008940	1:1	
FBgn0031619	AGAP004568	1:1	559937
FBgn0085380	AGAP009306	1:1	753196
FBgn0031627	AGAP009518	1:1	555327
FBgn0031628	AGAP010194	1:1	
FBgn0031629	AGAP010193	1:1	774578
FBgn0031630	AGAP008125	1:1	508622
FBgn0031631	AGAP010872	1:1	846761
FBgn0031632	AGAP012518	1:1	804168
FBgn0031633	AGAP011767	1:1	831279
FBgn0031634	AGAP010272	1:1	266655
FBgn0031635	AGAP008107	1:1	261151
FBgn0031636	AGAP009523	n:1	547511
FBgn0031637	AGAP009496	1:1	331823
FBgn0031639	AGAP011886	1:1	855447
FBgn0031640	AGAP009931	1:1	530409
FBgn0051660	AGAP009932	1:1	641473
FBgn0031643	AGAP009993	1:1	769035
FBgn0031645	AGAP009498	1:1	
FBgn0041150	AGAP009284	1:1	555137
FBgn0031650	AGAP008388	1:1	787480
FBgn0031651	AGAP008405	1:1	861254
FBgn0015000	AGAP008406	1:1	844093
FBgn0031652	AGAP009335	1:1	
FBgn0031655	AGAP008426	1:1	548232
FBgn0083960	AGAP006735	1:1	548381
FBgn0015834	AGAP006607	1:1	546966
FBgn0262467	AGAP008774	1:1	508457
FBgn0031657	AGAP008771	1:m	858072
FBgn0031657	AGAP012796	1:m	
FBgn0031659	AGAP009536	1:1	703467
FBgn0031660	AGAP008376	1:1	855923
FBgn0031661	AGAP006783	1:1	546860
FBgn0031662	AGAP008375	1:1	845756
FBgn0031663	AGAP008374	1:1	858365
FBgn0031664	AGAP012829	1:1	
FBgn0083962	AGAP008379	1:1	834540
FBgn0053113	AGAP007940	1:1	832399
FBgn0031668	AGAP007853	1:1	689614
FBgn0031670	AGAP009202	1:1	854318
FBgn0260470	AGAP009203	1:1	725312
FBgn0031673	AGAP010191	1:1	
FBgn0264743	AGAP009205	1:1	
FBgn0053995	AGAP009206	1:1	728961
FBgn0022023	AGAP009204	1:1	864406
FBgn0031676	AGAP008621	1:1	711963
FBgn0031677	AGAP008624	1:1	
FBgn0014857	AAK61362.1	n:m	
FBgn0014857	AGAP012197	n:m	
FBgn0028694	AGAP008617	1:1	864405
FBgn0028572	AGAP008614	1:1	805583
FBgn0261608	AGAP009920	1:1	858433
FBgn0031681	AGAP008613	1:1	677253
FBgn0031682	AGAP010073	1:1	827872
FBgn0031683	AGAP009073	1:1	262338
FBgn0031684	AGAP009072	1:1	516259
FBgn0261836	AGAP009554	1:1	548718
FBgn0031690	AGAP008377	1:1	822591
FBgn0031692	AGAP009330	1:1	550601
FBgn0003716	AAT07316.1	1:1	548614
FBgn0031693	AAV28181.1	n:m	
FBgn0031693	AAV28180.1	n:m	819106
FBgn0031694	AAV28181.1	n:m	819052
FBgn0031694	AAV28180.1	n:m	
FBgn0031695	AAV28181.1	n:m	
FBgn0031695	AAV28180.1	n:m	
FBgn0000228	AGAP007888	1:1	550952
FBgn0016076	AGAP007801	1:1	744890
FBgn0031697	AGAP009118	1:1	724613
FBgn0031698	AGAP007771	1:1	555271
FBgn0015031	AGAP007768	1:1	
FBgn0031700	AGAP008311	1:1	850980
FBgn0031702	AGAP008310	1:1	
FBgn0031703	AGAP008557	1:1	546950
FBgn0016920	AGAP008559	1:1	551485
FBgn0016660	AGAP008567	1:1	671990
FBgn0261963	AGAP008569	1:1	738375
FBgn0031707	AGAP008571	1:1	
FBgn0031708	AGAP008572	1:1	516741
FBgn0000318	AGAP009738	1:1	530040
FBgn0031710	AGAP009739	1:1	498780
FBgn0031711	AGAP010407	1:1	
FBgn0051989	AGAP004751	1:1	721181
FBgn0051648	AGAP010443	1:1	862206
FBgn0051915	AGAP012208	1:1	852067
FBgn0031713	AGAP000106	1:1	646735
FBgn0031716	AGAP011905	1:1	648589
FBgn0014189	AGAP009075	1:1	547061
FBgn0002525	AGAP011938	1:1	550856
FBgn0031717	AGAP009305	1:1	
FBgn0031720	AGAP006170	n:1	
FBgn0031725	AGAP010221	1:1	553851
FBgn0031729	AGAP008503	1:1	
FBgn0031730	AGAP003180	1:1	548578
FBgn0031736	AGAP008697	1:1	852335
FBgn0031734	AGAP002060	1:1	552254
FBgn0031738	AGAP009403	1:1	748500
FBgn0031741	AGAP008176	1:1	763671
FBgn0015381	AGAP009575	1:1	772161
FBgn0001128	AGAP007593	1:1	805786
FBgn0031752	AGAP010218	1:1	771187
FBgn0031753	AGAP010215	1:1	813284
FBgn0000308	AGAP009861	1:1	705842
FBgn0001942	AGAP009863	1:1	546859
FBgn0001941	AGAP012111	1:1	
FBgn0001089	AGAP002055	1:1	835403
FBgn0031762	AGAP009560	1:1	852290
FBgn0031764	AGAP001656	1:1	
FBgn0031765	AGAP009562	1:1	
FBgn0025742	AGAP009563	1:1	496535
FBgn0000052	AGAP002091	1:1	853185
FBgn0029161	AGAP008027	1:1	750621
FBgn0031769	AGAP002151	1:1	547385
FBgn0031771	AGAP010039	1:1	801305
FBgn0031773	AGAP010041	1:1	808271
FBgn0031776	AGAP010212	1:1	810509
FBgn0031777	AGAP010213	1:1	823080
FBgn0266449	AGAP010214	1:1	728583
FBgn0031779	AGAP009942	1:1	720716
FBgn0266521	AGAP009940	1:1	825217
FBgn0031781	AGAP001306	1:1	844769
FBgn0031782	AGAP001885	1:1	842097
FBgn0261697	AGAP005448	1:1	304452
FBgn0031784	AGAP008735	1:1	
FBgn0265778	AGAP009261	1:1	858148
FBgn0031799	AGAP009975	1:1	850604
FBgn0031801	AGAP010766	n:1	
FBgn0031804	AGAP004917	n:m	
FBgn0031804	AGAP004998	n:m	
FBgn0031804	AGAP005848	n:m	
FBgn0031804	AGAP010775	n:m	
FBgn0263278	AGAP009578	1:1	722267
FBgn0031813	AGAP007958	1:1	852232
FBgn0031814	AGAP009029	1:1	
FBgn0031815	AGAP009259	1:1	525813
FBgn0259749	AGAP007889	1:1	
FBgn0031818	AGAP009445	1:1	542378
FBgn0086357	AGAP009182	1:1	
FBgn0031821	AGAP009433	1:1	
FBgn0027496	AGAP006625	1:1	844318
FBgn0031822	AGAP009905	1:1	850398
FBgn0051638	AGAP007348	1:1	
FBgn0031824	AGAP008501	1:1	
FBgn0051637	AGAP009809	1:1	
FBgn0000320	AGAP008726	1:1	736903
FBgn0031829	AGAP008725	1:1	835189
FBgn0031830	AGAP008724	1:1	516570
FBgn0031832	AGAP009904	1:1	858585
FBgn0263916	AGAP003892	1:1	712031
FBgn0031835	AGAP008764	1:1	763686
FBgn0031837	AGAP008776	1:1	
FBgn0051634	AGAP008712	1:1	548652
FBgn0028467	AGAP001681	1:1	530855
FBgn0263200	AGAP004451	1:1	792577
FBgn0028990	AAF19834.1	1:1	847711
FBgn0000351	AGAP011622	1:1	560669
FBgn0031848	AGAP005461	1:1	
FBgn0028703	AGAP008718	1:1	547589
FBgn0025595	AGAP002156	1:1	657288
FBgn0031851	AGAP007394	1:1	855840
FBgn0025777	AGAP010076	1:1	833336
FBgn0046704	AGAP001469	1:1	549350
FBgn0031853	AGAP009959	1:m	
FBgn0031853	AGAP009960	1:m	494609
FBgn0031855	AGAP009934	1:1	553946
FBgn0031857	AGAP007788	1:1	562190
FBgn0031858	AGAP007789	1:1	756442
FBgn0015776	AGAP007790	1:1	858471
FBgn0015777	AGAP007791	1:1	858472
FBgn0031860	AGAP001116	1:1	636834
FBgn0086451	AGAP009004	1:1	530358
FBgn0031865	ABJ91581.1	1:1	552795
FBgn0031866	AGAP002090	1:1	
FBgn0042092	AGAP012084	1:1	515955
FBgn0031868	AGAP004090	1:1	
FBgn0011737	AGAP007798	1:1	547810
FBgn0052829	AGAP006214	1:1	
FBgn0026196	AGAP002171	1:1	801511
FBgn0004838	AGAP001930	1:1	549119
FBgn0031873	AGAP009650	1:1	499393
FBgn0020616	AGAP006998	1:1	853097
FBgn0031875	AGAP011536	1:1	
FBgn0031877	AGAP008717	1:1	
FBgn0021944	AGAP004749	1:1	809845
FBgn0264922	AGAP001701	1:m	
FBgn0264922	AGAP000852	1:m	862067
FBgn0016978	AGAP006755	1:1	547669
FBgn0031879	AGAP002739	1:1	
FBgn0263027	AGAP009787	1:1	813050
FBgn0051908	AGAP009785	1:1	773343
FBgn0031882	AGAP002092	1:1	522113
FBgn0031883	AGAP008433	1:1	547232
FBgn0262872	AGAP008801	1:1	838925
FBgn0031885	AGAP008130	1:1	
FBgn0266666	AGAP003851	1:1	738284
FBgn0031886	AGAP004753	1:1	270274
FBgn0031893	AGAP009117	1:1	755428
FBgn0031897	AGAP008574	1:1	
FBgn0263133	AGAP009737	1:1	863707
FBgn0259111	AAQ21364.1	1:1	516616
FBgn0031900	AGAP009669	1:1	
FBgn0004009	AAT92559.1	1:1	843680
FBgn0031902	AGAP009733	1:1	843678
FBgn0031903	AGAP009731	1:1	843681
FBgn0002938	AGAP009730	1:1	555269
FBgn0031904	AGAP007765	1:1	721056
FBgn0031905	AGAP008223	1:1	809925
FBgn0031906	AGAP008224	1:1	
FBgn0031907	AGAP008225	1:1	720232
FBgn0028387	AGAP009676	1:1	553682
FBgn0031912	AGAP007975	1:1	774253
FBgn0031913	AGAP009381	1:m	
FBgn0031913	AGAP009385	1:m	530535
FBgn0031914	AGAP009364	1:1	530549
FBgn0025697	AGAP003373	1:1	749620
FBgn0045495	AGAP010195	1:1	689784
FBgn0031918	AGAP010196	1:m	331870
FBgn0031918	AGAP012666	1:m	
FBgn0260486	AGAP008535	1:1	685647
FBgn0264895	AGAP009533	1:1	671264
FBgn0264087	AGAP009331	1:1	795920
FBgn0031930	AGAP011435	1:m	
FBgn0031930	AGAP008370	1:m	
FBgn0267326	AGAP008467	1:1	
FBgn0014454	AGAP008447	1:1	693854
FBgn0031942	AGAP008446	1:1	
FBgn0020880	AGAP008441	1:1	746042
FBgn0003961	AGAP008440	1:1	807941
FBgn0031947	AGAP009307	1:1	847013
FBgn0031948	AGAP008631	1:1	
FBgn0025687	AGAP008632	1:1	522079
FBgn0031950	AGAP008633	1:1	
FBgn0031951	AGAP009887	1:1	800573
FBgn0261800	AGAP001381	1:1	836732
FBgn0027515	AGAP008536	1:1	556081
FBgn0020618	AGAP010173	1:1	546994
FBgn0004177	AGAP010172	1:1	
FBgn0031955	AGAP008357	1:1	689756
FBgn0031957	AGAP000537	1:1	
FBgn0031961	AGAP010439	1:1	830357
FBgn0261790	AGAP010440	1:1	795836
FBgn0083968	AGAP002277	n:1	851512
FBgn0031968	AGAP007860	1:1	849740
FBgn0031972	AGAP008423	1:1	508650
FBgn0031973	ABJ52806.1	1:m	
FBgn0031973	ABJ52813.1	1:m	
FBgn0031973	ABJ52804.1	1:m	
FBgn0031975	AGAP009100	1:1	824225
FBgn0031977	AGAP008753	1:1	825194
FBgn0044323	AGAP008755	1:1	547534
FBgn0031979	AGAP005049	1:1	843761
FBgn0031980	AGAP003538	1:1	860074
FBgn0031981	AGAP008185	1:1	551114
FBgn0011230	AGAP001157	1:1	828145
FBgn0013531	AGAP005604	1:1	671296
FBgn0010287	AGAP008084	1:1	830529
FBgn0267488	AGAP008407	1:1	265921
FBgn0031985	AGAP009972	1:1	714297
FBgn0031986	AGAP000258	1:1	
FBgn0031987	AGAP004236	1:1	662018
FBgn0261064	AGAP000547	1:1	498967
FBgn0031992	AGAP000546	1:1	854988
FBgn0264953	AGAP009276	n:1	
FBgn0031995	AGAP009278	1:1	802162
FBgn0031996	AGAP008124	1:1	688180
FBgn0031997	AGAP009304	1:1	813570
FBgn0031998	AGAP007836	n:1	839568
FBgn0015299	AGAP012041	1:1	530102
FBgn0032000	AGAP012042	1:1	805557
FBgn0032001	AGAP009489	1:1	816207
FBgn0032005	AGAP004487	1:1	808967
FBgn0032006	AGAP008813	1:1	549682
FBgn0032008	AGAP007851	1:1	335807
FBgn0032010	AGAP008318	1:1	556090
FBgn0003502	AGAP008317	1:1	
FBgn0261020	AGAP008315	1:1	489826
FBgn0032013	AGAP007686	1:1	844213
FBgn0032014	AGAP007493	1:1	696525
FBgn0032015	AGAP010010	1:1	814218
FBgn0032016	AGAP008111	1:1	650531
FBgn0032017	AGAP008110	1:1	
FBgn0032018	AGAP007917	1:1	547423
FBgn0032020	AGAP008798	1:1	497827
FBgn0032021	AGAP008113	1:1	774579
FBgn0032023	AGAP008115	1:1	727571
FBgn0032026	AGAP006427	1:1	
FBgn0010265	AAA93478.1	1:1	838849
FBgn0261437	AGAP008857	1:1	516885
FBgn0260439	AGAP009105	1:1	515926
FBgn0032029	AGAP009104	1:1	270802
FBgn0032030	AGAP009700	1:1	547131
FBgn0032031	AGAP009702	1:1	866097
FBgn0032032	AGAP012227	1:1	713116
FBgn0027094	AAV70298.1	1:1	781700
FBgn0032033	AGAP000896	1:1	735132
FBgn0263852	AAQ94040.1	1:1	842813
FBgn0032036	AGAP008490	1:1	547620
FBgn0040959	AGAP006991	n:m	
FBgn0040959	AGAP001006	n:m	
FBgn0001084	AGAP008489	1:1	804523
FBgn0020497	AGAP009929	1:1	529351
FBgn0014417	AGAP011750	1:1	793883
FBgn0032042	AGAP009930	1:1	268940
FBgn0043002	AGAP005051	1:m	548340
FBgn0043002	AGAP012825	1:m	
FBgn0002887	AGAP008939	1:1	813128
FBgn0027780	AGAP010071	1:1	547544
FBgn0026718	AGAP009415	1:1	744309
FBgn0029173	AGAP009406	1:1	267919
FBgn0262029	AGAP009933	1:1	551043
FBgn0032050	AGAP007254	1:1	555467
FBgn0032051	AGAP008882	1:1	547388
FBgn0032052	AGAP008074	1:1	547083
FBgn0032053	AGAP003770	1:1	800239
FBgn0032054	AGAP001737	1:1	755015
FBgn0032055	AGAP005985	n:m	
FBgn0032055	AGAP001343	n:m	
FBgn0250903	AGAP008196	1:1	828172
FBgn0028394	AGAP008658	1:1	335784
FBgn0011259	AGAP008656	1:1	837142
FBgn0032058	AGAP010917	1:m	
FBgn0032058	AGAP011365	1:m	780904
FBgn0032059	AGAP011756	1:1	835340
FBgn0260861	AGAP008106	1:1	263873
FBgn0032074	AGAP009651	1:1	641230
FBgn0032075	AGAP008647	1:1	641229
FBgn0032076	AGAP008141	1:1	858955
FBgn0032077	AGAP008707	1:1	860298
FBgn0032078	AGAP009979	1:1	795240
FBgn0032079	AGAP009864	1:m	754832
FBgn0032079	AGAP012814	1:m	
FBgn0032083	AGAP009319	1:1	864442
FBgn0032084	AGAP009583	1:1	748343
FBgn0013746	AGAP008598	1:1	830929
FBgn0040964	AGAP009967	1:1	862693
FBgn0015316	AGAP008292	n:m	
FBgn0015316	AGAP008293	n:m	
FBgn0015316	AGAP008294	n:m	611131
FBgn0015316	AGAP008295	n:m	
FBgn0015316	AGAP008296	n:m	
FBgn0032096	AAL35507.1	n:m	
FBgn0032096	AGAP009520	n:m	789122
FBgn0052982	AGAP009666	1:1	
FBgn0032101	AGAP009665	1:1	518074
FBgn0041092	AGAP009664	1:1	554382
FBgn0032105	AGAP011220	1:1	
FBgn0267252	AGAP009953	1:1	853466
FBgn0010314	AGAP009442	1:1	846365
FBgn0026439	AGAP009443	1:1	507670
FBgn0012036	AGAP003652	1:1	661717
FBgn0032115	AGAP011521	n:1	
FBgn0032116	AAN17505.1	1:1	
FBgn0011232	AGAP008353	1:1	762588
FBgn0032119	AGAP010165	1:1	823387
FBgn0002973	AGAP010167	1:1	268131
