mouse_ID	human_ID
ENSMUSG00000089311	
ENSMUSG00000064671	
ENSMUSG00000064806	
ENSMUSG00000088410	RF00322
ENSMUSG00000093823	
ENSMUSG00000076271	
ENSMUSG00000088799	
ENSMUSG00000088947	
ENSMUSG00000098776	
ENSMUSG00000094309	
ENSMUSG00000065581	
ENSMUSG00000065543	
ENSMUSG00000077941	
ENSMUSG00000099257	
ENSMUSG00000089288	RNU6-1015P
ENSMUSG00000065828	
ENSMUSG00000052928	CTIF
ENSMUSG00000084722	
ENSMUSG00000092696	
ENSMUSG00000089477	
ENSMUSG00000088901	
ENSMUSG00000025014	DNTT
ENSMUSG00000098719	
ENSMUSG00000099110	
ENSMUSG00000064613	RNU1-146P
ENSMUSG00000088419	RF00156
ENSMUSG00000088189	
ENSMUSG00000088803	RN7SKP59
ENSMUSG00000088803	RN7SKP58
ENSMUSG00000089188	
ENSMUSG00000036961	WNT8B
ENSMUSG00000024256	ADCYAP1
ENSMUSG00000089380	
ENSMUSG00000098623	
ENSMUSG00000088084	
ENSMUSG00000093052	
ENSMUSG00000065084	
ENSMUSG00000088314	RF00425
ENSMUSG00000088314	RF00425
ENSMUSG00000088314	SNORA18
ENSMUSG00000088314	RF00425
ENSMUSG00000088314	RF00425
ENSMUSG00000088314	RF00425
ENSMUSG00000088314	RF00425
ENSMUSG00000093816	
ENSMUSG00000098339	
ENSMUSG00000089117	
ENSMUSG00000098474	
ENSMUSG00000077776	
ENSMUSG00000087916	
ENSMUSG00000089247	RF00612
ENSMUSG00000038059	SMIM3
ENSMUSG00000077214	
ENSMUSG00000064855	
ENSMUSG00000098401	
ENSMUSG00000077421	RNU6-393P
ENSMUSG00000089390	
ENSMUSG00000088198	
ENSMUSG00000064632	
ENSMUSG00000095871	
ENSMUSG00000099301	
ENSMUSG00000092652	
ENSMUSG00000098885	
ENSMUSG00000077575	RF00334
ENSMUSG00000077575	SNORA3C
ENSMUSG00000077575	RF00334
ENSMUSG00000077575	RF00334
ENSMUSG00000077575	SNORA3B
ENSMUSG00000088890	
ENSMUSG00000080424	
ENSMUSG00000087999	RNU1-125P
ENSMUSG00000088066	RNU6-934P
ENSMUSG00000088693	
ENSMUSG00000098859	RF01947
ENSMUSG00000080511	
ENSMUSG00000089501	
ENSMUSG00000089323	
ENSMUSG00000025172	ANKRD2
ENSMUSG00000076987	
ENSMUSG00000064455	
ENSMUSG00000096313	SNORD116-8
ENSMUSG00000096313	SNORD116-7
ENSMUSG00000096313	SNORD116-6
ENSMUSG00000096313	SNORD116-3
ENSMUSG00000096313	SNORD116-4
ENSMUSG00000096313	SNORD116-9
ENSMUSG00000096313	SNORD116-1
ENSMUSG00000096313	SNORD116-2
ENSMUSG00000096313	SNORD116-5
ENSMUSG00000080529	
ENSMUSG00000070077	
ENSMUSG00000077903	
ENSMUSG00000098973	
ENSMUSG00000098850	RF02271
ENSMUSG00000104628	
ENSMUSG00000099320	
ENSMUSG00000096826	CCL27
ENSMUSG00000064788	RF00410
ENSMUSG00000088672	
ENSMUSG00000065494	
ENSMUSG00000025076	CASP7
ENSMUSG00000065303	
ENSMUSG00000065027	
ENSMUSG00000095178	
ENSMUSG00000071037	CAMKMT
ENSMUSG00000088535	
ENSMUSG00000098607	
ENSMUSG00000093302	
ENSMUSG00000089248	
ENSMUSG00000098922	
ENSMUSG00000024907	GAL
ENSMUSG00000095660	SNORD115-30
ENSMUSG00000095660	SNORD115-32
ENSMUSG00000095660	SNORD115-8
ENSMUSG00000095660	SNORD115-42
ENSMUSG00000095660	SNORD115-34
ENSMUSG00000095660	SNORD115-6
ENSMUSG00000095660	SNORD115-15
ENSMUSG00000095660	SNORD115-39
ENSMUSG00000095660	SNORD115-14
ENSMUSG00000095660	SNORD115-38
ENSMUSG00000095660	SNORD115-24
ENSMUSG00000064511	RF00421
ENSMUSG00000088956	
ENSMUSG00000089001	
ENSMUSG00000077413	RF00088
ENSMUSG00000077413	SNORD30
ENSMUSG00000098750	RF00492
ENSMUSG00000087817	RN7SKP31
ENSMUSG00000087817	RN7SKP49
ENSMUSG00000089191	
ENSMUSG00000096423	
ENSMUSG00000065628	SNORD33
ENSMUSG00000077653	
ENSMUSG00000088099	RF00100
ENSMUSG00000088377	
ENSMUSG00000095037	RF00560
ENSMUSG00000095037	RF00560
ENSMUSG00000095037	RF00560
ENSMUSG00000065607	
ENSMUSG00000088195	
ENSMUSG00000092826	
ENSMUSG00000088651	RF00561
ENSMUSG00000064487	RF00181
ENSMUSG00000064487	SNORD114-13
ENSMUSG00000064487	SNORD114-16
ENSMUSG00000064487	SNORD114-11
ENSMUSG00000065340	
ENSMUSG00000093212	
ENSMUSG00000098380	
ENSMUSG00000064999	RN7SKP71
ENSMUSG00000077435	
ENSMUSG00000096031	
ENSMUSG00000084616	
ENSMUSG00000065644	RF00421
ENSMUSG00000095342	SNORD115-30
ENSMUSG00000095342	SNORD115-32
ENSMUSG00000095342	SNORD115-8
ENSMUSG00000095342	SNORD115-42
ENSMUSG00000095342	SNORD115-34
ENSMUSG00000095342	SNORD115-6
ENSMUSG00000095342	SNORD115-15
ENSMUSG00000095342	SNORD115-39
ENSMUSG00000095342	SNORD115-14
ENSMUSG00000095342	SNORD115-38
ENSMUSG00000095342	SNORD115-24
ENSMUSG00000098578	RNU6-1333P
ENSMUSG00000098578	RNU6-180P
ENSMUSG00000065389	
ENSMUSG00000077711	
ENSMUSG00000099042	
ENSMUSG00000096357	
ENSMUSG00000065686	SNORA5C
ENSMUSG00000087835	
ENSMUSG00000024970	SPINDOC
ENSMUSG00000105029	
ENSMUSG00000057858	FAM204A
ENSMUSG00000025228	ACTR1A
ENSMUSG00000089175	SCARNA14
ENSMUSG00000077438	
ENSMUSG00000080396	SNORD111
ENSMUSG00000095946	
ENSMUSG00000089124	RNU6-1326P
ENSMUSG00000080359	
ENSMUSG00000084478	
ENSMUSG00000076460	
ENSMUSG00000088383	RPPH1-3P
ENSMUSG00000088383	RPPH1
ENSMUSG00000076385	
ENSMUSG00000106587	
ENSMUSG00000077553	
ENSMUSG00000065771	
ENSMUSG00000098392	
ENSMUSG00000077148	RNU6-402P
ENSMUSG00000065725	RF00156
ENSMUSG00000084613	
ENSMUSG00000099132	
ENSMUSG00000094791	
ENSMUSG00000089425	
ENSMUSG00000024587	NARS
ENSMUSG00000084441	RNU6-84P
ENSMUSG00000070078	
ENSMUSG00000064755	
ENSMUSG00000098820	
ENSMUSG00000098493	
ENSMUSG00000084688	
ENSMUSG00000088474	RN7SKP34
ENSMUSG00000088474	RN7SKP66
ENSMUSG00000077241	
ENSMUSG00000092673	
ENSMUSG00000094255	
ENSMUSG00000040541	TMEM225
ENSMUSG00000076394	
ENSMUSG00000089279	
ENSMUSG00000098265	RF01891
ENSMUSG00000094869	SYCP3
ENSMUSG00000071659	HNRNPUL2
ENSMUSG00000071659	HNRNPUL2-BSCL2
ENSMUSG00000024885	ALDH3B1
ENSMUSG00000077397	
ENSMUSG00000064781	RNU6-493P
ENSMUSG00000077461	RNU6-681P
ENSMUSG00000095635	RNU6-47P
ENSMUSG00000063388	
ENSMUSG00000098415	
ENSMUSG00000025092	HSPA12A
ENSMUSG00000098695	
ENSMUSG00000088671	
ENSMUSG00000065653	RF00428
ENSMUSG00000065653	SNORA38B
ENSMUSG00000065627	
ENSMUSG00000095019	
ENSMUSG00000089161	SNORA48B
ENSMUSG00000089161	RF00554
ENSMUSG00000089161	RF00554
ENSMUSG00000089161	RF00554
ENSMUSG00000089161	RF00554
ENSMUSG00000089161	RF00554
ENSMUSG00000089161	SNORA48
ENSMUSG00000089161	RF00554
ENSMUSG00000089161	RF00554
ENSMUSG00000089161	RF00554
ENSMUSG00000089161	RF00554
ENSMUSG00000089161	RF00554
ENSMUSG00000089161	RF00554
ENSMUSG00000088278	RNU1-75P
ENSMUSG00000076051	
ENSMUSG00000088225	RF00561
ENSMUSG00000095031	SNORD115-30
ENSMUSG00000095031	SNORD115-32
ENSMUSG00000095031	SNORD115-8
ENSMUSG00000095031	SNORD115-42
ENSMUSG00000095031	SNORD115-34
ENSMUSG00000095031	SNORD115-6
ENSMUSG00000095031	SNORD115-15
ENSMUSG00000095031	SNORD115-39
ENSMUSG00000095031	SNORD115-14
ENSMUSG00000095031	SNORD115-38
ENSMUSG00000095031	SNORD115-24
ENSMUSG00000034039	
ENSMUSG00000093158	
ENSMUSG00000098606	
ENSMUSG00000094579	RNU6-277P
ENSMUSG00000024352	SPATA24
ENSMUSG00000089596	NRON
ENSMUSG00000065813	
ENSMUSG00000077298	
ENSMUSG00000096673	
ENSMUSG00000064783	SNORA71D
ENSMUSG00000064783	RF00056
ENSMUSG00000089312	RN7SKP227
ENSMUSG00000088697	
ENSMUSG00000024306	CCDC178
ENSMUSG00000067279	PPP1R3C
ENSMUSG00000091938	CCL19
ENSMUSG00000105697	
ENSMUSG00000089392	
ENSMUSG00000077620	
ENSMUSG00000094677	
ENSMUSG00000025016	TM9SF3
ENSMUSG00000077409	RNU6-873P
ENSMUSG00000084440	
ENSMUSG00000044201	CDC25C
ENSMUSG00000099295	RF02166
ENSMUSG00000093161	
ENSMUSG00000084621	RNU2-37P
ENSMUSG00000096136	SNORD115-30
ENSMUSG00000096136	SNORD115-32
ENSMUSG00000096136	SNORD115-8
ENSMUSG00000096136	SNORD115-42
ENSMUSG00000096136	SNORD115-34
ENSMUSG00000096136	SNORD115-6
ENSMUSG00000096136	SNORD115-15
ENSMUSG00000096136	SNORD115-39
ENSMUSG00000096136	SNORD115-14
ENSMUSG00000096136	SNORD115-38
ENSMUSG00000096136	SNORD115-24
ENSMUSG00000058430	
ENSMUSG00000073639	RAB18
ENSMUSG00000084457	
ENSMUSG00000104817	
ENSMUSG00000093997	SNORD115-30
ENSMUSG00000093997	SNORD115-32
ENSMUSG00000093997	SNORD115-8
ENSMUSG00000093997	SNORD115-42
ENSMUSG00000093997	SNORD115-34
ENSMUSG00000093997	SNORD115-6
ENSMUSG00000093997	SNORD115-15
ENSMUSG00000093997	SNORD115-39
ENSMUSG00000093997	SNORD115-14
ENSMUSG00000093997	SNORD115-38
ENSMUSG00000093997	SNORD115-24
ENSMUSG00000106253	
ENSMUSG00000064967	RNU1-131P
ENSMUSG00000094155	
ENSMUSG00000076042	
ENSMUSG00000064407	RNU6-662P
ENSMUSG00000064407	RNU6-861P
ENSMUSG00000094639	
ENSMUSG00000098431	
ENSMUSG00000096302	SNORD116-8
ENSMUSG00000096302	SNORD116-7
ENSMUSG00000096302	SNORD116-6
ENSMUSG00000096302	SNORD116-3
ENSMUSG00000096302	SNORD116-4
ENSMUSG00000096302	SNORD116-9
ENSMUSG00000096302	SNORD116-1
ENSMUSG00000096302	SNORD116-2
ENSMUSG00000096302	SNORD116-5
ENSMUSG00000077191	RF00570
ENSMUSG00000077191	SNORD64
ENSMUSG00000096895	
ENSMUSG00000088776	
ENSMUSG00000089268	
ENSMUSG00000080507	
ENSMUSG00000024425	NDFIP1
ENSMUSG00000077677	RNU6-330P
ENSMUSG00000104689	
ENSMUSG00000024989	CEP55
ENSMUSG00000080487	
ENSMUSG00000089446	
ENSMUSG00000037013	SS18
ENSMUSG00000089134	
ENSMUSG00000065937	
ENSMUSG00000099169	
ENSMUSG00000093002	
ENSMUSG00000065387	
ENSMUSG00000087781	SNORA48B
ENSMUSG00000087781	RF00554
ENSMUSG00000087781	RF00554
ENSMUSG00000087781	RF00554
ENSMUSG00000087781	RF00554
ENSMUSG00000087781	RF00554
ENSMUSG00000087781	SNORA48
ENSMUSG00000087781	RF00554
ENSMUSG00000087781	RF00554
ENSMUSG00000087781	RF00554
ENSMUSG00000087781	RF00554
ENSMUSG00000087781	RF00554
ENSMUSG00000087781	RF00554
ENSMUSG00000024854	AP003419.1
ENSMUSG00000024854	POLD4
ENSMUSG00000052673	
ENSMUSG00000089046	
ENSMUSG00000064417	
ENSMUSG00000089296	RNU6-851P
ENSMUSG00000089296	RNU6-650P
ENSMUSG00000089296	RNU6-900P
ENSMUSG00000089296	RNU6-540P
ENSMUSG00000089296	RNU6-113P
ENSMUSG00000089296	RNU6-957P
ENSMUSG00000089296	RNU6-1187P
ENSMUSG00000104948	
ENSMUSG00000105849	
ENSMUSG00000084431	
ENSMUSG00000094037	SNORD115-30
ENSMUSG00000094037	SNORD115-32
ENSMUSG00000094037	SNORD115-8
ENSMUSG00000094037	SNORD115-42
ENSMUSG00000094037	SNORD115-34
ENSMUSG00000094037	SNORD115-6
ENSMUSG00000094037	SNORD115-15
ENSMUSG00000094037	SNORD115-39
ENSMUSG00000094037	SNORD115-14
ENSMUSG00000094037	SNORD115-38
ENSMUSG00000094037	SNORD115-24
ENSMUSG00000065392	SNORD26
ENSMUSG00000060375	
ENSMUSG00000106299	
ENSMUSG00000094159	
ENSMUSG00000088812	
ENSMUSG00000077501	
ENSMUSG00000096801	
ENSMUSG00000088518	RF00411
ENSMUSG00000096126	
ENSMUSG00000089298	RN7SKP195
ENSMUSG00000043445	PGP
ENSMUSG00000077743	
ENSMUSG00000065251	RNU2-1
ENSMUSG00000065251	RF00004
ENSMUSG00000065251	RNU2-64P
ENSMUSG00000065251	RF00004
ENSMUSG00000065251	RF00004
ENSMUSG00000065251	RF00004
ENSMUSG00000065251	RF00004
ENSMUSG00000065251	RF00004
ENSMUSG00000065251	RF00004
ENSMUSG00000065251	RF00004
ENSMUSG00000065251	RF00004
ENSMUSG00000065251	RF00004
ENSMUSG00000065251	RF00004
ENSMUSG00000065251	RF00004
ENSMUSG00000092004	
ENSMUSG00000094148	SNORD115-30
ENSMUSG00000094148	SNORD115-32
ENSMUSG00000094148	SNORD115-8
ENSMUSG00000094148	SNORD115-42
ENSMUSG00000094148	SNORD115-34
ENSMUSG00000094148	SNORD115-6
ENSMUSG00000094148	SNORD115-15
ENSMUSG00000094148	SNORD115-39
ENSMUSG00000094148	SNORD115-14
ENSMUSG00000094148	SNORD115-38
ENSMUSG00000094148	SNORD115-24
ENSMUSG00000098981	
ENSMUSG00000084644	RF00019
ENSMUSG00000008482	RNF151
ENSMUSG00000084645	
ENSMUSG00000105400	SCARNA4
ENSMUSG00000105400	RF00423
ENSMUSG00000092097	UNKL
ENSMUSG00000064759	
ENSMUSG00000090673	
ENSMUSG00000092731	
ENSMUSG00000099211	
ENSMUSG00000080610	SNORD110
ENSMUSG00000054134	UMODL1
ENSMUSG00000089070	RNU6-1129P
ENSMUSG00000096379	
ENSMUSG00000098857	RF01946
ENSMUSG00000095052	
ENSMUSG00000091285	
ENSMUSG00000098379	
ENSMUSG00000064858	RF00560
ENSMUSG00000064858	SNORA17B
ENSMUSG00000064858	RF00560
ENSMUSG00000075228	
ENSMUSG00000093428	
ENSMUSG00000094704	RNU7-126P
ENSMUSG00000095240	
ENSMUSG00000089239	RF00154
ENSMUSG00000095229	
ENSMUSG00000093515	
ENSMUSG00000076309	
ENSMUSG00000080342	MIR1225
ENSMUSG00000095602	
ENSMUSG00000105847	
ENSMUSG00000077427	
ENSMUSG00000024485	SLC4A9
ENSMUSG00000084675	
ENSMUSG00000057561	
ENSMUSG00000089081	
ENSMUSG00000053729	
ENSMUSG00000076050	
ENSMUSG00000033825	
ENSMUSG00000077401	
ENSMUSG00000094462	
ENSMUSG00000077506	RF00493
ENSMUSG00000077506	RF00493
ENSMUSG00000093325	RNU6-969P
ENSMUSG00000093172	
ENSMUSG00000088661	RNU6-337P
ENSMUSG00000097112	
ENSMUSG00000077697	
ENSMUSG00000059734	NDUFS8
ENSMUSG00000096550	
ENSMUSG00000080681	
ENSMUSG00000078850	
ENSMUSG00000077881	
ENSMUSG00000079438	
ENSMUSG00000076274	
ENSMUSG00000025025	MXI1
ENSMUSG00000095843	
ENSMUSG00000077618	
ENSMUSG00000071036	
ENSMUSG00000096238	
ENSMUSG00000094419	
ENSMUSG00000094855	
ENSMUSG00000039954	STK32A
ENSMUSG00000036743	PSMA8
ENSMUSG00000039840	EPG5
ENSMUSG00000098260	RF02149
ENSMUSG00000087926	
ENSMUSG00000031600	VPS37A
ENSMUSG00000077274	RF00568
ENSMUSG00000077274	RF00568
ENSMUSG00000065448	MIR154
ENSMUSG00000093314	
ENSMUSG00000078017	
ENSMUSG00000098732	RF02175
ENSMUSG00000089186	RN7SKP62
ENSMUSG00000064859	
ENSMUSG00000096085	RNU6-502P
ENSMUSG00000096085	RNU6-430P
ENSMUSG00000065719	
ENSMUSG00000036278	MACROD1
ENSMUSG00000045094	ARHGEF37
ENSMUSG00000088265	RNU7-126P
ENSMUSG00000084669	
ENSMUSG00000077821	
ENSMUSG00000089391	
ENSMUSG00000065622	RNU2-52P
ENSMUSG00000065622	RNU2-25P
ENSMUSG00000073789	
ENSMUSG00000096479	RNU6-20P
ENSMUSG00000088057	
ENSMUSG00000096019	SNORD116-8
ENSMUSG00000096019	SNORD116-7
ENSMUSG00000096019	SNORD116-6
ENSMUSG00000096019	SNORD116-3
ENSMUSG00000096019	SNORD116-4
ENSMUSG00000096019	SNORD116-9
ENSMUSG00000096019	SNORD116-1
ENSMUSG00000096019	SNORD116-2
ENSMUSG00000096019	SNORD116-5
ENSMUSG00000092898	
ENSMUSG00000092838	
ENSMUSG00000093860	SNORD115-30
ENSMUSG00000093860	SNORD115-32
ENSMUSG00000093860	SNORD115-8
ENSMUSG00000093860	SNORD115-42
ENSMUSG00000093860	SNORD115-34
ENSMUSG00000093860	SNORD115-6
ENSMUSG00000093860	SNORD115-15
ENSMUSG00000093860	SNORD115-39
ENSMUSG00000093860	SNORD115-14
ENSMUSG00000093860	SNORD115-38
ENSMUSG00000093860	SNORD115-24
ENSMUSG00000065206	
ENSMUSG00000065939	
ENSMUSG00000089422	
ENSMUSG00000070192	
ENSMUSG00000093835	
ENSMUSG00000084647	
ENSMUSG00000084753	
ENSMUSG00000096392	SNORD115-30
ENSMUSG00000096392	SNORD115-32
ENSMUSG00000096392	SNORD115-8
ENSMUSG00000096392	SNORD115-42
ENSMUSG00000096392	SNORD115-34
ENSMUSG00000096392	SNORD115-6
ENSMUSG00000096392	SNORD115-15
ENSMUSG00000096392	SNORD115-39
ENSMUSG00000096392	SNORD115-14
ENSMUSG00000096392	SNORD115-38
ENSMUSG00000096392	SNORD115-24
ENSMUSG00000088282	
ENSMUSG00000077921	
ENSMUSG00000094636	SNORD115-30
ENSMUSG00000094636	SNORD115-32
ENSMUSG00000094636	SNORD115-8
ENSMUSG00000094636	SNORD115-42
ENSMUSG00000094636	SNORD115-34
ENSMUSG00000094636	SNORD115-6
ENSMUSG00000094636	SNORD115-15
ENSMUSG00000094636	SNORD115-39
ENSMUSG00000094636	SNORD115-14
ENSMUSG00000094636	SNORD115-38
ENSMUSG00000094636	SNORD115-24
ENSMUSG00000104911	
ENSMUSG00000080465	SNORD94
ENSMUSG00000098599	RF01875
ENSMUSG00000003779	KIF20A
ENSMUSG00000077383	
ENSMUSG00000096786	RNU6-32P
ENSMUSG00000077892	
ENSMUSG00000106360	
ENSMUSG00000098976	
ENSMUSG00000105145	
ENSMUSG00000095386	
ENSMUSG00000098365	
ENSMUSG00000099154	
ENSMUSG00000088527	
ENSMUSG00000099063	
ENSMUSG00000096381	
ENSMUSG00000042705	COMMD10
ENSMUSG00000065435	
ENSMUSG00000065709	SNORA44
ENSMUSG00000095754	SPIN2A
ENSMUSG00000095754	SPIN2B
ENSMUSG00000064477	RF00421
ENSMUSG00000065037	RN7SKP147
ENSMUSG00000089578	RN7SKP40
ENSMUSG00000088746	
ENSMUSG00000077559	
ENSMUSG00000089285	
ENSMUSG00000065541	
ENSMUSG00000073565	PRR16
ENSMUSG00000096441	
ENSMUSG00000096597	
ENSMUSG00000084632	
ENSMUSG00000096721	
ENSMUSG00000095068	
ENSMUSG00000024510	FTMT
ENSMUSG00000024078	TTC27
ENSMUSG00000099068	RF01976
ENSMUSG00000104594	
ENSMUSG00000064547	
ENSMUSG00000071648	ROM1
ENSMUSG00000054069	
ENSMUSG00000088302	
ENSMUSG00000092972	
ENSMUSG00000045730	ADRB2
ENSMUSG00000087831	RF00139
ENSMUSG00000087831	RF00139
ENSMUSG00000087831	SNORA72
ENSMUSG00000087831	RF00139
ENSMUSG00000077302	
ENSMUSG00000088819	
ENSMUSG00000065674	
ENSMUSG00000024027	GLP1R
ENSMUSG00000075983	RNU6-90P
ENSMUSG00000075983	RNU6-151P
ENSMUSG00000074720	
ENSMUSG00000075525	
ENSMUSG00000099101	
ENSMUSG00000104979	
ENSMUSG00000094059	SNORD115-30
ENSMUSG00000094059	SNORD115-32
ENSMUSG00000094059	SNORD115-8
ENSMUSG00000094059	SNORD115-42
ENSMUSG00000094059	SNORD115-34
ENSMUSG00000094059	SNORD115-6
ENSMUSG00000094059	SNORD115-15
ENSMUSG00000094059	SNORD115-39
ENSMUSG00000094059	SNORD115-14
ENSMUSG00000094059	SNORD115-38
ENSMUSG00000094059	SNORD115-24
ENSMUSG00000071855	CCDC112
ENSMUSG00000089096	
ENSMUSG00000053740	
ENSMUSG00000098838	MIR381
ENSMUSG00000088524	SNORD2
ENSMUSG00000088524	RF01299
ENSMUSG00000095425	SNORD115-30
ENSMUSG00000095425	SNORD115-32
ENSMUSG00000095425	SNORD115-8
ENSMUSG00000095425	SNORD115-42
ENSMUSG00000095425	SNORD115-34
ENSMUSG00000095425	SNORD115-6
ENSMUSG00000095425	SNORD115-15
ENSMUSG00000095425	SNORD115-39
ENSMUSG00000095425	SNORD115-14
ENSMUSG00000095425	SNORD115-38
ENSMUSG00000095425	SNORD115-24
ENSMUSG00000080524	
ENSMUSG00000052713	ZNF608
ENSMUSG00000093289	SNORD92
ENSMUSG00000075480	
ENSMUSG00000092897	
ENSMUSG00000065501	
ENSMUSG00000076444	
ENSMUSG00000098410	
ENSMUSG00000088228	RF00156
ENSMUSG00000098465	
ENSMUSG00000095856	
ENSMUSG00000076064	
ENSMUSG00000106493	MIR9-1
ENSMUSG00000091230	HIST1H1B
ENSMUSG00000000673	HAAO
ENSMUSG00000098764	
ENSMUSG00000088050	RNU7-126P
ENSMUSG00000116275	ZC3H11A
ENSMUSG00000064529	
ENSMUSG00000088422	
ENSMUSG00000044065	
ENSMUSG00000064919	
ENSMUSG00000024687	OSBP
ENSMUSG00000093091	
ENSMUSG00000093214	
ENSMUSG00000098406	
ENSMUSG00000088085	RNU6-979P
ENSMUSG00000088016	RNU6-656P
ENSMUSG00000064983	RNU6-1034P
ENSMUSG00000064983	RNU6-235P
ENSMUSG00000098839	
ENSMUSG00000098723	
ENSMUSG00000098462	RF01871
ENSMUSG00000089364	
ENSMUSG00000093120	
ENSMUSG00000089384	
ENSMUSG00000099118	
ENSMUSG00000092888	RNU4-22P
ENSMUSG00000065663	
ENSMUSG00000065048	RNU6-1141P
ENSMUSG00000084541	
ENSMUSG00000077834	
ENSMUSG00000087975	
ENSMUSG00000077480	
ENSMUSG00000088499	RNU6-488P
ENSMUSG00000088499	RNU6-712P
ENSMUSG00000093988	
ENSMUSG00000095926	
ENSMUSG00000098966	
ENSMUSG00000098896	
ENSMUSG00000099079	
ENSMUSG00000077804	RF00560
ENSMUSG00000077804	RF00560
ENSMUSG00000077804	RF00560
ENSMUSG00000096841	
ENSMUSG00000087890	
ENSMUSG00000095951	
