mouse_ID	rat_ID	orthotype	OMAgroup
ENSMUSG00000039879	ENSRNOG00000060972	1:1	847374
ENSMUSG00000078453	ENSRNOG00000051450	1:1	744771
ENSMUSG00000019854	ENSRNOG00000059224	1:1	548445
ENSMUSG00000071392	ENSRNOG00000055142	1:1	764291
ENSMUSG00000059554	ENSRNOG00000053347	1:1	810773
ENSMUSG00000039835	ENSRNOG00000060603	1:1	548853
ENSMUSG00000019853	ENSRNOG00000053735	1:1	818330
ENSMUSG00000019852	ENSRNOG00000011460	1:1	837023
ENSMUSG00000044624	ENSRNOG00000025799	1:1	593178
ENSMUSG00000019851	ENSRNOG00000011994	1:1	260686
ENSMUSG00000019850	ENSRNOG00000049517	1:1	811362
ENSMUSG00000045591	ENSRNOG00000012057	1:1	802364
ENSMUSG00000020009	ENSRNOG00000012074	1:1	797949
ENSMUSG00000039760	ENSRNOG00000012259	1:1	838513
ENSMUSG00000020007	ENSRNOG00000012286	1:1	752285
ENSMUSG00000050473	ENSRNOG00000012311	1:1	778652
ENSMUSG00000020003	ENSRNOG00000012322	1:1	817342
ENSMUSG00000071369	ENSRNOG00000031700	1:1	856170
ENSMUSG00000019996	ENSRNOG00000012701	1:1	549951
ENSMUSG00000037608	ENSRNOG00000058050	1:1	266691
ENSMUSG00000019990	ENSRNOG00000013436	1:1	792113
ENSMUSG00000019986	ENSRNOG00000013969	1:1	843019
ENSMUSG00000019982	ENSRNOG00000055858	1:1	823501
ENSMUSG00000019977	ENSRNOG00000014531	1:1	863720
ENSMUSG00000037542	ENSRNOG00000014907	1:1	661723
ENSMUSG00000050844	ENSRNOG00000059251	1:1	260442
ENSMUSG00000019970	ENSRNOG00000011815	1:1	548204
ENSMUSG00000069712	ENSRNOG00000050153	n:m	
ENSMUSG00000069712	ENSRNOG00000030159	n:m	274637
ENSMUSG00000069712	ENSRNOG00000050269	n:m	
ENSMUSG00000053219	ENSRNOG00000023659	n:1	643664
ENSMUSG00000075297	ENSRNOG00000050129	1:m	286811
ENSMUSG00000075297	ENSRNOG00000042852	1:m	
ENSMUSG00000078452	ENSRNOG00000023659	n:1	
ENSMUSG00000037490	ENSRNOG00000011161	1:1	547338
ENSMUSG00000071359	ENSRNOG00000011114	1:1	830528
ENSMUSG00000045680	ENSRNOG00000016700	1:1	843075
ENSMUSG00000010461	ENSRNOG00000016627	1:1	748440
ENSMUSG00000061983	ENSRNOG00000016411	n:m	
ENSMUSG00000061983	ENSRNOG00000020093	n:m	766654
ENSMUSG00000037455	ENSRNOG00000016371	1:1	549373
ENSMUSG00000020010	ENSRNOG00000039865	1:1	780154
ENSMUSG00000037440	ENSRNOG00000016219	1:1	780157
ENSMUSG00000056379	ENSRNOG00000016073	1:1	657325
ENSMUSG00000059763	ENSRNOG00000025951	1:1	270861
ENSMUSG00000069708	ENSRNOG00000025982	1:1	271096
ENSMUSG00000069707	ENSRNOG00000029877	1:1	706326
ENSMUSG00000069706	ENSRNOG00000039869	1:1	533699
ENSMUSG00000045111	ENSRNOG00000016089	1:1	743553
ENSMUSG00000095647	ENSRNOG00000048072	n:m	
ENSMUSG00000095647	ENSRNOG00000048265	n:m	
ENSMUSG00000095647	ENSRNOG00000046903	n:m	
ENSMUSG00000095647	ENSRNOG00000045914	n:m	
ENSMUSG00000095647	ENSRNOG00000047825	n:m	271556
ENSMUSG00000095647	ENSRNOG00000046302	n:m	
ENSMUSG00000095171	ENSRNOG00000048072	n:m	
ENSMUSG00000095171	ENSRNOG00000048265	n:m	743555
ENSMUSG00000095171	ENSRNOG00000046903	n:m	
ENSMUSG00000095171	ENSRNOG00000045914	n:m	
ENSMUSG00000095171	ENSRNOG00000047825	n:m	
ENSMUSG00000095171	ENSRNOG00000046302	n:m	
ENSMUSG00000095569	ENSRNOG00000048072	n:m	
ENSMUSG00000095569	ENSRNOG00000048265	n:m	
ENSMUSG00000095569	ENSRNOG00000046903	n:m	
ENSMUSG00000095569	ENSRNOG00000045914	n:m	
ENSMUSG00000095569	ENSRNOG00000047825	n:m	
ENSMUSG00000095569	ENSRNOG00000046302	n:m	271907
ENSMUSG00000100689	ENSRNOG00000048072	n:m	
ENSMUSG00000100689	ENSRNOG00000048265	n:m	
ENSMUSG00000100689	ENSRNOG00000046903	n:m	272184
ENSMUSG00000100689	ENSRNOG00000045914	n:m	
ENSMUSG00000100689	ENSRNOG00000047825	n:m	
ENSMUSG00000100689	ENSRNOG00000046302	n:m	
ENSMUSG00000100950	ENSRNOG00000048072	n:m	
ENSMUSG00000100950	ENSRNOG00000048265	n:m	
ENSMUSG00000100950	ENSRNOG00000046903	n:m	
ENSMUSG00000100950	ENSRNOG00000045914	n:m	272550
ENSMUSG00000100950	ENSRNOG00000047825	n:m	
ENSMUSG00000100950	ENSRNOG00000046302	n:m	
ENSMUSG00000096442	ENSRNOG00000056705	n:1	
ENSMUSG00000100186	ENSRNOG00000030414	1:1	743554
ENSMUSG00000100004	ENSRNOG00000056705	n:1	743562
ENSMUSG00000037424	ENSRNOG00000026096	1:1	657488
ENSMUSG00000019998	ENSRNOG00000015670	1:m	795546
ENSMUSG00000019998	ENSRNOG00000048248	1:m	
ENSMUSG00000020000	ENSRNOG00000015321	1:1	738336
ENSMUSG00000019997	ENSRNOG00000015036	1:1	270470
ENSMUSG00000037370	ENSRNOG00000013994	1:1	814040
ENSMUSG00000019989	ENSRNOG00000013791	1:1	814039
ENSMUSG00000019984	ENSRNOG00000013422	1:1	776724
ENSMUSG00000019987	ENSRNOG00000013304	1:1	856719
ENSMUSG00000039166	ENSRNOG00000013202	1:1	
ENSMUSG00000019978	ENSRNOG00000012346	1:1	765398
ENSMUSG00000096546	ENSRNOG00000047821	1:1	723493
ENSMUSG00000049420	ENSRNOG00000047783	1:1	268722
ENSMUSG00000039089	ENSRNOG00000011720	1:1	746001
ENSMUSG00000039031	ENSRNOG00000011245	1:1	734476
ENSMUSG00000019889	ENSRNOG00000047605	1:1	762139
ENSMUSG00000049109	ENSRNOG00000014979	1:1	790940
ENSMUSG00000015519	ENSRNOG00000012581	1:1	809878
ENSMUSG00000038916	ENSRNOG00000012324	1:1	266697
ENSMUSG00000004360	ENSRNOG00000042309	1:1	773349
ENSMUSG00000019883	ENSRNOG00000011622	1:1	549107
ENSMUSG00000038876	ENSRNOG00000011588	1:1	811611
ENSMUSG00000019880	ENSRNOG00000011568	1:1	844716
ENSMUSG00000075266	ENSRNOG00000042944	1:1	744880
ENSMUSG00000019792	ENSRNOG00000014240	1:1	772080
ENSMUSG00000019791	ENSRNOG00000014190	1:1	714499
ENSMUSG00000039697	ENSRNOG00000014004	1:1	770993
ENSMUSG00000019789	ENSRNOG00000013364	1:1	549420
ENSMUSG00000000295	ENSRNOG00000021442	1:1	837035
ENSMUSG00000000296	ENSRNOG00000021478	1:1	813946
ENSMUSG00000063760	ENSRNOG00000013323	1:1	496435
ENSMUSG00000069670	ENSRNOG00000029608	1:1	787425
ENSMUSG00000019787	ENSRNOG00000012609	1:1	554778
ENSMUSG00000019785	ENSRNOG00000012122	1:1	530536
ENSMUSG00000039552	ENSRNOG00000047471	1:1	816006
ENSMUSG00000039531	ENSRNOG00000000398	1:1	642659
ENSMUSG00000019782	ENSRNOG00000042916	1:1	805520
ENSMUSG00000071340	ENSRNOG00000031290	1:1	862593
ENSMUSG00000039508	ENSRNOG00000000580	1:1	843085
ENSMUSG00000049872	ENSRNOG00000000825	1:1	843086
ENSMUSG00000046031	ENSRNOG00000037757	1:1	843081
ENSMUSG00000039497	ENSRNOG00000000824	1:1	801771
ENSMUSG00000047514	ENSRNOG00000000549	1:1	738399
ENSMUSG00000039480	ENSRNOG00000000546	1:1	726861
ENSMUSG00000039485	ENSRNOG00000000547	1:1	
ENSMUSG00000039462	ENSRNOG00000051399	1:1	550350
ENSMUSG00000019779	ENSRNOG00000000543	1:1	549465
ENSMUSG00000063953	ENSRNOG00000000585	n:1	
ENSMUSG00000044499	ENSRNOG00000000605	1:1	731058
ENSMUSG00000069662	ENSRNOG00000000579	1:1	552359
ENSMUSG00000094311	ENSRNOG00000058648	1:1	
ENSMUSG00000019846	ENSRNOG00000000599	1:1	266083
ENSMUSG00000051736	ENSRNOG00000024918	1:1	261307
ENSMUSG00000019845	ENSRNOG00000000598	1:1	696187
ENSMUSG00000062074	ENSRNOG00000000597	1:1	812605
ENSMUSG00000019843	ENSRNOG00000000596	1:1	553918
ENSMUSG00000019842	ENSRNOG00000000595	1:1	799528
ENSMUSG00000019841	ENSRNOG00000000593	1:1	796948
ENSMUSG00000096687	ENSRNOG00000024543	1:1	549635
ENSMUSG00000039339	ENSRNOG00000042918	n:m	562439
ENSMUSG00000039339	ENSRNOG00000000589	n:m	
ENSMUSG00000071335	ENSRNOG00000050425	1:1	576665
ENSMUSG00000038528	ENSRNOG00000000590	1:1	565882
ENSMUSG00000038522	ENSRNOG00000042918	n:m	
ENSMUSG00000038522	ENSRNOG00000000589	n:m	574247
ENSMUSG00000019838	ENSRNOG00000000588	1:1	547215
ENSMUSG00000038510	ENSRNOG00000000587	1:1	828918
ENSMUSG00000019837	ENSRNOG00000000586	1:1	810140
ENSMUSG00000075232	ENSRNOG00000000585	n:1	802738
ENSMUSG00000038481	ENSRNOG00000000583	1:1	550507
ENSMUSG00000063428	ENSRNOG00000000582	1:1	636832
ENSMUSG00000045555	ENSRNOG00000024221	1:1	826051
ENSMUSG00000038446	ENSRNOG00000000581	1:1	
ENSMUSG00000019831	ENSRNOG00000047476	1:1	552503
ENSMUSG00000046922	ENSRNOG00000049580	1:1	742562
ENSMUSG00000038417	ENSRNOG00000000312	1:1	693068
ENSMUSG00000091415	ENSRNOG00000037688	1:1	665624
ENSMUSG00000019826	ENSRNOG00000000308	1:1	552067
ENSMUSG00000019823	ENSRNOG00000000307	1:1	825927
ENSMUSG00000019822	ENSRNOG00000000306	1:1	846221
ENSMUSG00000019818	ENSRNOG00000000304	1:1	553287
ENSMUSG00000075225	ENSRNOG00000037668	1:1	744886
ENSMUSG00000019813	ENSRNOG00000000303	1:1	812926
ENSMUSG00000038332	ENSRNOG00000000302	1:1	785595
ENSMUSG00000071324	ENSRNOG00000026217	1:1	750783
ENSMUSG00000048756	ENSRNOG00000000299	1:1	842425
ENSMUSG00000019803	ENSRNOG00000050550	1:1	852947
ENSMUSG00000038280	ENSRNOG00000037647	1:1	830885
ENSMUSG00000019802	ENSRNOG00000000314	1:1	739380
ENSMUSG00000044770	ENSRNOG00000026110	1:1	828662
ENSMUSG00000038248	ENSRNOG00000000316	1:1	552523
ENSMUSG00000045008	ENSRNOG00000026080	1:1	260427
ENSMUSG00000038240	ENSRNOG00000042962	1:1	858654
ENSMUSG00000038214	ENSRNOG00000046505	1:1	811042
ENSMUSG00000045886	ENSRNOG00000004608	n:1	856954
ENSMUSG00000019797	ENSRNOG00000047118	1:1	762837
ENSMUSG00000047139	ENSRNOG00000000321	1:1	714543
ENSMUSG00000019863	ENSRNOG00000026049	1:1	694718
ENSMUSG00000019864	ENSRNOG00000000279	1:1	786336
ENSMUSG00000038160	ENSRNOG00000000322	1:1	703497
ENSMUSG00000038151	ENSRNOG00000000323	1:1	548802
ENSMUSG00000019849	ENSRNOG00000051061	1:1	763670
ENSMUSG00000019848	ENSRNOG00000047102	1:1	682370
ENSMUSG00000063804	ENSRNOG00000025938	1:1	550288
ENSMUSG00000056073	ENSRNOG00000000368	1:1	770482
ENSMUSG00000038774	ENSRNOG00000037604	1:1	823914
ENSMUSG00000019913	ENSRNOG00000037600	1:1	791465
ENSMUSG00000062593	ENSRNOG00000027811	n:1	
ENSMUSG00000112023	ENSRNOG00000027811	n:1	
ENSMUSG00000112148	ENSRNOG00000027811	n:1	
ENSMUSG00000019905	ENSRNOG00000000401	1:1	641451
ENSMUSG00000019900	ENSRNOG00000027949	1:1	798145
ENSMUSG00000049641	ENSRNOG00000000405	1:1	749847
ENSMUSG00000019893	ENSRNOG00000000406	1:1	805618
ENSMUSG00000019891	ENSRNOG00000000407	1:1	831952
ENSMUSG00000019861	ENSRNOG00000000408	1:1	831205
ENSMUSG00000038624	ENSRNOG00000000410	1:1	551891
ENSMUSG00000023068	ENSRNOG00000000411	1:1	750611
ENSMUSG00000038602	ENSRNOG00000000412	1:1	778663
ENSMUSG00000038594	ENSRNOG00000000414	1:1	822368
ENSMUSG00000038583	ENSRNOG00000000413	1:1	259469
ENSMUSG00000019857	ENSRNOG00000000415	1:1	840865
ENSMUSG00000019856	ENSRNOG00000026407	1:1	548477
ENSMUSG00000003746	ENSRNOG00000000800	1:1	526735
ENSMUSG00000038122	ENSRNOG00000000802	1:1	816161
ENSMUSG00000047669	ENSRNOG00000000801	1:1	817622
ENSMUSG00000050953	ENSRNOG00000000805	1:1	755707
ENSMUSG00000019877	ENSRNOG00000029360	1:1	738167
ENSMUSG00000019876	ENSRNOG00000000811	1:1	777964
ENSMUSG00000019874	ENSRNOG00000000814	1:1	741051
ENSMUSG00000019872	ENSRNOG00000000815	1:1	
ENSMUSG00000038039	ENSRNOG00000000823	1:1	549478
ENSMUSG00000019920	ENSRNOG00000037765	1:1	548905
ENSMUSG00000003226	ENSRNOG00000000796	1:1	859097
ENSMUSG00000038010	ENSRNOG00000028581	1:1	824670
ENSMUSG00000003227	ENSRNOG00000028598	1:1	809063
ENSMUSG00000037990	ENSRNOG00000046791	1:1	850530
ENSMUSG00000019917	ENSRNOG00000049507	1:1	839025
ENSMUSG00000098188	ENSRNOG00000048831	1:1	643505
ENSMUSG00000019916	ENSRNOG00000050655	1:1	540080
ENSMUSG00000069622	ENSRNOG00000019811	n:1	670970
ENSMUSG00000009646	ENSRNOG00000046619	1:1	689234
ENSMUSG00000009654	ENSRNOG00000046365	1:1	794925
ENSMUSG00000009647	ENSRNOG00000045920	1:1	818043
ENSMUSG00000020111	ENSRNOG00000043436	1:1	755428
ENSMUSG00000020109	ENSRNOG00000030408	1:1	857769
ENSMUSG00000020108	ENSRNOG00000057078	1:1	808001
ENSMUSG00000020107	ENSRNOG00000000576	1:1	265734
ENSMUSG00000044475	ENSRNOG00000056647	1:1	752838
ENSMUSG00000058297	ENSRNOG00000061544	1:1	800174
ENSMUSG00000057337	ENSRNOG00000000572	1:1	500236
ENSMUSG00000004207	ENSRNOG00000000571	1:1	792859
ENSMUSG00000012819	ENSRNOG00000033087	1:1	555645
ENSMUSG00000020101	ENSRNOG00000000569	1:1	828423
ENSMUSG00000090439	ENSRNOG00000046494	1:1	744882
ENSMUSG00000020100	ENSRNOG00000000568	1:1	712030
ENSMUSG00000020099	ENSRNOG00000000567	1:1	835911
ENSMUSG00000020098	ENSRNOG00000000566	1:1	741698
ENSMUSG00000020097	ENSRNOG00000000565	1:1	824799
ENSMUSG00000020096	ENSRNOG00000000564	1:1	797444
ENSMUSG00000059901	ENSRNOG00000000563	1:1	549872
ENSMUSG00000037202	ENSRNOG00000000562	1:1	268108
ENSMUSG00000020092	ENSRNOG00000000561	1:1	829361
ENSMUSG00000037171	ENSRNOG00000000556	1:1	826584
ENSMUSG00000020091	ENSRNOG00000055391	1:1	516348
ENSMUSG00000037151	ENSRNOG00000000560	1:1	548080
ENSMUSG00000020090	ENSRNOG00000000559	1:1	657384
ENSMUSG00000020088	ENSRNOG00000000557	1:1	775021
ENSMUSG00000020087	ENSRNOG00000024839	1:1	817452
ENSMUSG00000020085	ENSRNOG00000059445	1:1	510553
ENSMUSG00000020086	ENSRNOG00000024751	1:1	551343
ENSMUSG00000058806	ENSRNOG00000000552	1:1	551081
ENSMUSG00000020083	ENSRNOG00000000551	1:m	802813
ENSMUSG00000020083	ENSRNOG00000051000	1:m	
ENSMUSG00000044312	ENSRNOG00000024413	1:1	759937
ENSMUSG00000037031	ENSRNOG00000046204	1:1	828706
ENSMUSG00000020081	ENSRNOG00000050658	1:1	657307
ENSMUSG00000037012	ENSRNOG00000046891	1:1	793285
ENSMUSG00000020080	ENSRNOG00000049045	1:1	
ENSMUSG00000020079	ENSRNOG00000000392	1:1	738032
ENSMUSG00000020078	ENSRNOG00000030683	1:1	862137
ENSMUSG00000020077	ENSRNOG00000000394	1:1	
ENSMUSG00000036955	ENSRNOG00000000395	1:1	703467
ENSMUSG00000020075	ENSRNOG00000043099	1:m	547670
ENSMUSG00000020075	ENSRNOG00000048990	1:m	
ENSMUSG00000020076	ENSRNOG00000000396	1:1	549315
ENSMUSG00000036923	ENSRNOG00000023712	1:1	834701
ENSMUSG00000020074	ENSRNOG00000000397	1:1	843637
ENSMUSG00000047146	ENSRNOG00000000277	1:1	816879
ENSMUSG00000071253	ENSRNOG00000000387	1:1	497998
ENSMUSG00000020070	ENSRNOG00000000390	1:1	548214
ENSMUSG00000020069	ENSRNOG00000048193	1:1	549392
ENSMUSG00000112129	ENSRNOG00000000386	1:1	783239
ENSMUSG00000036816	ENSRNOG00000000384	1:1	764782
ENSMUSG00000020067	ENSRNOG00000000383	1:1	551473
ENSMUSG00000020064	ENSRNOG00000061040	1:1	739653
ENSMUSG00000020063	ENSRNOG00000051592	1:1	798746
ENSMUSG00000036764	ENSRNOG00000051960	1:1	681419
ENSMUSG00000042846	ENSRNOG00000026466	1:1	831904
ENSMUSG00000019873	ENSRNOG00000000645	1:1	775453
ENSMUSG00000037876	ENSRNOG00000000648	1:1	829212
ENSMUSG00000075000	ENSRNOG00000000641	1:1	803911
ENSMUSG00000037868	ENSRNOG00000000640	1:1	551985
ENSMUSG00000037855	ENSRNOG00000000638	1:1	803537
ENSMUSG00000037846	ENSRNOG00000000636	1:1	844623
ENSMUSG00000019945	ENSRNOG00000000634	1:1	818520
ENSMUSG00000060044	ENSRNOG00000027859	1:1	794986
ENSMUSG00000019944	ENSRNOG00000000633	1:1	842478
ENSMUSG00000019942	ENSRNOG00000000632	1:1	547096
ENSMUSG00000048701	ENSRNOG00000024019	1:1	549149
ENSMUSG00000037762	ENSRNOG00000049063	1:1	550961
ENSMUSG00000043259	ENSRNOG00000000275	1:1	734493
ENSMUSG00000037747	ENSRNOG00000000274	1:1	796816
ENSMUSG00000014329	ENSRNOG00000000614	1:1	857244
ENSMUSG00000003923	ENSRNOG00000000613	1:1	549825
ENSMUSG00000019927	ENSRNOG00000000611	1:1	547951
ENSMUSG00000037710	ENSRNOG00000000610	1:1	516477
ENSMUSG00000060733	ENSRNOG00000000609	1:1	650771
ENSMUSG00000019923	ENSRNOG00000048682	1:1	310099
ENSMUSG00000009070	ENSRNOG00000001315	1:1	814127
ENSMUSG00000040009	ENSRNOG00000001313	1:1	498834
ENSMUSG00000020175	ENSRNOG00000001311	1:1	522185
ENSMUSG00000009681	ENSRNOG00000001304	1:1	786231
ENSMUSG00000033444	ENSRNOG00000001303	1:1	851030
ENSMUSG00000020178	ENSRNOG00000001302	1:1	792985
ENSMUSG00000033427	ENSRNOG00000038258	1:1	732110
ENSMUSG00000020180	ENSRNOG00000050410	1:1	793363
ENSMUSG00000046807	ENSRNOG00000046428	1:1	822849
ENSMUSG00000006345	ENSRNOG00000047697	1:1	
ENSMUSG00000006342	ENSRNOG00000033389	1:1	789094
ENSMUSG00000020196	ENSRNOG00000001237	1:1	844858
ENSMUSG00000001666	ENSRNOG00000001239	1:1	844818
ENSMUSG00000001663	ENSRNOG00000049771	1:1	839878
ENSMUSG00000009093	ENSRNOG00000038300	1:1	839953
ENSMUSG00000033318	ENSRNOG00000052415	1:m	839907
ENSMUSG00000033318	ENSRNOG00000052360	1:m	
ENSMUSG00000033307	ENSRNOG00000034106	1:m	
ENSMUSG00000033307	ENSRNOG00000056076	1:m	844815
ENSMUSG00000009092	ENSRNOG00000055498	1:1	689449
ENSMUSG00000000902	ENSRNOG00000061740	1:1	844761
ENSMUSG00000000901	ENSRNOG00000054959	1:1	788568
ENSMUSG00000049422	ENSRNOG00000053231	1:1	847028
ENSMUSG00000050157	ENSRNOG00000051980	1:1	544776
ENSMUSG00000000903	ENSRNOG00000060011	1:1	775989
ENSMUSG00000033255	ENSRNOG00000029979	1:m	
ENSMUSG00000033255	ENSRNOG00000054815	1:m	839597
ENSMUSG00000049764	ENSRNOG00000052545	1:1	268107
ENSMUSG00000020226	ENSRNOG00000001298	1:1	839647
ENSMUSG00000020229	ENSRNOG00000049734	1:m	839566
ENSMUSG00000020229	ENSRNOG00000056938	1:m	
ENSMUSG00000020230	ENSRNOG00000001297	1:1	749107
ENSMUSG00000033208	ENSRNOG00000001295	1:1	283006
ENSMUSG00000020231	ENSRNOG00000043212	1:1	553741
ENSMUSG00000001151	ENSRNOG00000001276	1:1	550189
ENSMUSG00000009114	ENSRNOG00000012714	1:1	793988
ENSMUSG00000033126	ENSRNOG00000021365	1:1	859041
ENSMUSG00000001150	ENSRNOG00000001272	1:1	764739
ENSMUSG00000033105	ENSRNOG00000054549	1:1	834416
ENSMUSG00000009115	ENSRNOG00000001262	1:1	764346
ENSMUSG00000001155	ENSRNOG00000001261	1:1	752399
ENSMUSG00000020241	ENSRNOG00000001254	1:1	785632
ENSMUSG00000001119	ENSRNOG00000001249	1:1	761602
ENSMUSG00000001120	ENSRNOG00000001245	1:1	547778
ENSMUSG00000001436	ENSRNOG00000001232	1:1	814832
ENSMUSG00000001435	ENSRNOG00000001229	1:1	550597
ENSMUSG00000020260	ENSRNOG00000001228	1:1	856105
ENSMUSG00000020262	ENSRNOG00000001227	1:1	809891
ENSMUSG00000032977	ENSRNOG00000001225	1:1	817562
ENSMUSG00000000290	ENSRNOG00000001224	1:1	775850
ENSMUSG00000009291	ENSRNOG00000001223	1:1	794660
ENSMUSG00000020265	ENSRNOG00000003670	n:m	
ENSMUSG00000020265	ENSRNOG00000038489	n:m	
ENSMUSG00000020265	ENSRNOG00000032840	n:m	
ENSMUSG00000112241	ENSRNOG00000003670	n:m	
ENSMUSG00000112241	ENSRNOG00000038489	n:m	
ENSMUSG00000112241	ENSRNOG00000032840	n:m	862070
ENSMUSG00000009293	ENSRNOG00000001222	1:1	546992
ENSMUSG00000069581	ENSRNOG00000001219	1:1	764294
ENSMUSG00000095970	ENSRNOG00000042329	n:m	
ENSMUSG00000095970	ENSRNOG00000060674	n:m	
ENSMUSG00000095970	ENSRNOG00000001218	n:m	
ENSMUSG00000095970	ENSRNOG00000032530	n:m	
ENSMUSG00000095970	ENSRNOG00000047532	n:m	
ENSMUSG00000095970	ENSRNOG00000042797	n:m	
ENSMUSG00000095970	ENSRNOG00000046538	n:m	
ENSMUSG00000095970	ENSRNOG00000043302	n:m	568579
ENSMUSG00000112170	ENSRNOG00000042329	n:m	558080
ENSMUSG00000112170	ENSRNOG00000060674	n:m	
ENSMUSG00000112170	ENSRNOG00000001218	n:m	
ENSMUSG00000112170	ENSRNOG00000032530	n:m	
ENSMUSG00000112170	ENSRNOG00000047532	n:m	
ENSMUSG00000112170	ENSRNOG00000042797	n:m	
ENSMUSG00000112170	ENSRNOG00000046538	n:m	
ENSMUSG00000112170	ENSRNOG00000043302	n:m	
ENSMUSG00000069584	ENSRNOG00000033928	n:m	
ENSMUSG00000069584	ENSRNOG00000057487	n:m	
ENSMUSG00000069584	ENSRNOG00000001220	n:m	
ENSMUSG00000069584	ENSRNOG00000058151	n:m	
ENSMUSG00000069584	ENSRNOG00000042956	n:m	
ENSMUSG00000069584	ENSRNOG00000046323	n:m	558068
ENSMUSG00000094012	ENSRNOG00000033928	n:m	
ENSMUSG00000094012	ENSRNOG00000057487	n:m	
ENSMUSG00000094012	ENSRNOG00000001220	n:m	
ENSMUSG00000094012	ENSRNOG00000058151	n:m	
ENSMUSG00000094012	ENSRNOG00000042956	n:m	580065
ENSMUSG00000094012	ENSRNOG00000046323	n:m	
ENSMUSG00000094146	ENSRNOG00000033928	n:m	563229
ENSMUSG00000094146	ENSRNOG00000057487	n:m	
ENSMUSG00000094146	ENSRNOG00000001220	n:m	
ENSMUSG00000094146	ENSRNOG00000058151	n:m	
ENSMUSG00000094146	ENSRNOG00000042956	n:m	
ENSMUSG00000094146	ENSRNOG00000046323	n:m	
ENSMUSG00000069583	ENSRNOG00000033928	n:m	
ENSMUSG00000069583	ENSRNOG00000057487	n:m	
ENSMUSG00000069583	ENSRNOG00000001220	n:m	
ENSMUSG00000069583	ENSRNOG00000058151	n:m	580114
ENSMUSG00000069583	ENSRNOG00000042956	n:m	
ENSMUSG00000069583	ENSRNOG00000046323	n:m	
ENSMUSG00000096421	ENSRNOG00000033928	n:m	
ENSMUSG00000096421	ENSRNOG00000057487	n:m	
ENSMUSG00000096421	ENSRNOG00000001220	n:m	564235
ENSMUSG00000096421	ENSRNOG00000058151	n:m	
