mouse_ID	zebrafish_ID	orthotype	OMAgroup
ENSMUSG00000062866	ENSDARG00000027172	1:1	843634
ENSMUSG00000019810	ENSDARG00000044073	1:1	
ENSMUSG00000019809	ENSDARG00000013973	1:1	495780
ENSMUSG00000019808	ENSDARG00000041944	1:1	722333
ENSMUSG00000019806	ENSDARG00000007171	1:1	739631
ENSMUSG00000015501	ENSDARG00000039987	1:1	841924
ENSMUSG00000039116	ENSDARG00000054137	1:1	266303
ENSMUSG00000019868	ENSDARG00000013732	1:1	547797
ENSMUSG00000019865	ENSDARG00000054152	1:1	
ENSMUSG00000019867	ENSDARG00000053062	1:m	
ENSMUSG00000019867	ENSDARG00000054150	1:m	259783
ENSMUSG00000039910	ENSDARG00000030905	1:1	774897
ENSMUSG00000039879	ENSDARG00000042877	1:1	847374
ENSMUSG00000078453	ENSDARG00000042876	1:1	744771
ENSMUSG00000019854	ENSDARG00000002877	1:1	548445
ENSMUSG00000071392	ENSDARG00000091471	1:1	764291
ENSMUSG00000059554	ENSDARG00000022983	1:1	
ENSMUSG00000039835	ENSDARG00000054537	1:m	
ENSMUSG00000039835	ENSDARG00000042627	1:m	
ENSMUSG00000019853	ENSDARG00000042630	1:1	818330
ENSMUSG00000019852	ENSDARG00000077656	1:1	837023
ENSMUSG00000019851	ENSDARG00000063572	1:1	260686
ENSMUSG00000019850	ENSDARG00000027777	1:1	811362
ENSMUSG00000039760	ENSDARG00000039439	1:1	838513
ENSMUSG00000050473	ENSDARG00000107442	1:1	778652
ENSMUSG00000020003	ENSDARG00000042553	1:1	817342
ENSMUSG00000071369	ENSDARG00000005416	1:1	856170
ENSMUSG00000019996	ENSDARG00000104435	1:1	549951
ENSMUSG00000019992	ENSDARG00000060394	1:1	833449
ENSMUSG00000019986	ENSDARG00000044056	1:1	843019
ENSMUSG00000019982	ENSDARG00000053666	1:1	823501
ENSMUSG00000019977	ENSDARG00000036778	1:1	863720
ENSMUSG00000037542	ENSDARG00000036776	1:1	661723
ENSMUSG00000019970	ENSDARG00000025522	1:1	548204
ENSMUSG00000037490	ENSDARG00000036865	1:1	547338
ENSMUSG00000071359	ENSDARG00000036868	1:1	830528
ENSMUSG00000045680	ENSDARG00000036869	1:1	843075
ENSMUSG00000010461	ENSDARG00000012397	1:1	748440
ENSMUSG00000061983	ENSDARG00000036875	n:1	
ENSMUSG00000037455	ENSDARG00000044047	1:1	549373
ENSMUSG00000056379	ENSDARG00000089000	1:m	
ENSMUSG00000056379	ENSDARG00000090592	1:m	
ENSMUSG00000056379	ENSDARG00000093466	1:m	
ENSMUSG00000056379	ENSDARG00000095762	1:m	
ENSMUSG00000056379	ENSDARG00000041466	1:m	
ENSMUSG00000056379	ENSDARG00000069214	1:m	657325
ENSMUSG00000059763	ENSDARG00000074325	n:m	
ENSMUSG00000059763	ENSDARG00000088462	n:m	
ENSMUSG00000059763	ENSDARG00000086376	n:m	
ENSMUSG00000059763	ENSDARG00000087419	n:m	
ENSMUSG00000059763	ENSDARG00000089074	n:m	
ENSMUSG00000059763	ENSDARG00000094548	n:m	
ENSMUSG00000059763	ENSDARG00000086412	n:m	270861
ENSMUSG00000059763	ENSDARG00000069201	n:m	
ENSMUSG00000059763	ENSDARG00000092734	n:m	
ENSMUSG00000059763	ENSDARG00000069177	n:m	
ENSMUSG00000059763	ENSDARG00000069203	n:m	
ENSMUSG00000059763	ENSDARG00000069205	n:m	
ENSMUSG00000069708	ENSDARG00000074325	n:m	
ENSMUSG00000069708	ENSDARG00000088462	n:m	271096
ENSMUSG00000069708	ENSDARG00000086376	n:m	
ENSMUSG00000069708	ENSDARG00000087419	n:m	
ENSMUSG00000069708	ENSDARG00000089074	n:m	
ENSMUSG00000069708	ENSDARG00000094548	n:m	
ENSMUSG00000069708	ENSDARG00000086412	n:m	
ENSMUSG00000069708	ENSDARG00000069201	n:m	
ENSMUSG00000069708	ENSDARG00000092734	n:m	
ENSMUSG00000069708	ENSDARG00000069177	n:m	
ENSMUSG00000069708	ENSDARG00000069203	n:m	
ENSMUSG00000069708	ENSDARG00000069205	n:m	
ENSMUSG00000069707	ENSDARG00000074325	n:m	
ENSMUSG00000069707	ENSDARG00000088462	n:m	
ENSMUSG00000069707	ENSDARG00000086376	n:m	706326
ENSMUSG00000069707	ENSDARG00000087419	n:m	
ENSMUSG00000069707	ENSDARG00000089074	n:m	
ENSMUSG00000069707	ENSDARG00000094548	n:m	
ENSMUSG00000069707	ENSDARG00000086412	n:m	
ENSMUSG00000069707	ENSDARG00000069201	n:m	
ENSMUSG00000069707	ENSDARG00000092734	n:m	
ENSMUSG00000069707	ENSDARG00000069177	n:m	
ENSMUSG00000069707	ENSDARG00000069203	n:m	
ENSMUSG00000069707	ENSDARG00000069205	n:m	
ENSMUSG00000019998	ENSDARG00000069208	1:1	795546
ENSMUSG00000020000	ENSDARG00000031136	1:1	738336
ENSMUSG00000019997	ENSDARG00000042934	1:1	270470
ENSMUSG00000037370	ENSDARG00000005789	1:1	814040
ENSMUSG00000019984	ENSDARG00000029157	1:1	776724
ENSMUSG00000019987	ENSDARG00000057429	1:1	856719
ENSMUSG00000039166	ENSDARG00000043843	1:1	
ENSMUSG00000049420	ENSDARG00000031540	1:1	268722
ENSMUSG00000051354	ENSDARG00000077572	1:m	
ENSMUSG00000051354	ENSDARG00000070757	1:m	
ENSMUSG00000051354	ENSDARG00000070661	1:m	
ENSMUSG00000051354	ENSDARG00000102939	1:m	
ENSMUSG00000051354	ENSDARG00000098653	1:m	777951
ENSMUSG00000051354	ENSDARG00000068915	1:m	
ENSMUSG00000051354	ENSDARG00000086185	1:m	
ENSMUSG00000051354	ENSDARG00000100407	1:m	
ENSMUSG00000039089	ENSDARG00000025983	1:1	746001
ENSMUSG00000039031	ENSDARG00000074740	1:1	734476
ENSMUSG00000019889	ENSDARG00000063416	1:1	762139
ENSMUSG00000049109	ENSDARG00000010619	1:1	790940
ENSMUSG00000015519	ENSDARG00000095751	1:m	
ENSMUSG00000015519	ENSDARG00000090722	1:m	809878
ENSMUSG00000038916	ENSDARG00000063311	1:m	
ENSMUSG00000038916	ENSDARG00000075455	1:m	
ENSMUSG00000004360	ENSDARG00000088571	1:1	773349
ENSMUSG00000038876	ENSDARG00000089981	1:1	
ENSMUSG00000019880	ENSDARG00000070081	1:1	844716
ENSMUSG00000075266	ENSDARG00000092136	1:1	
ENSMUSG00000019792	ENSDARG00000040033	1:1	772080
ENSMUSG00000019791	ENSDARG00000074286	1:m	714499
ENSMUSG00000019791	ENSDARG00000055365	1:m	
ENSMUSG00000019789	ENSDARG00000013441	1:1	549420
ENSMUSG00000000295	ENSDARG00000034957	1:1	837035
ENSMUSG00000000296	ENSDARG00000042548	1:1	813946
ENSMUSG00000063760	ENSDARG00000020284	1:1	
ENSMUSG00000069670	ENSDARG00000069427	1:1	
ENSMUSG00000019787	ENSDARG00000041779	1:1	
ENSMUSG00000019785	ENSDARG00000053122	1:1	530536
ENSMUSG00000090298	ENSDARG00000094089	n:m	
ENSMUSG00000090298	ENSDARG00000042920	n:m	787085
ENSMUSG00000090298	ENSDARG00000071495	n:m	
ENSMUSG00000090298	ENSDARG00000040781	n:m	
ENSMUSG00000090298	ENSDARG00000093619	n:m	
ENSMUSG00000090298	ENSDARG00000009885	n:m	
ENSMUSG00000069668	ENSDARG00000094089	n:m	
ENSMUSG00000069668	ENSDARG00000042920	n:m	
ENSMUSG00000069668	ENSDARG00000071495	n:m	
ENSMUSG00000069668	ENSDARG00000040781	n:m	
ENSMUSG00000069668	ENSDARG00000093619	n:m	787094
ENSMUSG00000069668	ENSDARG00000009885	n:m	
ENSMUSG00000039552	ENSDARG00000067606	n:1	816006
ENSMUSG00000039531	ENSDARG00000059983	1:1	642659
ENSMUSG00000019782	ENSDARG00000015930	1:1	805520
ENSMUSG00000049872	ENSDARG00000012726	1:m	843086
ENSMUSG00000049872	ENSDARG00000074947	1:m	
ENSMUSG00000039497	ENSDARG00000017988	1:1	801771
ENSMUSG00000039480	ENSDARG00000006797	1:1	726861
ENSMUSG00000039462	ENSDARG00000054753	1:m	550350
ENSMUSG00000039462	ENSDARG00000101535	1:m	
ENSMUSG00000019779	ENSDARG00000027807	1:1	549465
ENSMUSG00000063953	ENSDARG00000043856	n:1	
ENSMUSG00000069662	ENSDARG00000008803	1:m	
ENSMUSG00000069662	ENSDARG00000004049	1:m	
ENSMUSG00000019846	ENSDARG00000020785	1:1	266083
ENSMUSG00000019845	ENSDARG00000043982	1:1	696187
ENSMUSG00000062074	ENSDARG00000071048	1:1	812605
ENSMUSG00000019843	ENSDARG00000011370	1:m	553918
ENSMUSG00000019843	ENSDARG00000025319	1:m	
ENSMUSG00000019841	ENSDARG00000058801	1:1	796948
ENSMUSG00000096687	ENSDARG00000079571	n:1	549635
ENSMUSG00000038528	ENSDARG00000079571	n:1	
ENSMUSG00000038522	ENSDARG00000079571	n:1	
ENSMUSG00000019838	ENSDARG00000020984	1:1	547215
ENSMUSG00000038510	ENSDARG00000043960	1:1	828918
ENSMUSG00000075232	ENSDARG00000043856	n:1	802738
ENSMUSG00000038481	ENSDARG00000043858	1:1	550507
ENSMUSG00000019834	ENSDARG00000015869	1:1	
ENSMUSG00000063428	ENSDARG00000079664	1:1	636832
ENSMUSG00000038446	ENSDARG00000041226	1:1	547138
ENSMUSG00000046922	ENSDARG00000052400	1:1	742562
ENSMUSG00000091415	ENSDARG00000021913	1:1	665624
ENSMUSG00000019826	ENSDARG00000075533	1:1	552067
ENSMUSG00000019822	ENSDARG00000040523	1:m	
ENSMUSG00000019822	ENSDARG00000052701	1:m	846221
ENSMUSG00000019818	ENSDARG00000013628	1:1	
ENSMUSG00000075225	ENSDARG00000058782	1:1	744886
ENSMUSG00000038332	ENSDARG00000020693	1:1	785595
ENSMUSG00000071324	ENSDARG00000022660	1:1	750783
ENSMUSG00000048756	ENSDARG00000042904	1:1	842425
ENSMUSG00000038302	ENSDARG00000011466	1:1	857572
ENSMUSG00000019804	ENSDARG00000008678	1:1	658778
ENSMUSG00000019803	ENSDARG00000017107	1:1	852947
ENSMUSG00000038280	ENSDARG00000069808	1:1	830885
ENSMUSG00000019802	ENSDARG00000017740	1:1	739380
ENSMUSG00000044770	ENSDARG00000017266	1:1	828662
ENSMUSG00000038248	ENSDARG00000054253	1:1	552523
ENSMUSG00000038240	ENSDARG00000012563	1:1	858654
ENSMUSG00000038214	ENSDARG00000076903	1:1	811042
ENSMUSG00000045886	ENSDARG00000102822	n:1	856954
ENSMUSG00000019797	ENSDARG00000077614	1:1	
ENSMUSG00000019863	ENSDARG00000032704	1:1	694718
ENSMUSG00000019864	ENSDARG00000031366	1:1	786336
ENSMUSG00000038160	ENSDARG00000023396	1:1	703497
ENSMUSG00000038151	ENSDARG00000002445	1:1	548802
ENSMUSG00000019849	ENSDARG00000057151	1:1	763670
ENSMUSG00000019848	ENSDARG00000058551	1:1	682370
ENSMUSG00000071317	ENSDARG00000058548	1:1	682367
ENSMUSG00000038774	ENSDARG00000086678	1:1	823914
ENSMUSG00000019913	ENSDARG00000023316	1:1	791465
ENSMUSG00000019905	ENSDARG00000005371	1:1	641451
ENSMUSG00000019900	ENSDARG00000041702	1:1	798145
ENSMUSG00000049641	ENSDARG00000041706	1:1	749847
ENSMUSG00000019861	ENSDARG00000023117	1:1	831205
ENSMUSG00000023068	ENSDARG00000027813	1:1	750611
ENSMUSG00000038602	ENSDARG00000053003	1:1	778663
ENSMUSG00000038594	ENSDARG00000020777	1:1	822368
ENSMUSG00000038583	ENSDARG00000097256	1:1	259469
ENSMUSG00000019857	ENSDARG00000043713	1:m	840865
ENSMUSG00000019857	ENSDARG00000101037	1:m	
ENSMUSG00000019856	ENSDARG00000002635	1:m	
ENSMUSG00000019856	ENSDARG00000014081	1:m	548477
ENSMUSG00000003746	ENSDARG00000005652	1:1	526735
ENSMUSG00000038122	ENSDARG00000041734	1:1	816161
ENSMUSG00000050953	ENSDARG00000041799	1:1	755707
ENSMUSG00000019878	ENSDARG00000013251	1:1	496719
ENSMUSG00000019877	ENSDARG00000009106	1:1	738167
ENSMUSG00000019876	ENSDARG00000053110	n:1	
ENSMUSG00000019874	ENSDARG00000007697	1:m	741051
ENSMUSG00000019874	ENSDARG00000034650	1:m	
ENSMUSG00000019872	ENSDARG00000053119	1:1	
ENSMUSG00000038039	ENSDARG00000104933	1:1	
ENSMUSG00000019920	ENSDARG00000026985	1:1	548905
ENSMUSG00000003226	ENSDARG00000093125	1:1	859097
ENSMUSG00000003227	ENSDARG00000099088	1:1	809063
ENSMUSG00000037990	ENSDARG00000102334	1:1	850530
ENSMUSG00000019917	ENSDARG00000099236	1:1	
ENSMUSG00000098188	ENSDARG00000059582	1:m	
ENSMUSG00000098188	ENSDARG00000098790	1:m	
ENSMUSG00000019916	ENSDARG00000033537	1:m	540080
ENSMUSG00000019916	ENSDARG00000071082	1:m	
ENSMUSG00000069622	ENSDARG00000100375	n:1	
ENSMUSG00000009646	ENSDARG00000015662	1:1	689234
ENSMUSG00000009654	ENSDARG00000087227	1:1	794925
ENSMUSG00000009647	ENSDARG00000101175	1:1	818043
ENSMUSG00000020111	ENSDARG00000063358	1:1	755428
ENSMUSG00000020109	ENSDARG00000087473	1:m	
ENSMUSG00000020109	ENSDARG00000039363	1:m	857769
ENSMUSG00000020108	ENSDARG00000037618	1:1	
ENSMUSG00000020107	ENSDARG00000013822	1:1	265734
ENSMUSG00000044475	ENSDARG00000077760	1:1	
ENSMUSG00000058297	ENSDARG00000075393	1:1	800174
ENSMUSG00000057337	ENSDARG00000061070	1:1	
ENSMUSG00000004207	ENSDARG00000013968	1:1	792859
ENSMUSG00000012819	ENSDARG00000007561	1:1	555645
ENSMUSG00000020101	ENSDARG00000068784	1:1	828423
ENSMUSG00000020100	ENSDARG00000077828	1:1	712030
ENSMUSG00000020099	ENSDARG00000033327	1:1	835911
ENSMUSG00000020098	ENSDARG00000031981	1:1	741698
ENSMUSG00000020097	ENSDARG00000061375	1:1	824799
ENSMUSG00000020096	ENSDARG00000067831	1:1	797444
ENSMUSG00000059901	ENSDARG00000078494	1:1	549872
ENSMUSG00000037202	ENSDARG00000001572	1:m	
ENSMUSG00000037202	ENSDARG00000089259	1:m	
ENSMUSG00000037202	ENSDARG00000060662	1:m	
ENSMUSG00000037202	ENSDARG00000030394	1:m	268108
ENSMUSG00000020092	ENSDARG00000098946	1:m	829361
ENSMUSG00000020092	ENSDARG00000039352	1:m	
ENSMUSG00000020091	ENSDARG00000031819	1:1	516348
ENSMUSG00000037151	ENSDARG00000105018	1:1	548080
ENSMUSG00000020089	ENSDARG00000030441	1:1	
ENSMUSG00000020088	ENSDARG00000103403	n:1	775021
ENSMUSG00000020087	ENSDARG00000074895	1:1	817452
ENSMUSG00000020085	ENSDARG00000077549	1:1	510553
ENSMUSG00000058806	ENSDARG00000091398	1:1	551081
ENSMUSG00000037031	ENSDARG00000039455	1:1	828706
ENSMUSG00000037012	ENSDARG00000039452	1:1	793285
ENSMUSG00000020080	ENSDARG00000038703	1:1	
ENSMUSG00000020079	ENSDARG00000077728	1:1	738032
ENSMUSG00000020078	ENSDARG00000056549	1:1	862137
ENSMUSG00000036955	ENSDARG00000062053	1:1	703467
ENSMUSG00000020075	ENSDARG00000063626	1:1	547670
ENSMUSG00000020074	ENSDARG00000074759	1:1	843637
ENSMUSG00000071253	ENSDARG00000057287	1:1	497998
ENSMUSG00000036875	ENSDARG00000078759	1:1	784424
ENSMUSG00000020070	ENSDARG00000062019	1:1	548214
ENSMUSG00000020069	ENSDARG00000039466	1:1	549392
ENSMUSG00000020072	ENSDARG00000016704	n:m	
ENSMUSG00000020072	ENSDARG00000026359	n:m	783242
ENSMUSG00000112129	ENSDARG00000016704	n:m	783239
ENSMUSG00000112129	ENSDARG00000026359	n:m	
ENSMUSG00000020067	ENSDARG00000076485	1:1	551473
ENSMUSG00000020064	ENSDARG00000059936	1:1	739653
ENSMUSG00000020063	ENSDARG00000068064	1:1	
ENSMUSG00000036764	ENSDARG00000086691	1:1	681419
ENSMUSG00000019873	ENSDARG00000004160	1:m	775453
ENSMUSG00000019873	ENSDARG00000017569	1:m	
ENSMUSG00000037876	ENSDARG00000079939	1:1	829212
ENSMUSG00000075000	ENSDARG00000023591	1:1	
ENSMUSG00000037868	ENSDARG00000042826	1:1	551985
ENSMUSG00000057134	ENSDARG00000042827	1:m	
ENSMUSG00000057134	ENSDARG00000101898	1:m	658811
ENSMUSG00000057134	ENSDARG00000053571	1:m	
ENSMUSG00000037846	ENSDARG00000053558	1:1	844623
ENSMUSG00000019947	ENSDARG00000037196	1:1	824082
ENSMUSG00000019945	ENSDARG00000086310	1:1	818520
ENSMUSG00000060044	ENSDARG00000014682	1:m	
ENSMUSG00000060044	ENSDARG00000077979	1:m	794986
ENSMUSG00000019944	ENSDARG00000079468	1:1	842478
ENSMUSG00000019942	ENSDARG00000087554	1:1	547096
ENSMUSG00000069601	ENSDARG00000061736	1:1	553649
ENSMUSG00000048701	ENSDARG00000017595	1:1	549149
ENSMUSG00000037762	ENSDARG00000013926	1:1	550961
ENSMUSG00000043259	ENSDARG00000096601	1:1	734493
ENSMUSG00000037747	ENSDARG00000070498	1:1	796816
ENSMUSG00000014329	ENSDARG00000070497	1:1	857244
ENSMUSG00000003923	ENSDARG00000063145	1:1	549825
ENSMUSG00000019927	ENSDARG00000038576	1:1	
ENSMUSG00000037710	ENSDARG00000079516	1:1	
ENSMUSG00000060733	ENSDARG00000029291	1:m	650771
ENSMUSG00000060733	ENSDARG00000076699	1:m	
ENSMUSG00000009070	ENSDARG00000017983	1:1	814127
ENSMUSG00000040009	ENSDARG00000099844	1:1	498834
ENSMUSG00000020175	ENSDARG00000014058	1:1	522185
ENSMUSG00000009681	ENSDARG00000079286	1:1	786231
ENSMUSG00000033444	ENSDARG00000006719	1:1	851030
ENSMUSG00000020178	ENSDARG00000058488	1:m	
ENSMUSG00000020178	ENSDARG00000033706	1:m	792985
ENSMUSG00000033416	ENSDARG00000068438	1:1	671432
ENSMUSG00000033427	ENSDARG00000011521	1:1	732110
ENSMUSG00000020180	ENSDARG00000076283	1:m	
ENSMUSG00000020180	ENSDARG00000013800	1:m	
ENSMUSG00000046807	ENSDARG00000091128	1:m	
ENSMUSG00000046807	ENSDARG00000074308	1:m	822849
ENSMUSG00000006345	ENSDARG00000018342	1:m	
ENSMUSG00000006345	ENSDARG00000023526	1:m	839379
ENSMUSG00000006344	ENSDARG00000078258	1:m	839384
ENSMUSG00000006344	ENSDARG00000052045	1:m	
ENSMUSG00000020196	ENSDARG00000079326	1:1	844858
ENSMUSG00000001666	ENSDARG00000044751	1:1	844818
ENSMUSG00000092360	ENSDARG00000017388	n:m	
ENSMUSG00000092360	ENSDARG00000042428	n:m	
ENSMUSG00000001665	ENSDARG00000017388	n:m	
ENSMUSG00000001665	ENSDARG00000042428	n:m	839914
ENSMUSG00000001663	ENSDARG00000017388	n:m	
ENSMUSG00000001663	ENSDARG00000042428	n:m	
ENSMUSG00000009093	ENSDARG00000017388	n:m	839953
ENSMUSG00000009093	ENSDARG00000042428	n:m	
ENSMUSG00000033307	ENSDARG00000071336	1:1	844815
ENSMUSG00000000902	ENSDARG00000011594	1:m	
ENSMUSG00000000902	ENSDARG00000033647	1:m	844761
ENSMUSG00000000901	ENSDARG00000016718	1:m	
ENSMUSG00000000901	ENSDARG00000026325	1:m	788568
ENSMUSG00000049422	ENSDARG00000010717	1:1	847028
ENSMUSG00000020230	ENSDARG00000063212	1:1	749107
ENSMUSG00000033208	ENSDARG00000057598	1:1	283006
ENSMUSG00000020231	ENSDARG00000078058	1:1	553741
ENSMUSG00000001151	ENSDARG00000033012	1:1	550189
ENSMUSG00000033126	ENSDARG00000011999	1:1	859041
ENSMUSG00000001150	ENSDARG00000021402	1:1	764739
ENSMUSG00000033105	ENSDARG00000061274	1:1	834416
ENSMUSG00000001155	ENSDARG00000007421	1:1	752399
ENSMUSG00000020241	ENSDARG00000061436	1:1	785632
ENSMUSG00000001120	ENSDARG00000054378	1:1	547778
ENSMUSG00000001436	ENSDARG00000033993	1:1	814832
ENSMUSG00000020260	ENSDARG00000045175	1:1	856105
ENSMUSG00000020262	ENSDARG00000041609	1:m	
ENSMUSG00000020262	ENSDARG00000003544	1:m	809891
ENSMUSG00000032977	ENSDARG00000071500	1:1	817562
ENSMUSG00000000290	ENSDARG00000016939	1:1	775850
ENSMUSG00000009291	ENSDARG00000090156	1:m	
ENSMUSG00000009291	ENSDARG00000040039	1:m	794660
ENSMUSG00000020265	ENSDARG00000102741	n:m	
ENSMUSG00000020265	ENSDARG00000028119	n:m	
ENSMUSG00000020265	ENSDARG00000035993	n:m	862071
ENSMUSG00000112241	ENSDARG00000102741	n:m	
ENSMUSG00000112241	ENSDARG00000028119	n:m	
ENSMUSG00000112241	ENSDARG00000035993	n:m	
ENSMUSG00000009293	ENSDARG00000025404	1:1	546992
ENSMUSG00000069581	ENSDARG00000077580	1:m	
ENSMUSG00000069581	ENSDARG00000089235	1:m	764294
ENSMUSG00000094913	ENSDARG00000087398	n:1	
ENSMUSG00000051652	ENSDARG00000078415	1:1	754801
ENSMUSG00000009292	ENSDARG00000101641	1:1	800776
ENSMUSG00000020284	ENSDARG00000099397	1:1	
ENSMUSG00000020277	ENSDARG00000099755	1:m	825109
ENSMUSG00000020277	ENSDARG00000060504	1:m	
ENSMUSG00000000731	ENSDARG00000056784	1:1	755630
ENSMUSG00000053329	ENSDARG00000020618	1:1	862260
ENSMUSG00000032834	ENSDARG00000037109	1:1	778452
ENSMUSG00000000374	ENSDARG00000098118	1:1	768999
ENSMUSG00000001211	ENSDARG00000036549	1:1	860435
ENSMUSG00000061032	ENSDARG00000103337	1:1	
ENSMUSG00000005054	ENSDARG00000028164	1:m	530465
ENSMUSG00000005054	ENSDARG00000045352	1:m	
ENSMUSG00000032788	ENSDARG00000036546	1:m	775280
ENSMUSG00000032788	ENSDARG00000088959	1:m	
ENSMUSG00000032763	ENSDARG00000017126	1:1	865656
ENSMUSG00000032714	ENSDARG00000077440	1:1	716214
ENSMUSG00000005355	ENSDARG00000062052	1:1	
ENSMUSG00000078442	ENSDARG00000054136	1:1	826621
ENSMUSG00000052151	ENSDARG00000028896	1:m	
ENSMUSG00000052151	ENSDARG00000002231	1:m	495344
ENSMUSG00000020317	ENSDARG00000078644	1:1	
ENSMUSG00000045912	ENSDARG00000079876	1:m	
ENSMUSG00000045912	ENSDARG00000079556	1:m	822276
ENSMUSG00000020312	ENSDARG00000062080	1:1	799533
ENSMUSG00000035963	ENSDARG00000021432	1:m	550214
ENSMUSG00000035963	ENSDARG00000014209	1:m	
ENSMUSG00000020308	ENSDARG00000027547	1:1	530875
ENSMUSG00000020307	ENSDARG00000069708	1:m	
ENSMUSG00000020307	ENSDARG00000012627	1:m	569938
ENSMUSG00000023175	ENSDARG00000019881	1:1	830432
ENSMUSG00000020331	ENSDARG00000061665	1:1	702813
ENSMUSG00000020329	ENSDARG00000101220	1:1	656547
ENSMUSG00000035890	ENSDARG00000104076	1:1	772835
ENSMUSG00000020325	ENSDARG00000025670	1:1	712451
ENSMUSG00000035863	ENSDARG00000026882	1:m	772213
ENSMUSG00000035863	ENSDARG00000007818	1:m	
ENSMUSG00000006498	ENSDARG00000031907	1:1	804573
ENSMUSG00000035835	ENSDARG00000078755	1:1	776389
ENSMUSG00000061780	ENSDARG00000039579	1:1	551459
ENSMUSG00000013833	ENSDARG00000040779	1:1	804194
ENSMUSG00000035781	ENSDARG00000063254	1:1	
ENSMUSG00000035773	ENSDARG00000002728	1:m	
ENSMUSG00000035773	ENSDARG00000067563	1:m	657406
ENSMUSG00000019564	ENSDARG00000070843	1:1	832190
ENSMUSG00000035754	ENSDARG00000041113	1:1	547786
ENSMUSG00000035745	ENSDARG00000098667	1:1	787448
ENSMUSG00000013858	ENSDARG00000060442	1:1	836214
ENSMUSG00000004665	ENSDARG00000035858	1:1	542528
ENSMUSG00000035697	ENSDARG00000062049	1:m	
ENSMUSG00000035697	ENSDARG00000052496	1:m	850233
ENSMUSG00000004667	ENSDARG00000026183	1:m	858986
ENSMUSG00000004667	ENSDARG00000074274	1:m	
ENSMUSG00000075706	ENSDARG00000076836	1:1	
ENSMUSG00000035673	ENSDARG00000098801	1:1	
ENSMUSG00000003068	ENSDARG00000046074	1:1	549044
ENSMUSG00000035640	ENSDARG00000071325	1:1	812602
ENSMUSG00000003072	ENSDARG00000019404	1:1	860984
ENSMUSG00000035621	ENSDARG00000018524	1:1	672008
ENSMUSG00000045193	ENSDARG00000013351	1:1	548255
ENSMUSG00000003070	ENSDARG00000079740	1:m	818098
ENSMUSG00000003070	ENSDARG00000031372	1:m	
ENSMUSG00000020153	ENSDARG00000074552	1:1	546856
ENSMUSG00000020150	ENSDARG00000070844	1:1	775366
ENSMUSG00000069565	ENSDARG00000070846	1:1	549227
ENSMUSG00000063457	ENSDARG00000070849	1:1	861041
ENSMUSG00000020135	ENSDARG00000063007	1:1	551677
ENSMUSG00000020133	ENSDARG00000103619	1:1	797247
ENSMUSG00000043822	ENSDARG00000052118	1:1	
ENSMUSG00000035478	ENSDARG00000042029	1:1	774886
ENSMUSG00000020167	ENSDARG00000099999	1:1	844251
ENSMUSG00000045518	ENSDARG00000056395	1:1	554731
ENSMUSG00000047417	ENSDARG00000026986	1:1	845444
ENSMUSG00000035397	ENSDARG00000069342	1:1	558357
ENSMUSG00000003346	ENSDARG00000091433	1:m	
ENSMUSG00000003346	ENSDARG00000043084	1:m	
ENSMUSG00000113949	ENSDARG00000010531	1:1	659095
ENSMUSG00000113640	ENSDARG00000005640	1:1	724684
