rat_ID	rat_bis_ID	orthotype	OMAgroup
ENSRNOG00000056940	ENSRNOG00000056940	1:1	
ENSRNOG00000056940	ENSRNOG00000056940	1:1	
ENSRNOG00000005041	ENSRNOG00000005041	1:1	
ENSRNOG00000003975	ENSRNOG00000003975	1:1	
ENSRNOG00000017817	ENSRNOG00000017817	1:1	
ENSRNOG00000049770	ENSRNOG00000049770	1:1	
ENSRNOG00000007743	ENSRNOG00000007743	1:1	
ENSRNOG00000017469	ENSRNOG00000017469	1:1	
ENSRNOG00000013834	ENSRNOG00000013834	1:1	
ENSRNOG00000008141	ENSRNOG00000008141	1:1	
ENSRNOG00000052802	ENSRNOG00000052802	1:1	
ENSRNOG00000052620	ENSRNOG00000052620	1:1	
ENSRNOG00000012786	ENSRNOG00000012786	1:1	
ENSRNOG00000001596	ENSRNOG00000001596	1:1	
ENSRNOG00000020383	ENSRNOG00000020383	1:1	
ENSRNOG00000003626	ENSRNOG00000003626	1:1	
ENSRNOG00000021035	ENSRNOG00000021035	1:1	
ENSRNOG00000017801	ENSRNOG00000017801	1:1	
ENSRNOG00000056765	ENSRNOG00000056765	1:1	
ENSRNOG00000016837	ENSRNOG00000016837	1:1	
ENSRNOG00000000168	ENSRNOG00000000168	1:1	
ENSRNOG00000009884	ENSRNOG00000009884	1:1	
ENSRNOG00000042903	ENSRNOG00000042903	1:1	
ENSRNOG00000020595	ENSRNOG00000020595	1:1	
ENSRNOG00000015036	ENSRNOG00000015036	1:1	
ENSRNOG00000049560	ENSRNOG00000049560	1:1	
ENSRNOG00000049560	ENSRNOG00000049560	1:1	
ENSRNOG00000036689	ENSRNOG00000036689	1:1	
ENSRNOG00000014997	ENSRNOG00000014997	1:1	
ENSRNOG00000001269	ENSRNOG00000001269	1:1	
ENSRNOG00000014522	ENSRNOG00000014522	1:1	
ENSRNOG00000002115	ENSRNOG00000002115	1:1	
ENSRNOG00000005587	ENSRNOG00000005587	1:1	
ENSRNOG00000008414	ENSRNOG00000008414	1:1	
ENSRNOG00000054757	ENSRNOG00000054757	1:1	
ENSRNOG00000010331	ENSRNOG00000010331	1:1	
ENSRNOG00000032669	ENSRNOG00000032669	1:1	
ENSRNOG00000016957	ENSRNOG00000016957	1:1	
ENSRNOG00000009760	ENSRNOG00000009760	1:1	
ENSRNOG00000013179	ENSRNOG00000013179	1:1	
ENSRNOG00000020206	ENSRNOG00000020206	1:1	
ENSRNOG00000061910	ENSRNOG00000061910	1:1	
ENSRNOG00000008103	ENSRNOG00000008103	1:1	
ENSRNOG00000030954	ENSRNOG00000030954	1:1	
ENSRNOG00000042499	ENSRNOG00000042499	1:1	
ENSRNOG00000011732	ENSRNOG00000011732	1:1	
ENSRNOG00000004284	ENSRNOG00000004284	1:1	
ENSRNOG00000052296	ENSRNOG00000052296	1:1	
ENSRNOG00000008843	ENSRNOG00000008843	1:1	
ENSRNOG00000012879	ENSRNOG00000012879	1:1	
ENSRNOG00000011647	ENSRNOG00000011647	1:1	
ENSRNOG00000003049	ENSRNOG00000003049	1:1	
ENSRNOG00000019041	ENSRNOG00000019041	1:1	
ENSRNOG00000018598	ENSRNOG00000018598	1:1	
ENSRNOG00000018598	ENSRNOG00000018598	1:1	
ENSRNOG00000003399	ENSRNOG00000003399	1:1	
ENSRNOG00000043377	ENSRNOG00000043377	1:1	
ENSRNOG00000046005	ENSRNOG00000046005	1:1	
ENSRNOG00000003653	ENSRNOG00000003653	1:1	
ENSRNOG00000021264	ENSRNOG00000021264	1:1	
ENSRNOG00000015840	ENSRNOG00000015840	1:1	
ENSRNOG00000033498	ENSRNOG00000033498	1:1	
ENSRNOG00000021125	ENSRNOG00000021125	1:1	
ENSRNOG00000013331	ENSRNOG00000013331	1:1	
ENSRNOG00000018735	ENSRNOG00000018735	1:1	
ENSRNOG00000008755	ENSRNOG00000008755	1:1	
ENSRNOG00000017560	ENSRNOG00000017560	1:1	
ENSRNOG00000050023	ENSRNOG00000050023	1:1	
ENSRNOG00000011763	ENSRNOG00000011763	1:1	
ENSRNOG00000033280	ENSRNOG00000033280	1:1	
ENSRNOG00000018271	ENSRNOG00000018271	1:1	
ENSRNOG00000053172	ENSRNOG00000053172	1:1	
ENSRNOG00000017914	ENSRNOG00000017914	1:1	
ENSRNOG00000058058	ENSRNOG00000058058	1:1	
ENSRNOG00000055471	ENSRNOG00000055471	1:1	
ENSRNOG00000010800	ENSRNOG00000010800	1:1	
ENSRNOG00000003253	ENSRNOG00000003253	1:1	
ENSRNOG00000014936	ENSRNOG00000014936	1:1	
ENSRNOG00000000513	ENSRNOG00000000513	1:1	
ENSRNOG00000049683	ENSRNOG00000049683	1:1	
ENSRNOG00000003183	ENSRNOG00000003183	1:1	
ENSRNOG00000020415	ENSRNOG00000020415	1:1	
ENSRNOG00000009845	ENSRNOG00000009845	1:1	
ENSRNOG00000032219	ENSRNOG00000032219	1:1	
ENSRNOG00000061543	ENSRNOG00000061543	1:1	
ENSRNOG00000012183	ENSRNOG00000012183	1:1	
ENSRNOG00000006375	ENSRNOG00000006375	1:1	
ENSRNOG00000045636	ENSRNOG00000045636	1:1	
ENSRNOG00000045636	ENSRNOG00000045636	1:1	
ENSRNOG00000007650	ENSRNOG00000007650	1:1	
ENSRNOG00000019246	ENSRNOG00000019246	1:1	
ENSRNOG00000012026	ENSRNOG00000012026	1:1	
ENSRNOG00000010208	ENSRNOG00000010208	1:1	
ENSRNOG00000009432	ENSRNOG00000009432	1:1	
ENSRNOG00000006467	ENSRNOG00000006467	1:1	
ENSRNOG00000031312	ENSRNOG00000031312	1:1	
ENSRNOG00000015843	ENSRNOG00000015843	1:1	
ENSRNOG00000006816	ENSRNOG00000006816	1:1	
ENSRNOG00000015206	ENSRNOG00000015206	1:1	
ENSRNOG00000014297	ENSRNOG00000014297	1:1	
ENSRNOG00000012640	ENSRNOG00000012640	1:1	
ENSRNOG00000028198	ENSRNOG00000028198	1:1	
ENSRNOG00000003269	ENSRNOG00000003269	1:1	
ENSRNOG00000029698	ENSRNOG00000029698	1:1	
ENSRNOG00000009066	ENSRNOG00000009066	1:1	
ENSRNOG00000021051	ENSRNOG00000021051	1:1	
ENSRNOG00000002319	ENSRNOG00000002319	1:1	
ENSRNOG00000016807	ENSRNOG00000016807	1:1	
ENSRNOG00000002301	ENSRNOG00000002301	1:1	
ENSRNOG00000016638	ENSRNOG00000016638	1:1	
ENSRNOG00000009629	ENSRNOG00000009629	1:1	
ENSRNOG00000009513	ENSRNOG00000009513	1:1	
ENSRNOG00000012966	ENSRNOG00000012966	1:1	
ENSRNOG00000007051	ENSRNOG00000007051	1:1	
ENSRNOG00000009325	ENSRNOG00000009325	1:1	
ENSRNOG00000011060	ENSRNOG00000011060	1:1	
ENSRNOG00000014656	ENSRNOG00000014656	1:1	
ENSRNOG00000010872	ENSRNOG00000010872	1:1	
ENSRNOG00000018796	ENSRNOG00000018796	1:1	
ENSRNOG00000010438	ENSRNOG00000010438	1:1	
ENSRNOG00000001214	ENSRNOG00000001214	1:1	
ENSRNOG00000002449	ENSRNOG00000002449	1:1	
ENSRNOG00000017737	ENSRNOG00000017737	1:1	
ENSRNOG00000009681	ENSRNOG00000009681	1:1	
ENSRNOG00000019973	ENSRNOG00000019973	1:1	
ENSRNOG00000007806	ENSRNOG00000007806	1:1	
ENSRNOG00000004610	ENSRNOG00000004610	1:1	
ENSRNOG00000010083	ENSRNOG00000010083	1:1	
ENSRNOG00000049110	ENSRNOG00000049110	1:1	
ENSRNOG00000019253	ENSRNOG00000019253	1:1	
ENSRNOG00000002251	ENSRNOG00000002251	1:1	
ENSRNOG00000000903	ENSRNOG00000000903	1:1	
ENSRNOG00000000158	ENSRNOG00000000158	1:1	
ENSRNOG00000012873	ENSRNOG00000012873	1:1	
ENSRNOG00000010807	ENSRNOG00000010807	1:1	
ENSRNOG00000002889	ENSRNOG00000002889	1:1	
ENSRNOG00000010176	ENSRNOG00000010176	1:1	
ENSRNOG00000004139	ENSRNOG00000004139	1:1	
ENSRNOG00000001837	ENSRNOG00000001837	1:1	
ENSRNOG00000007862	ENSRNOG00000007862	1:1	
ENSRNOG00000003256	ENSRNOG00000003256	1:1	
ENSRNOG00000004280	ENSRNOG00000004280	1:1	
ENSRNOG00000002671	ENSRNOG00000002671	1:1	
ENSRNOG00000009422	ENSRNOG00000009422	1:1	
ENSRNOG00000013572	ENSRNOG00000013572	1:1	
ENSRNOG00000019439	ENSRNOG00000019439	1:1	
ENSRNOG00000003223	ENSRNOG00000003223	1:1	
ENSRNOG00000056135	ENSRNOG00000056135	1:1	
ENSRNOG00000012788	ENSRNOG00000012788	1:1	
ENSRNOG00000038001	ENSRNOG00000038001	1:1	
ENSRNOG00000013484	ENSRNOG00000013484	1:1	
ENSRNOG00000018662	ENSRNOG00000018662	1:1	
ENSRNOG00000000632	ENSRNOG00000000632	1:1	
ENSRNOG00000008236	ENSRNOG00000008236	1:1	
ENSRNOG00000011352	ENSRNOG00000011352	1:1	
ENSRNOG00000012852	ENSRNOG00000012852	1:1	
ENSRNOG00000003802	ENSRNOG00000003802	1:1	
ENSRNOG00000016076	ENSRNOG00000016076	1:1	
ENSRNOG00000019851	ENSRNOG00000019851	1:1	
ENSRNOG00000019425	ENSRNOG00000019425	1:1	
ENSRNOG00000016460	ENSRNOG00000016460	1:1	
ENSRNOG00000027736	ENSRNOG00000027736	1:1	
ENSRNOG00000000456	ENSRNOG00000000456	1:1	
ENSRNOG00000008628	ENSRNOG00000008628	1:1	
ENSRNOG00000018725	ENSRNOG00000018725	1:1	
ENSRNOG00000018170	ENSRNOG00000018170	1:1	
ENSRNOG00000031173	ENSRNOG00000031173	1:1	
ENSRNOG00000019926	ENSRNOG00000019926	1:1	
ENSRNOG00000013540	ENSRNOG00000013540	1:1	
ENSRNOG00000001239	ENSRNOG00000001239	1:1	
ENSRNOG00000050997	ENSRNOG00000050997	1:1	
ENSRNOG00000031208	ENSRNOG00000031208	1:1	
ENSRNOG00000021054	ENSRNOG00000021054	1:1	
ENSRNOG00000017777	ENSRNOG00000017777	1:1	
ENSRNOG00000012477	ENSRNOG00000012477	1:1	
ENSRNOG00000019018	ENSRNOG00000019018	1:1	
ENSRNOG00000014241	ENSRNOG00000014241	1:1	
ENSRNOG00000011815	ENSRNOG00000011815	1:1	
ENSRNOG00000002247	ENSRNOG00000002247	1:1	
ENSRNOG00000009086	ENSRNOG00000009086	1:1	
ENSRNOG00000056246	ENSRNOG00000056246	1:1	
ENSRNOG00000056246	ENSRNOG00000056246	1:1	
ENSRNOG00000007763	ENSRNOG00000007763	1:1	
ENSRNOG00000009888	ENSRNOG00000009888	1:1	
ENSRNOG00000016436	ENSRNOG00000016436	1:1	
ENSRNOG00000057620	ENSRNOG00000057620	1:1	
ENSRNOG00000019328	ENSRNOG00000019328	1:1	
ENSRNOG00000058842	ENSRNOG00000058842	1:1	
ENSRNOG00000020676	ENSRNOG00000020676	1:1	
ENSRNOG00000002934	ENSRNOG00000002934	1:1	
ENSRNOG00000057628	ENSRNOG00000057628	1:1	
ENSRNOG00000024689	ENSRNOG00000024689	1:1	
ENSRNOG00000042261	ENSRNOG00000042261	1:1	
ENSRNOG00000009974	ENSRNOG00000009974	1:1	
ENSRNOG00000011782	ENSRNOG00000011782	1:1	
ENSRNOG00000020460	ENSRNOG00000020460	1:1	
ENSRNOG00000052707	ENSRNOG00000052707	1:1	
ENSRNOG00000052707	ENSRNOG00000052707	1:1	
ENSRNOG00000003148	ENSRNOG00000003148	1:1	
ENSRNOG00000014462	ENSRNOG00000014462	1:1	
ENSRNOG00000010219	ENSRNOG00000010219	1:1	
ENSRNOG00000001548	ENSRNOG00000001548	1:1	
ENSRNOG00000015182	ENSRNOG00000015182	1:1	
ENSRNOG00000001177	ENSRNOG00000001177	1:1	
ENSRNOG00000010756	ENSRNOG00000010756	1:1	
ENSRNOG00000010756	ENSRNOG00000010756	1:1	
ENSRNOG00000008320	ENSRNOG00000008320	1:1	
ENSRNOG00000010038	ENSRNOG00000010038	1:1	
ENSRNOG00000014254	ENSRNOG00000014254	1:1	
ENSRNOG00000013493	ENSRNOG00000013493	1:1	
ENSRNOG00000010658	ENSRNOG00000010658	1:1	
ENSRNOG00000021314	ENSRNOG00000021314	1:1	
ENSRNOG00000036696	ENSRNOG00000036696	1:1	
ENSRNOG00000024843	ENSRNOG00000024843	1:1	
ENSRNOG00000018020	ENSRNOG00000018020	1:1	
ENSRNOG00000017780	ENSRNOG00000017780	1:1	
ENSRNOG00000016592	ENSRNOG00000016592	1:1	
ENSRNOG00000013916	ENSRNOG00000013916	1:1	
ENSRNOG00000011821	ENSRNOG00000011821	1:1	
ENSRNOG00000010048	ENSRNOG00000010048	1:1	
ENSRNOG00000059947	ENSRNOG00000059947	1:1	
ENSRNOG00000015550	ENSRNOG00000015550	1:1	
ENSRNOG00000015971	ENSRNOG00000015971	1:1	
ENSRNOG00000016924	ENSRNOG00000016924	1:1	
ENSRNOG00000000981	ENSRNOG00000000981	1:1	
ENSRNOG00000056728	ENSRNOG00000056728	1:1	
ENSRNOG00000020480	ENSRNOG00000020480	1:1	
ENSRNOG00000009867	ENSRNOG00000009867	1:1	
ENSRNOG00000010947	ENSRNOG00000010947	1:1	
ENSRNOG00000014476	ENSRNOG00000014476	1:1	
ENSRNOG00000011901	ENSRNOG00000011901	1:1	
ENSRNOG00000020753	ENSRNOG00000020753	1:1	
ENSRNOG00000057988	ENSRNOG00000057988	1:1	
ENSRNOG00000050539	ENSRNOG00000050539	1:1	
ENSRNOG00000013370	ENSRNOG00000013370	1:1	
ENSRNOG00000055984	ENSRNOG00000055984	1:1	
ENSRNOG00000056487	ENSRNOG00000056487	1:1	
ENSRNOG00000016227	ENSRNOG00000016227	1:1	
ENSRNOG00000012458	ENSRNOG00000012458	1:1	
ENSRNOG00000008786	ENSRNOG00000008786	1:1	
ENSRNOG00000054352	ENSRNOG00000054352	1:1	
ENSRNOG00000015415	ENSRNOG00000015415	1:1	
ENSRNOG00000000048	ENSRNOG00000000048	1:1	
ENSRNOG00000019758	ENSRNOG00000019758	1:1	
ENSRNOG00000019550	ENSRNOG00000019550	1:1	
ENSRNOG00000018847	ENSRNOG00000018847	1:1	
ENSRNOG00000048747	ENSRNOG00000048747	1:1	
ENSRNOG00000047768	ENSRNOG00000047768	1:1	
ENSRNOG00000004763	ENSRNOG00000004763	1:1	
ENSRNOG00000014230	ENSRNOG00000014230	1:1	
ENSRNOG00000018067	ENSRNOG00000018067	1:1	
ENSRNOG00000018901	ENSRNOG00000018901	1:1	
ENSRNOG00000037446	ENSRNOG00000037446	1:1	
ENSRNOG00000017478	ENSRNOG00000017478	1:1	
ENSRNOG00000019573	ENSRNOG00000019573	1:1	
ENSRNOG00000013330	ENSRNOG00000013330	1:1	
ENSRNOG00000021781	ENSRNOG00000021781	1:1	
ENSRNOG00000016707	ENSRNOG00000016707	1:1	
ENSRNOG00000016707	ENSRNOG00000016707	1:1	
ENSRNOG00000004172	ENSRNOG00000004172	1:1	
ENSRNOG00000020360	ENSRNOG00000020360	1:1	
ENSRNOG00000010079	ENSRNOG00000010079	1:1	
ENSRNOG00000018114	ENSRNOG00000018114	1:1	
ENSRNOG00000009820	ENSRNOG00000009820	1:1	
ENSRNOG00000048043	ENSRNOG00000048043	1:1	
ENSRNOG00000011146	ENSRNOG00000011146	1:1	
ENSRNOG00000000913	ENSRNOG00000000913	1:1	
ENSRNOG00000003773	ENSRNOG00000003773	1:1	
ENSRNOG00000019704	ENSRNOG00000019704	1:1	
ENSRNOG00000013791	ENSRNOG00000013791	1:1	
ENSRNOG00000013594	ENSRNOG00000013594	1:1	
ENSRNOG00000017506	ENSRNOG00000017506	1:1	
ENSRNOG00000011535	ENSRNOG00000011535	1:1	
ENSRNOG00000050315	ENSRNOG00000050315	1:1	
ENSRNOG00000051965	ENSRNOG00000051965	1:1	
ENSRNOG00000010277	ENSRNOG00000010277	1:1	
ENSRNOG00000033090	ENSRNOG00000033090	1:1	
ENSRNOG00000011541	ENSRNOG00000011541	1:1	
ENSRNOG00000021104	ENSRNOG00000021104	1:1	
ENSRNOG00000028711	ENSRNOG00000028711	1:1	
ENSRNOG00000032238	ENSRNOG00000032238	1:1	
ENSRNOG00000008988	ENSRNOG00000008988	1:1	
ENSRNOG00000006075	ENSRNOG00000006075	1:1	
ENSRNOG00000005390	ENSRNOG00000005390	1:1	
ENSRNOG00000020653	ENSRNOG00000020653	1:1	
ENSRNOG00000020115	ENSRNOG00000020115	1:1	
ENSRNOG00000060694	ENSRNOG00000060694	1:1	
ENSRNOG00000011381	ENSRNOG00000011381	1:1	
ENSRNOG00000020350	ENSRNOG00000020350	1:1	
ENSRNOG00000020182	ENSRNOG00000020182	1:1	
ENSRNOG00000046799	ENSRNOG00000046799	1:1	
ENSRNOG00000046799	ENSRNOG00000046799	1:1	
ENSRNOG00000016983	ENSRNOG00000016983	1:1	
ENSRNOG00000042821	ENSRNOG00000042821	1:1	
ENSRNOG00000001528	ENSRNOG00000001528	1:1	
ENSRNOG00000010448	ENSRNOG00000010448	1:1	
ENSRNOG00000016552	ENSRNOG00000016552	1:1	
ENSRNOG00000000585	ENSRNOG00000000585	1:1	
ENSRNOG00000043348	ENSRNOG00000043348	1:1	
ENSRNOG00000007671	ENSRNOG00000007671	1:1	
ENSRNOG00000008694	ENSRNOG00000008694	1:1	
ENSRNOG00000002643	ENSRNOG00000002643	1:1	
ENSRNOG00000013794	ENSRNOG00000013794	1:1	
ENSRNOG00000019622	ENSRNOG00000019622	1:1	
ENSRNOG00000000613	ENSRNOG00000000613	1:1	
ENSRNOG00000046261	ENSRNOG00000046261	1:1	
ENSRNOG00000020063	ENSRNOG00000020063	1:1	
ENSRNOG00000012815	ENSRNOG00000012815	1:1	
ENSRNOG00000013118	ENSRNOG00000013118	1:1	
ENSRNOG00000016166	ENSRNOG00000016166	1:1	
ENSRNOG00000061499	ENSRNOG00000061499	1:1	
ENSRNOG00000046829	ENSRNOG00000046829	1:1	
ENSRNOG00000008943	ENSRNOG00000008943	1:1	
ENSRNOG00000008432	ENSRNOG00000008432	1:1	
ENSRNOG00000013532	ENSRNOG00000013532	1:1	
ENSRNOG00000056184	ENSRNOG00000056184	1:1	
ENSRNOG00000058586	ENSRNOG00000058586	1:1	
ENSRNOG00000017438	ENSRNOG00000017438	1:1	
ENSRNOG00000001500	ENSRNOG00000001500	1:1	
ENSRNOG00000011751	ENSRNOG00000011751	1:1	
ENSRNOG00000024501	ENSRNOG00000024501	1:1	
ENSRNOG00000031325	ENSRNOG00000031325	1:1	
ENSRNOG00000021102	ENSRNOG00000021102	1:1	
ENSRNOG00000004282	ENSRNOG00000004282	1:1	
ENSRNOG00000032857	ENSRNOG00000032857	1:1	
ENSRNOG00000019745	ENSRNOG00000019745	1:1	
ENSRNOG00000009667	ENSRNOG00000009667	1:1	
ENSRNOG00000020276	ENSRNOG00000020276	1:1	
ENSRNOG00000007982	ENSRNOG00000007982	1:1	
ENSRNOG00000031485	ENSRNOG00000031485	1:1	
ENSRNOG00000053991	ENSRNOG00000053991	1:1	
ENSRNOG00000049151	ENSRNOG00000049151	1:1	
ENSRNOG00000002896	ENSRNOG00000002896	1:1	
ENSRNOG00000017427	ENSRNOG00000017427	1:1	
ENSRNOG00000050044	ENSRNOG00000050044	1:1	
ENSRNOG00000007834	ENSRNOG00000007834	1:1	
ENSRNOG00000007159	ENSRNOG00000007159	1:1	
ENSRNOG00000002045	ENSRNOG00000002045	1:1	
ENSRNOG00000002045	ENSRNOG00000002045	1:1	
ENSRNOG00000011194	ENSRNOG00000011194	1:1	
ENSRNOG00000008656	ENSRNOG00000008656	1:1	
ENSRNOG00000032150	ENSRNOG00000032150	1:1	
ENSRNOG00000007234	ENSRNOG00000007234	1:1	
ENSRNOG00000005015	ENSRNOG00000005015	1:1	
ENSRNOG00000005015	ENSRNOG00000005015	1:1	
ENSRNOG00000056596	ENSRNOG00000056596	1:1	
ENSRNOG00000020531	ENSRNOG00000020531	1:1	
ENSRNOG00000056946	ENSRNOG00000056946	1:1	
ENSRNOG00000000167	ENSRNOG00000000167	1:1	
ENSRNOG00000015655	ENSRNOG00000015655	1:1	
ENSRNOG00000006720	ENSRNOG00000006720	1:1	
ENSRNOG00000013291	ENSRNOG00000013291	1:1	
ENSRNOG00000017226	ENSRNOG00000017226	1:1	
ENSRNOG00000047673	ENSRNOG00000047673	1:1	
ENSRNOG00000007542	ENSRNOG00000007542	1:1	
ENSRNOG00000001247	ENSRNOG00000001247	1:1	
ENSRNOG00000017105	ENSRNOG00000017105	1:1	
ENSRNOG00000008364	ENSRNOG00000008364	1:1	
ENSRNOG00000029134	ENSRNOG00000029134	1:1	
ENSRNOG00000019693	ENSRNOG00000019693	1:1	
