rat_ID	baboon_ID	orthotype	OMAgroup
ENSRNOG00000049259	ENSPANG00000020426	n:m	
ENSRNOG00000049259	ENSPANG00000002529	n:m	
ENSRNOG00000049259	ENSPANG00000003029	n:m	
ENSRNOG00000049259	ENSPANG00000017938	n:m	
ENSRNOG00000049259	ENSPANG00000007900	n:m	
ENSRNOG00000049259	ENSPANG00000017037	n:m	574840
ENSRNOG00000049259	ENSPANG00000004384	n:m	
ENSRNOG00000049259	ENSPANG00000002528	n:m	
ENSRNOG00000049259	ENSPANG00000006115	n:m	
ENSRNOG00000049259	ENSPANG00000017036	n:m	
ENSRNOG00000049259	ENSPANG00000005169	n:m	
ENSRNOG00000049259	ENSPANG00000010855	n:m	
ENSRNOG00000049259	ENSPANG00000008547	n:m	
ENSRNOG00000049259	ENSPANG00000016644	n:m	
ENSRNOG00000049259	ENSPANG00000016716	n:m	
ENSRNOG00000049259	ENSPANG00000026486	n:m	
ENSRNOG00000056694	ENSPANG00000026433	n:1	
ENSRNOG00000047145	ENSPANG00000007017	n:1	
ENSRNOG00000046353	ENSPANG00000017248	n:m	
ENSRNOG00000046353	ENSPANG00000012517	n:m	
ENSRNOG00000046353	ENSPANG00000020426	n:m	
ENSRNOG00000046353	ENSPANG00000002529	n:m	
ENSRNOG00000046353	ENSPANG00000003029	n:m	
ENSRNOG00000046353	ENSPANG00000017938	n:m	
ENSRNOG00000046353	ENSPANG00000007900	n:m	
ENSRNOG00000046353	ENSPANG00000017037	n:m	
ENSRNOG00000046353	ENSPANG00000004384	n:m	
ENSRNOG00000046353	ENSPANG00000002528	n:m	
ENSRNOG00000046353	ENSPANG00000006115	n:m	574764
ENSRNOG00000046353	ENSPANG00000017036	n:m	
ENSRNOG00000046353	ENSPANG00000005169	n:m	
ENSRNOG00000046353	ENSPANG00000010855	n:m	
ENSRNOG00000046353	ENSPANG00000008547	n:m	
ENSRNOG00000046353	ENSPANG00000016644	n:m	
ENSRNOG00000046353	ENSPANG00000016716	n:m	
ENSRNOG00000046353	ENSPANG00000026486	n:m	
ENSRNOG00000023081	ENSPANG00000024446	n:m	
ENSRNOG00000023081	ENSPANG00000023242	n:m	
ENSRNOG00000023081	ENSPANG00000022187	n:m	278022
ENSRNOG00000016286	ENSPANG00000026300	1:1	538990
ENSRNOG00000016011	ENSPANG00000009444	1:1	817668
ENSRNOG00000019582	ENSPANG00000024767	1:1	850734
ENSRNOG00000019549	ENSPANG00000018393	1:1	552092
ENSRNOG00000019501	ENSPANG00000018391	1:1	
ENSRNOG00000019489	ENSPANG00000006927	1:1	
ENSRNOG00000024280	ENSPANG00000001110	1:1	792965
ENSRNOG00000019358	ENSPANG00000020729	1:1	730613
ENSRNOG00000018858	ENSPANG00000026234	1:1	773353
ENSRNOG00000018808	ENSPANG00000004077	1:1	796737
ENSRNOG00000024077	ENSPANG00000007349	1:1	831160
ENSRNOG00000018690	ENSPANG00000022190	1:1	699382
ENSRNOG00000018191	ENSPANG00000005833	1:1	657334
ENSRNOG00000018163	ENSPANG00000023119	1:1	784728
ENSRNOG00000018052	ENSPANG00000005834	1:1	666196
ENSRNOG00000016919	ENSPANG00000017489	1:1	550450
ENSRNOG00000016728	ENSPANG00000017324	1:1	
ENSRNOG00000056223	ENSPANG00000007489	1:1	845379
ENSRNOG00000023531	ENSPANG00000004782	1:1	260680
ENSRNOG00000016490	ENSPANG00000022192	1:1	547560
ENSRNOG00000017030	ENSPANG00000008940	1:1	549310
ENSRNOG00000016973	ENSPANG00000009240	1:1	834972
ENSRNOG00000029049	ENSPANG00000007490	1:1	514629
ENSRNOG00000046874	ENSPANG00000008674	1:1	847106
ENSRNOG00000017114	ENSPANG00000010755	1:1	693076
ENSRNOG00000017889	ENSPANG00000019055	1:1	
ENSRNOG00000018007	ENSPANG00000011065	1:1	792839
ENSRNOG00000018012	ENSPANG00000022014	1:1	854812
ENSRNOG00000018158	ENSPANG00000018078	1:1	
ENSRNOG00000018207	ENSPANG00000021141	1:1	752105
ENSRNOG00000018321	ENSPANG00000011916	1:1	810278
ENSRNOG00000018524	ENSPANG00000016175	1:1	809661
ENSRNOG00000018762	ENSPANG00000015890	1:1	766769
ENSRNOG00000018915	ENSPANG00000006087	1:1	
ENSRNOG00000030210	ENSPANG00000024066	1:1	555967
ENSRNOG00000019048	ENSPANG00000006178	1:1	862222
ENSRNOG00000019091	ENSPANG00000018386	1:1	303789
ENSRNOG00000019189	ENSPANG00000006086	n:1	
ENSRNOG00000013975	ENSPANG00000006086	n:1	
ENSRNOG00000014160	ENSPANG00000011086	1:1	636217
ENSRNOG00000014582	ENSPANG00000024959	1:m	740977
ENSRNOG00000014582	ENSPANG00000023667	1:m	
ENSRNOG00000023140	ENSPANG00000022009	1:1	753724
ENSRNOG00000014965	ENSPANG00000026229	1:1	544319
ENSRNOG00000014971	ENSPANG00000024549	1:1	271139
ENSRNOG00000014997	ENSPANG00000018547	1:1	551823
ENSRNOG00000016337	ENSPANG00000012323	1:1	549403
ENSRNOG00000016625	ENSPANG00000008238	1:1	547868
ENSRNOG00000022946	ENSPANG00000025907	1:1	548769
ENSRNOG00000017223	ENSPANG00000007072	1:1	557475
ENSRNOG00000017412	ENSPANG00000013746	n:m	
ENSRNOG00000017412	ENSPANG00000005473	n:m	
ENSRNOG00000017419	ENSPANG00000013261	1:1	783993
ENSRNOG00000017731	ENSPANG00000026455	1:1	860439
ENSRNOG00000055547	ENSPANG00000022007	1:1	496323
ENSRNOG00000048297	ENSPANG00000006711	1:1	555223
ENSRNOG00000011243	ENSPANG00000010211	1:1	744866
ENSRNOG00000011310	ENSPANG00000019045	1:1	792108
ENSRNOG00000012229	ENSPANG00000005068	1:1	790924
ENSRNOG00000024140	ENSPANG00000000460	1:1	842630
ENSRNOG00000012964	ENSPANG00000021006	1:1	777254
ENSRNOG00000055093	ENSPANG00000008430	1:1	500855
ENSRNOG00000013190	ENSPANG00000022370	1:1	
ENSRNOG00000013194	ENSPANG00000018198	1:1	548456
ENSRNOG00000039255	ENSPANG00000016543	1:1	776432
ENSRNOG00000013374	ENSPANG00000008429	1:m	
ENSRNOG00000013374	ENSPANG00000012994	1:m	659855
ENSRNOG00000033901	ENSPANG00000021226	1:1	494619
ENSRNOG00000047027	ENSPANG00000022873	1:1	
ENSRNOG00000046250	ENSPANG00000006869	n:1	
ENSRNOG00000022921	ENSPANG00000020124	1:1	822416
ENSRNOG00000014166	ENSPANG00000011796	1:1	853651
ENSRNOG00000010529	ENSPANG00000010325	1:1	795677
ENSRNOG00000015609	ENSPANG00000017856	1:1	744867
ENSRNOG00000015597	ENSPANG00000013138	1:1	740034
ENSRNOG00000061312	ENSPANG00000005215	1:1	857599
ENSRNOG00000015293	ENSPANG00000012992	1:1	740944
ENSRNOG00000015230	ENSPANG00000005066	1:1	789259
ENSRNOG00000059984	ENSPANG00000015697	1:1	549502
ENSRNOG00000058790	ENSPANG00000006376	1:1	833344
ENSRNOG00000001488	ENSPANG00000000568	1:1	860126
ENSRNOG00000001489	ENSPANG00000000569	1:1	830532
ENSRNOG00000001490	ENSPANG00000007068	1:1	855514
ENSRNOG00000021493	ENSPANG00000013143	1:1	557969
ENSRNOG00000014434	ENSPANG00000006387	1:1	547319
ENSRNOG00000048190	ENSPANG00000004372	1:1	811999
ENSRNOG00000012692	ENSPANG00000011977	1:1	552026
ENSRNOG00000012988	ENSPANG00000002293	1:1	829047
ENSRNOG00000010994	ENSPANG00000015921	1:1	677284
ENSRNOG00000011174	ENSPANG00000004021	1:1	744920
ENSRNOG00000042605	ENSPANG00000009326	1:1	
ENSRNOG00000011282	ENSPANG00000008084	1:1	515926
ENSRNOG00000059492	ENSPANG00000014779	1:1	
ENSRNOG00000058087	ENSPANG00000012247	n:m	
ENSRNOG00000058087	ENSPANG00000016785	n:m	
ENSRNOG00000054954	ENSPANG00000022675	n:1	
ENSRNOG00000053260	ENSPANG00000017572	1:m	
ENSRNOG00000053260	ENSPANG00000008082	1:m	567693
ENSRNOG00000053260	ENSPANG00000009163	1:m	
ENSRNOG00000058538	ENSPANG00000004008	1:m	
ENSRNOG00000058538	ENSPANG00000012100	1:m	
ENSRNOG00000058909	ENSPANG00000011359	n:1	
ENSRNOG00000059741	ENSPANG00000003765	1:1	696916
ENSRNOG00000058422	ENSPANG00000022675	n:1	
ENSRNOG00000059572	ENSPANG00000012101	1:1	753745
ENSRNOG00000054459	ENSPANG00000015075	1:1	525813
ENSRNOG00000061893	ENSPANG00000015648	1:1	548290
ENSRNOG00000053234	ENSPANG00000009375	1:1	547224
ENSRNOG00000061039	ENSPANG00000025402	1:1	801510
ENSRNOG00000056098	ENSPANG00000012505	1:1	
ENSRNOG00000060293	ENSPANG00000004036	n:m	305806
ENSRNOG00000060293	ENSPANG00000018758	n:m	
ENSRNOG00000060293	ENSPANG00000006644	n:m	
ENSRNOG00000055581	ENSPANG00000016444	1:1	561469
ENSRNOG00000057852	ENSPANG00000011692	1:1	764714
ENSRNOG00000057848	ENSPANG00000010661	1:1	771119
ENSRNOG00000056257	ENSPANG00000025512	1:1	736858
ENSRNOG00000054371	ENSPANG00000015248	1:1	550675
ENSRNOG00000053450	ENSPANG00000010513	1:1	261987
ENSRNOG00000053124	ENSPANG00000006028	n:1	
ENSRNOG00000055798	ENSPANG00000006028	n:1	
ENSRNOG00000056884	ENSPANG00000006028	n:1	
ENSRNOG00000060745	ENSPANG00000009037	1:1	656575
ENSRNOG00000054438	ENSPANG00000012103	1:1	
ENSRNOG00000027550	ENSPANG00000017028	1:1	756332
ENSRNOG00000027514	ENSPANG00000012027	1:1	840734
ENSRNOG00000043328	ENSPANG00000003200	1:1	775714
ENSRNOG00000027487	ENSPANG00000014391	1:1	515043
ENSRNOG00000027459	ENSPANG00000010839	1:1	555689
ENSRNOG00000019626	ENSPANG00000011136	1:1	551126
ENSRNOG00000027436	ENSPANG00000003803	1:m	
ENSRNOG00000027436	ENSPANG00000012180	1:m	268164
ENSRNOG00000019453	ENSPANG00000014392	1:1	
ENSRNOG00000031113	ENSPANG00000015371	1:1	719375
ENSRNOG00000031459	ENSPANG00000001782	1:1	267887
ENSRNOG00000031328	ENSPANG00000012245	1:1	750822
ENSRNOG00000019376	ENSPANG00000012355	1:1	759921
ENSRNOG00000026861	ENSPANG00000012093	1:1	
ENSRNOG00000019127	ENSPANG00000010429	1:1	557693
ENSRNOG00000047230	ENSPANG00000009585	1:1	567733
ENSRNOG00000059074	ENSPANG00000025039	n:1	
ENSRNOG00000031178	ENSPANG00000025039	n:1	
ENSRNOG00000046455	ENSPANG00000000290	1:1	566016
ENSRNOG00000055229	ENSPANG00000010943	1:1	797496
ENSRNOG00000047540	ENSPANG00000005736	n:1	702800
ENSRNOG00000047013	ENSPANG00000003864	n:1	263420
ENSRNOG00000042030	ENSPANG00000014877	n:1	
ENSRNOG00000015825	ENSPANG00000025398	1:1	550834
ENSRNOG00000014791	ENSPANG00000014916	1:1	700002
ENSRNOG00000042502	ENSPANG00000007974	1:1	303012
ENSRNOG00000042777	ENSPANG00000008416	1:1	771134
ENSRNOG00000015322	ENSPANG00000016634	1:1	753885
ENSRNOG00000034184	ENSPANG00000000399	1:1	787738
ENSRNOG00000033906	ENSPANG00000004117	1:1	560187
ENSRNOG00000022129	ENSPANG00000012097	1:1	709719
ENSRNOG00000015517	ENSPANG00000014394	1:1	561149
ENSRNOG00000015456	ENSPANG00000025615	1:1	561788
ENSRNOG00000021996	ENSPANG00000014877	n:1	656581
ENSRNOG00000021913	ENSPANG00000000348	1:1	656585
ENSRNOG00000015743	ENSPANG00000000349	1:m	
ENSRNOG00000015743	ENSPANG00000006592	1:m	
ENSRNOG00000015743	ENSPANG00000004173	1:m	515057
ENSRNOG00000015753	ENSPANG00000003669	1:1	550646
ENSRNOG00000015914	ENSPANG00000008459	1:1	547260
ENSRNOG00000015997	ENSPANG00000025400	1:1	811582
ENSRNOG00000016279	ENSPANG00000001785	1:1	730695
ENSRNOG00000028628	ENSPANG00000008015	1:1	709610
ENSRNOG00000016565	ENSPANG00000025646	1:1	
ENSRNOG00000016574	ENSPANG00000018583	1:1	730686
ENSRNOG00000016608	ENSPANG00000014917	1:1	268075
ENSRNOG00000042927	ENSPANG00000005876	1:1	554374
ENSRNOG00000038625	ENSPANG00000004030	1:1	558225
ENSRNOG00000038622	ENSPANG00000012246	1:1	761065
ENSRNOG00000050348	ENSPANG00000013748	1:1	662300
ENSRNOG00000016877	ENSPANG00000008460	1:1	
ENSRNOG00000016930	ENSPANG00000004031	1:1	
ENSRNOG00000042528	ENSPANG00000020379	1:1	782724
ENSRNOG00000017386	ENSPANG00000012310	1:1	804359
ENSRNOG00000038616	ENSPANG00000013749	1:1	762598
ENSRNOG00000017508	ENSPANG00000010090	1:1	642724
ENSRNOG00000028273	ENSPANG00000017120	1:1	787665
ENSRNOG00000017673	ENSPANG00000001626	1:1	550067
ENSRNOG00000017795	ENSPANG00000016442	1:1	711919
ENSRNOG00000018090	ENSPANG00000004989	1:1	497515
ENSRNOG00000038607	ENSPANG00000006593	1:1	507471
ENSRNOG00000058906	ENSPANG00000016443	1:1	527518
ENSRNOG00000018217	ENSPANG00000011356	1:1	745747
ENSRNOG00000038600	ENSPANG00000012785	1:1	794890
ENSRNOG00000018250	ENSPANG00000018446	1:1	551341
ENSRNOG00000028041	ENSPANG00000003866	1:1	554804
ENSRNOG00000053828	ENSPANG00000001787	1:1	553886
ENSRNOG00000027942	ENSPANG00000023646	1:1	855178
ENSRNOG00000027919	ENSPANG00000008081	1:1	508631
ENSRNOG00000047204	ENSPANG00000008462	1:1	555885
ENSRNOG00000049759	ENSPANG00000022816	1:m	656579
ENSRNOG00000049759	ENSPANG00000013750	1:m	
ENSRNOG00000049759	ENSPANG00000010048	1:m	
ENSRNOG00000018458	ENSPANG00000005516	1:1	272422
ENSRNOG00000027855	ENSPANG00000014776	1:1	272753
ENSRNOG00000027843	ENSPANG00000002646	1:m	
ENSRNOG00000027843	ENSPANG00000000222	1:m	
ENSRNOG00000027843	ENSPANG00000016636	1:m	
ENSRNOG00000027843	ENSPANG00000014396	1:m	
ENSRNOG00000027843	ENSPANG00000006515	1:m	
ENSRNOG00000027843	ENSPANG00000008401	1:m	
ENSRNOG00000027843	ENSPANG00000005458	1:m	
ENSRNOG00000027843	ENSPANG00000008889	1:m	
ENSRNOG00000027843	ENSPANG00000007956	1:m	
ENSRNOG00000027843	ENSPANG00000020088	1:m	
ENSRNOG00000027843	ENSPANG00000020619	1:m	
ENSRNOG00000027843	ENSPANG00000021381	1:m	567642
ENSRNOG00000027843	ENSPANG00000021185	1:m	
ENSRNOG00000027808	ENSPANG00000012247	n:m	
ENSRNOG00000027808	ENSPANG00000016785	n:m	
ENSRNOG00000018616	ENSPANG00000024847	1:1	716445
ENSRNOG00000018642	ENSPANG00000003867	1:1	703669
ENSRNOG00000032699	ENSPANG00000003763	1:1	
ENSRNOG00000027733	ENSPANG00000021900	1:m	
ENSRNOG00000027733	ENSPANG00000004034	1:m	273167
ENSRNOG00000027705	ENSPANG00000014877	n:1	
ENSRNOG00000015527	ENSPANG00000014877	n:1	
ENSRNOG00000048095	ENSPANG00000021975	n:1	
ENSRNOG00000047206	ENSPANG00000011694	n:1	
ENSRNOG00000014186	ENSPANG00000003733	1:1	532032
ENSRNOG00000014193	ENSPANG00000011694	n:1	733639
ENSRNOG00000026764	ENSPANG00000002963	1:1	731683
ENSRNOG00000014787	ENSPANG00000010797	1:1	554501
ENSRNOG00000052287	ENSPANG00000012802	1:1	280004
ENSRNOG00000047986	ENSPANG00000023867	1:1	787083
ENSRNOG00000033146	ENSPANG00000008041	n:1	
ENSRNOG00000013890	ENSPANG00000010183	1:1	727320
ENSRNOG00000051483	ENSPANG00000014328	1:1	762196
ENSRNOG00000013023	ENSPANG00000002964	1:1	495640
ENSRNOG00000011346	ENSPANG00000026345	1:1	643318
ENSRNOG00000011262	ENSPANG00000008089	1:1	775644
ENSRNOG00000021800	ENSPANG00000009364	1:1	266226
ENSRNOG00000001494	ENSPANG00000023325	1:1	865173
ENSRNOG00000001493	ENSPANG00000018368	1:1	767562
ENSRNOG00000001492	ENSPANG00000012944	1:1	815203
ENSRNOG00000021390	ENSPANG00000002238	1:1	850822
ENSRNOG00000047575	ENSPANG00000011774	1:1	846770
ENSRNOG00000049028	ENSPANG00000014955	1:1	721092
ENSRNOG00000047800	ENSPANG00000017663	1:1	657308
ENSRNOG00000049661	ENSPANG00000002239	1:1	264421
ENSRNOG00000048848	ENSPANG00000014927	1:1	774868
ENSRNOG00000015128	ENSPANG00000005314	1:1	755018
ENSRNOG00000015229	ENSPANG00000021115	1:1	553889
ENSRNOG00000015304	ENSPANG00000004010	1:1	784067
ENSRNOG00000015376	ENSPANG00000014704	1:1	730542
ENSRNOG00000015852	ENSPANG00000018862	1:1	850684
ENSRNOG00000028617	ENSPANG00000024739	n:1	
ENSRNOG00000046915	ENSPANG00000024739	n:1	568617
ENSRNOG00000015865	ENSPANG00000007938	1:1	839321
ENSRNOG00000015948	ENSPANG00000024227	1:1	507673
ENSRNOG00000016055	ENSPANG00000003944	1:1	815602
ENSRNOG00000016145	ENSPANG00000017664	1:1	609490
ENSRNOG00000016434	ENSPANG00000008367	1:1	556309
ENSRNOG00000052256	ENSPANG00000021672	1:1	555581
ENSRNOG00000016701	ENSPANG00000003828	1:1	807625
ENSRNOG00000016756	ENSPANG00000019287	1:1	833975
ENSRNOG00000016863	ENSPANG00000005194	1:1	261986
ENSRNOG00000027944	ENSPANG00000018286	1:1	753915
ENSRNOG00000027936	ENSPANG00000020252	1:1	268435
ENSRNOG00000016907	ENSPANG00000002966	1:1	547139
ENSRNOG00000017198	ENSPANG00000014598	1:1	762158
ENSRNOG00000042158	ENSPANG00000006496	1:1	
ENSRNOG00000032940	ENSPANG00000019926	1:1	
ENSRNOG00000013395	ENSPANG00000007858	1:1	702361
ENSRNOG00000013767	ENSPANG00000009365	1:1	550605
ENSRNOG00000038088	ENSPANG00000009327	1:1	777312
ENSRNOG00000014132	ENSPANG00000002240	1:1	556151
ENSRNOG00000014252	ENSPANG00000002641	1:1	824766
ENSRNOG00000014256	ENSPANG00000013224	1:1	809055
ENSRNOG00000014353	ENSPANG00000019930	1:1	860280
ENSRNOG00000061526	ENSPANG00000011597	1:1	816007
ENSRNOG00000014984	ENSPANG00000001288	1:1	665444
ENSRNOG00000015085	ENSPANG00000002664	1:1	554267
ENSRNOG00000060146	ENSPANG00000005316	1:1	779573
ENSRNOG00000008815	ENSPANG00000002640	1:1	799105
ENSRNOG00000015413	ENSPANG00000016116	1:1	798821
ENSRNOG00000015844	ENSPANG00000008802	n:m	753714
ENSRNOG00000015844	ENSPANG00000017743	n:m	
