mouse_ID	baboon_ID	orthotype	OMAgroup
ENSMUSG00000059554	ENSPANG00000006096	1:1	810773
ENSMUSG00000039835	ENSPANG00000014547	1:1	548853
ENSMUSG00000019853	ENSPANG00000023967	1:1	818330
ENSMUSG00000019852	ENSPANG00000013002	1:1	837023
ENSMUSG00000019851	ENSPANG00000006095	1:1	260686
ENSMUSG00000019850	ENSPANG00000007076	1:1	811362
ENSMUSG00000045591	ENSPANG00000006465	1:1	802364
ENSMUSG00000020009	ENSPANG00000018173	1:1	797949
ENSMUSG00000039760	ENSPANG00000000356	1:1	838513
ENSMUSG00000020007	ENSPANG00000017634	1:1	752285
ENSMUSG00000050473	ENSPANG00000005133	1:1	778652
ENSMUSG00000020003	ENSPANG00000023965	1:1	817342
ENSMUSG00000071369	ENSPANG00000015068	1:1	856170
ENSMUSG00000019996	ENSPANG00000016952	1:1	549951
ENSMUSG00000037608	ENSPANG00000022182	1:1	266691
ENSMUSG00000019992	ENSPANG00000014438	1:1	833449
ENSMUSG00000019990	ENSPANG00000015851	1:1	792113
ENSMUSG00000019986	ENSPANG00000008061	1:1	843019
ENSMUSG00000019982	ENSPANG00000018932	1:1	823501
ENSMUSG00000019977	ENSPANG00000007075	1:1	863720
ENSMUSG00000037542	ENSPANG00000022180	1:1	661723
ENSMUSG00000019970	ENSPANG00000010260	1:1	548204
ENSMUSG00000053219	ENSPANG00000013265	1:m	
ENSMUSG00000053219	ENSPANG00000019224	1:m	643664
ENSMUSG00000053219	ENSPANG00000022187	1:m	
ENSMUSG00000037490	ENSPANG00000022519	1:1	547338
ENSMUSG00000071359	ENSPANG00000020089	1:1	830528
ENSMUSG00000045680	ENSPANG00000022301	1:1	843075
ENSMUSG00000061983	ENSPANG00000016805	n:m	766654
ENSMUSG00000061983	ENSPANG00000019394	n:m	
ENSMUSG00000037455	ENSPANG00000011087	1:1	549373
ENSMUSG00000037440	ENSPANG00000007996	1:1	780157
ENSMUSG00000056379	ENSPANG00000010828	1:1	657325
ENSMUSG00000059763	ENSPANG00000023669	1:1	270861
ENSMUSG00000069706	ENSPANG00000011072	1:1	533699
ENSMUSG00000045111	ENSPANG00000017069	1:1	743553
ENSMUSG00000019998	ENSPANG00000019776	1:1	795546
ENSMUSG00000020000	ENSPANG00000018075	1:1	738336
ENSMUSG00000019997	ENSPANG00000024028	1:1	270470
ENSMUSG00000037370	ENSPANG00000021190	1:1	814040
ENSMUSG00000019989	ENSPANG00000006092	1:1	814039
ENSMUSG00000019984	ENSPANG00000010451	1:1	776724
ENSMUSG00000019987	ENSPANG00000007451	1:1	856719
ENSMUSG00000019978	ENSPANG00000025916	1:1	765398
ENSMUSG00000096546	ENSPANG00000025918	1:1	723493
ENSMUSG00000049420	ENSPANG00000024983	1:1	268722
ENSMUSG00000039089	ENSPANG00000010327	1:1	746001
ENSMUSG00000039031	ENSPANG00000024027	1:1	734476
ENSMUSG00000019889	ENSPANG00000025131	1:1	762139
ENSMUSG00000049109	ENSPANG00000024073	1:1	790940
ENSMUSG00000015519	ENSPANG00000025497	1:1	809878
ENSMUSG00000038916	ENSPANG00000016026	1:1	
ENSMUSG00000004360	ENSPANG00000011914	1:1	773349
ENSMUSG00000019883	ENSPANG00000020687	1:1	549107
ENSMUSG00000038876	ENSPANG00000003352	1:1	811611
ENSMUSG00000019880	ENSPANG00000007448	1:1	844716
ENSMUSG00000075266	ENSPANG00000025130	1:1	744880
ENSMUSG00000019792	ENSPANG00000022840	1:1	772080
ENSMUSG00000019791	ENSPANG00000016564	1:1	714499
ENSMUSG00000039697	ENSPANG00000026299	1:1	770993
ENSMUSG00000019789	ENSPANG00000018035	1:1	549420
ENSMUSG00000000295	ENSPANG00000016874	1:1	837035
ENSMUSG00000000296	ENSPANG00000022517	1:1	813946
ENSMUSG00000069670	ENSPANG00000020087	1:1	787425
ENSMUSG00000019785	ENSPANG00000003404	1:1	530536
ENSMUSG00000039552	ENSPANG00000006886	1:1	816006
ENSMUSG00000039531	ENSPANG00000021725	1:1	642659
ENSMUSG00000019782	ENSPANG00000008148	1:1	805520
ENSMUSG00000071340	ENSPANG00000024071	1:1	862593
ENSMUSG00000049872	ENSPANG00000006250	1:1	843086
ENSMUSG00000046031	ENSPANG00000000825	1:1	843081
ENSMUSG00000039497	ENSPANG00000000826	1:1	801771
ENSMUSG00000039462	ENSPANG00000022055	1:1	550350
ENSMUSG00000019779	ENSPANG00000015735	1:1	549465
ENSMUSG00000063953	ENSPANG00000006182	n:1	
ENSMUSG00000044499	ENSPANG00000020863	1:1	731058
ENSMUSG00000069662	ENSPANG00000023060	1:1	552359
ENSMUSG00000094311	ENSPANG00000003824	1:1	
ENSMUSG00000019846	ENSPANG00000012999	1:1	266083
ENSMUSG00000019845	ENSPANG00000005681	1:1	696187
ENSMUSG00000062074	ENSPANG00000021139	1:1	812605
ENSMUSG00000019843	ENSPANG00000003402	1:1	553918
ENSMUSG00000019842	ENSPANG00000022012	1:1	799528
ENSMUSG00000019841	ENSPANG00000020083	1:1	796948
ENSMUSG00000096687	ENSPANG00000006921	n:1	549635
ENSMUSG00000039339	ENSPANG00000006921	n:1	
ENSMUSG00000071335	ENSPANG00000006921	n:1	
ENSMUSG00000038522	ENSPANG00000006921	n:1	
ENSMUSG00000019838	ENSPANG00000005013	1:1	547215
ENSMUSG00000038510	ENSPANG00000018834	1:1	828918
ENSMUSG00000019837	ENSPANG00000009709	1:1	810140
ENSMUSG00000075232	ENSPANG00000006182	n:1	
ENSMUSG00000038481	ENSPANG00000006920	1:1	550507
ENSMUSG00000019834	ENSPANG00000016951	1:1	
ENSMUSG00000063428	ENSPANG00000006524	1:1	636832
ENSMUSG00000045555	ENSPANG00000000582	1:1	826051
ENSMUSG00000038446	ENSPANG00000023241	1:1	547138
ENSMUSG00000019831	ENSPANG00000007144	1:1	552503
ENSMUSG00000046922	ENSPANG00000008203	1:1	742562
ENSMUSG00000038417	ENSPANG00000011216	1:1	693068
ENSMUSG00000091415	ENSPANG00000008202	1:1	665624
ENSMUSG00000019826	ENSPANG00000006918	1:1	552067
ENSMUSG00000019823	ENSPANG00000014435	1:1	825927
ENSMUSG00000019822	ENSPANG00000024480	1:1	846221
ENSMUSG00000019818	ENSPANG00000007446	1:1	553287
ENSMUSG00000019813	ENSPANG00000008201	1:1	812926
ENSMUSG00000038332	ENSPANG00000012995	1:1	785595
ENSMUSG00000071324	ENSPANG00000006019	1:1	750783
ENSMUSG00000048756	ENSPANG00000015284	1:1	842425
ENSMUSG00000038302	ENSPANG00000007612	1:1	857572
ENSMUSG00000019804	ENSPANG00000017995	1:1	658778
ENSMUSG00000019803	ENSPANG00000016092	1:1	852947
ENSMUSG00000038280	ENSPANG00000024443	1:1	830885
ENSMUSG00000019802	ENSPANG00000004976	1:1	739380
ENSMUSG00000044770	ENSPANG00000017725	1:1	828662
ENSMUSG00000038248	ENSPANG00000021646	1:1	552523
ENSMUSG00000038240	ENSPANG00000017550	1:1	858654
ENSMUSG00000038214	ENSPANG00000024031	1:1	811042
ENSMUSG00000019797	ENSPANG00000016882	1:1	
ENSMUSG00000019863	ENSPANG00000016880	1:1	694718
ENSMUSG00000019864	ENSPANG00000008266	1:1	786336
ENSMUSG00000019866	ENSPANG00000021647	1:1	798754
ENSMUSG00000038160	ENSPANG00000025450	1:1	703497
ENSMUSG00000038151	ENSPANG00000016727	1:1	548802
ENSMUSG00000019849	ENSPANG00000015134	1:1	763670
ENSMUSG00000019848	ENSPANG00000010757	1:1	682370
ENSMUSG00000071317	ENSPANG00000008149	1:1	682367
ENSMUSG00000063804	ENSPANG00000005196	1:1	550288
ENSMUSG00000056073	ENSPANG00000006097	1:1	770482
ENSMUSG00000038774	ENSPANG00000006307	1:1	823914
ENSMUSG00000019913	ENSPANG00000011218	1:1	791465
ENSMUSG00000062593	ENSPANG00000012247	n:m	562125
ENSMUSG00000062593	ENSPANG00000016785	n:m	
ENSMUSG00000112148	ENSPANG00000012247	n:m	
ENSMUSG00000112148	ENSPANG00000016785	n:m	
ENSMUSG00000019909	ENSPANG00000022513	1:1	831023
ENSMUSG00000019905	ENSPANG00000024072	1:1	641451
ENSMUSG00000019900	ENSPANG00000008240	1:1	798145
ENSMUSG00000019893	ENSPANG00000022514	1:1	805618
ENSMUSG00000019891	ENSPANG00000017288	1:1	831952
ENSMUSG00000019861	ENSPANG00000020085	1:1	831205
ENSMUSG00000023068	ENSPANG00000006888	1:1	750611
ENSMUSG00000038602	ENSPANG00000018515	1:1	778663
ENSMUSG00000038594	ENSPANG00000007396	1:1	822368
ENSMUSG00000038583	ENSPANG00000003332	1:1	259469
ENSMUSG00000019857	ENSPANG00000009918	1:1	840865
ENSMUSG00000019856	ENSPANG00000022689	1:1	548477
ENSMUSG00000003746	ENSPANG00000019275	1:1	526735
ENSMUSG00000038122	ENSPANG00000025128	1:1	816161
ENSMUSG00000050953	ENSPANG00000003060	1:1	755707
ENSMUSG00000019877	ENSPANG00000021642	1:1	738167
ENSMUSG00000019876	ENSPANG00000023568	1:1	777964
ENSMUSG00000019874	ENSPANG00000022797	1:1	
ENSMUSG00000019872	ENSPANG00000000315	1:1	
ENSMUSG00000038039	ENSPANG00000018194	1:1	549478
ENSMUSG00000019920	ENSPANG00000017633	1:1	548905
ENSMUSG00000003226	ENSPANG00000000990	1:1	859097
ENSMUSG00000038010	ENSPANG00000024024	1:1	824670
ENSMUSG00000003227	ENSPANG00000021724	1:1	809063
ENSMUSG00000037990	ENSPANG00000006520	1:1	850530
ENSMUSG00000019917	ENSPANG00000008627	1:1	
ENSMUSG00000098188	ENSPANG00000011995	1:1	643505
ENSMUSG00000019916	ENSPANG00000022355	1:1	
ENSMUSG00000069622	ENSPANG00000022652	n:1	670970
ENSMUSG00000009646	ENSPANG00000022324	1:1	689234
ENSMUSG00000009654	ENSPANG00000022326	1:1	794925
ENSMUSG00000009647	ENSPANG00000022327	1:1	818043
ENSMUSG00000020111	ENSPANG00000022329	1:1	755428
ENSMUSG00000020109	ENSPANG00000022312	1:1	857769
ENSMUSG00000020108	ENSPANG00000022314	1:1	808001
ENSMUSG00000020107	ENSPANG00000022315	1:1	265734
ENSMUSG00000044475	ENSPANG00000022316	1:1	752838
ENSMUSG00000058297	ENSPANG00000022317	1:1	800174
ENSMUSG00000057337	ENSPANG00000022311	1:1	500236
ENSMUSG00000004207	ENSPANG00000022310	1:1	792859
ENSMUSG00000012819	ENSPANG00000022272	1:1	555645
ENSMUSG00000020101	ENSPANG00000022276	1:1	828423
ENSMUSG00000090439	ENSPANG00000014724	1:1	744882
ENSMUSG00000020100	ENSPANG00000022277	1:1	712030
ENSMUSG00000020099	ENSPANG00000022279	1:1	835911
ENSMUSG00000020098	ENSPANG00000022281	1:1	741698
ENSMUSG00000020097	ENSPANG00000022284	1:1	824799
ENSMUSG00000020096	ENSPANG00000022302	1:1	797444
ENSMUSG00000059901	ENSPANG00000022255	1:1	549872
ENSMUSG00000037202	ENSPANG00000022257	1:1	268108
ENSMUSG00000020092	ENSPANG00000022258	1:1	829361
ENSMUSG00000037171	ENSPANG00000022260	1:1	826584
ENSMUSG00000020091	ENSPANG00000022261	1:1	516348
ENSMUSG00000037151	ENSPANG00000022262	1:1	548080
ENSMUSG00000020090	ENSPANG00000022264	1:1	657384
ENSMUSG00000020089	ENSPANG00000022268	1:1	815432
ENSMUSG00000020088	ENSPANG00000022249	1:1	775021
ENSMUSG00000020087	ENSPANG00000022248	1:1	817452
ENSMUSG00000020085	ENSPANG00000022172	1:1	510553
ENSMUSG00000020086	ENSPANG00000022173	1:1	551343
ENSMUSG00000058806	ENSPANG00000022178	1:1	551081
ENSMUSG00000020083	ENSPANG00000022161	1:1	802813
ENSMUSG00000044312	ENSPANG00000003722	1:1	759937
ENSMUSG00000037031	ENSPANG00000022162	1:1	828706
ENSMUSG00000020081	ENSPANG00000022163	1:1	657307
ENSMUSG00000037012	ENSPANG00000022165	1:1	793285
ENSMUSG00000020080	ENSPANG00000022166	1:1	793286
ENSMUSG00000020079	ENSPANG00000022168	1:1	738032
ENSMUSG00000020078	ENSPANG00000022152	1:1	862137
ENSMUSG00000020077	ENSPANG00000022138	1:1	764267
ENSMUSG00000036955	ENSPANG00000022139	1:1	703467
ENSMUSG00000020075	ENSPANG00000022140	1:1	547670
ENSMUSG00000036923	ENSPANG00000022137	1:1	834701
ENSMUSG00000020074	ENSPANG00000022123	1:1	843637
ENSMUSG00000047146	ENSPANG00000022122	1:1	816879
ENSMUSG00000071253	ENSPANG00000022117	1:1	497998
ENSMUSG00000036875	ENSPANG00000022119	1:1	784424
ENSMUSG00000020070	ENSPANG00000022103	1:1	548214
ENSMUSG00000020069	ENSPANG00000022105	1:1	549392
ENSMUSG00000020072	ENSPANG00000022106	n:1	
ENSMUSG00000112129	ENSPANG00000022106	n:1	783239
ENSMUSG00000036816	ENSPANG00000008840	1:1	764782
ENSMUSG00000020067	ENSPANG00000022100	1:1	551473
ENSMUSG00000020064	ENSPANG00000022076	1:1	739653
ENSMUSG00000020063	ENSPANG00000022077	1:1	798746
ENSMUSG00000036764	ENSPANG00000022078	1:1	681419
ENSMUSG00000048185	ENSPANG00000008716	n:1	
ENSMUSG00000042846	ENSPANG00000022079	1:1	831904
ENSMUSG00000019873	ENSPANG00000022060	1:1	775453
ENSMUSG00000037876	ENSPANG00000022061	1:1	829212
ENSMUSG00000075000	ENSPANG00000008339	1:m	803911
ENSMUSG00000075000	ENSPANG00000022063	1:m	
ENSMUSG00000037868	ENSPANG00000022064	1:1	551985
ENSMUSG00000057134	ENSPANG00000016238	1:1	658811
ENSMUSG00000037855	ENSPANG00000022065	1:1	803537
ENSMUSG00000037846	ENSPANG00000022066	1:1	844623
ENSMUSG00000019947	ENSPANG00000022067	1:1	824082
ENSMUSG00000019945	ENSPANG00000022059	1:1	818520
ENSMUSG00000060044	ENSPANG00000022058	1:1	794986
ENSMUSG00000019944	ENSPANG00000022029	1:1	842478
ENSMUSG00000019942	ENSPANG00000022031	1:1	547096
ENSMUSG00000048701	ENSPANG00000022034	1:1	549149
ENSMUSG00000037762	ENSPANG00000022036	1:1	550961
ENSMUSG00000043259	ENSPANG00000022019	1:1	734493
ENSMUSG00000037747	ENSPANG00000022021	1:1	796816
ENSMUSG00000014329	ENSPANG00000022024	1:1	857244
ENSMUSG00000003923	ENSPANG00000022026	1:m	
ENSMUSG00000003923	ENSPANG00000010159	1:m	549825
ENSMUSG00000019927	ENSPANG00000022016	1:1	547951
ENSMUSG00000037710	ENSPANG00000021996	1:1	516477
ENSMUSG00000060733	ENSPANG00000021997	1:1	650771
ENSMUSG00000019923	ENSPANG00000022000	1:1	310099
ENSMUSG00000009070	ENSPANG00000024409	1:1	814127
ENSMUSG00000040009	ENSPANG00000024410	1:1	498834
ENSMUSG00000020175	ENSPANG00000019629	1:1	522185
ENSMUSG00000009681	ENSPANG00000000445	1:1	786231
ENSMUSG00000033444	ENSPANG00000007713	1:1	851030
ENSMUSG00000020178	ENSPANG00000017553	1:1	792985
ENSMUSG00000033416	ENSPANG00000022703	1:1	671432
ENSMUSG00000033427	ENSPANG00000011722	1:1	732110
ENSMUSG00000020180	ENSPANG00000009279	1:1	793363
ENSMUSG00000046807	ENSPANG00000004878	1:1	822849
ENSMUSG00000006345	ENSPANG00000020038	1:m	
ENSMUSG00000006345	ENSPANG00000020748	1:m	839379
ENSMUSG00000006344	ENSPANG00000020744	1:1	839384
ENSMUSG00000006342	ENSPANG00000020710	1:1	789094
ENSMUSG00000020196	ENSPANG00000025781	1:1	844858
ENSMUSG00000001666	ENSPANG00000021136	1:1	844818
ENSMUSG00000001663	ENSPANG00000021125	1:1	839878
ENSMUSG00000033318	ENSPANG00000021138	1:1	839907
ENSMUSG00000009092	ENSPANG00000026463	1:1	689449
ENSMUSG00000000902	ENSPANG00000026464	1:1	844761
ENSMUSG00000000901	ENSPANG00000019129	1:1	788568
ENSMUSG00000049422	ENSPANG00000019166	1:1	847028
ENSMUSG00000000903	ENSPANG00000019218	1:1	775989
ENSMUSG00000049764	ENSPANG00000008219	1:1	268107
ENSMUSG00000020229	ENSPANG00000026319	1:1	839566
ENSMUSG00000020230	ENSPANG00000019949	1:1	749107
ENSMUSG00000033208	ENSPANG00000019948	1:1	283006
ENSMUSG00000020231	ENSPANG00000022431	1:1	553741
ENSMUSG00000001151	ENSPANG00000008159	1:1	550189
ENSMUSG00000009114	ENSPANG00000024223	1:1	
ENSMUSG00000033126	ENSPANG00000024224	1:1	859041
ENSMUSG00000001150	ENSPANG00000024225	1:1	764739
ENSMUSG00000033105	ENSPANG00000019152	1:1	834416
ENSMUSG00000001155	ENSPANG00000008270	1:1	752399
ENSMUSG00000020241	ENSPANG00000024175	1:1	785632
ENSMUSG00000001119	ENSPANG00000022692	1:1	761602
ENSMUSG00000001120	ENSPANG00000023631	1:1	547778
ENSMUSG00000001436	ENSPANG00000017097	1:1	814832
ENSMUSG00000001435	ENSPANG00000020872	1:1	
ENSMUSG00000020260	ENSPANG00000023630	1:1	856105
ENSMUSG00000020262	ENSPANG00000020871	1:1	809891
ENSMUSG00000032977	ENSPANG00000021083	1:1	817562
ENSMUSG00000000290	ENSPANG00000023629	1:1	775850
ENSMUSG00000009291	ENSPANG00000005642	1:1	794660
ENSMUSG00000020265	ENSPANG00000020191	n:m	
ENSMUSG00000020265	ENSPANG00000015418	n:m	862071
ENSMUSG00000112241	ENSPANG00000010717	1:1	862070
ENSMUSG00000009293	ENSPANG00000021082	1:1	546992
ENSMUSG00000095970	ENSPANG00000024485	n:m	
ENSMUSG00000095970	ENSPANG00000006270	n:m	
ENSMUSG00000095970	ENSPANG00000000560	n:m	
ENSMUSG00000112170	ENSPANG00000024485	n:m	558080
ENSMUSG00000112170	ENSPANG00000006270	n:m	
ENSMUSG00000112170	ENSPANG00000000560	n:m	
ENSMUSG00000069584	ENSPANG00000020869	n:m	
ENSMUSG00000069584	ENSPANG00000014418	n:m	558068
ENSMUSG00000094012	ENSPANG00000020869	n:m	
ENSMUSG00000094012	ENSPANG00000014418	n:m	
ENSMUSG00000094146	ENSPANG00000020869	n:m	
ENSMUSG00000094146	ENSPANG00000014418	n:m	
ENSMUSG00000069583	ENSPANG00000020869	n:m	580114
ENSMUSG00000069583	ENSPANG00000014418	n:m	
ENSMUSG00000096421	ENSPANG00000020869	n:m	
ENSMUSG00000096421	ENSPANG00000014418	n:m	
ENSMUSG00000112864	ENSPANG00000024485	n:m	
ENSMUSG00000112864	ENSPANG00000006270	n:m	
ENSMUSG00000112864	ENSPANG00000000560	n:m	
ENSMUSG00000112380	ENSPANG00000024485	n:m	
ENSMUSG00000112380	ENSPANG00000006270	n:m	
ENSMUSG00000112380	ENSPANG00000000560	n:m	
ENSMUSG00000094120	ENSPANG00000024485	n:m	
ENSMUSG00000094120	ENSPANG00000006270	n:m	
ENSMUSG00000094120	ENSPANG00000000560	n:m	
ENSMUSG00000095817	ENSPANG00000024485	n:m	
ENSMUSG00000095817	ENSPANG00000006270	n:m	
ENSMUSG00000095817	ENSPANG00000000560	n:m	
ENSMUSG00000095593	ENSPANG00000024485	n:m	
ENSMUSG00000095593	ENSPANG00000006270	n:m	
ENSMUSG00000095593	ENSPANG00000000560	n:m	
ENSMUSG00000096481	ENSPANG00000024485	n:m	
ENSMUSG00000096481	ENSPANG00000006270	n:m	
ENSMUSG00000096481	ENSPANG00000000560	n:m	
ENSMUSG00000095721	ENSPANG00000024485	n:m	
ENSMUSG00000095721	ENSPANG00000006270	n:m	
ENSMUSG00000095721	ENSPANG00000000560	n:m	
ENSMUSG00000096380	ENSPANG00000024485	n:m	
ENSMUSG00000096380	ENSPANG00000006270	n:m	
ENSMUSG00000096380	ENSPANG00000000560	n:m	
ENSMUSG00000112600	ENSPANG00000024485	n:m	
ENSMUSG00000112600	ENSPANG00000006270	n:m	
ENSMUSG00000112600	ENSPANG00000000560	n:m	562134
ENSMUSG00000051652	ENSPANG00000001292	1:1	754801
ENSMUSG00000020284	ENSPANG00000008157	1:1	839526
ENSMUSG00000020277	ENSPANG00000009402	1:1	825109
ENSMUSG00000000731	ENSPANG00000020902	1:1	755630
ENSMUSG00000000730	ENSPANG00000020126	1:1	736973
ENSMUSG00000000732	ENSPANG00000017861	1:1	749851
ENSMUSG00000053329	ENSPANG00000011150	1:1	862260
ENSMUSG00000032834	ENSPANG00000006267	1:1	778452
ENSMUSG00000000374	ENSPANG00000005640	1:1	768999
ENSMUSG00000001211	ENSPANG00000007015	1:1	860435
ENSMUSG00000061032	ENSPANG00000015097	1:1	641040
ENSMUSG00000005054	ENSPANG00000007154	1:m	
ENSMUSG00000005054	ENSPANG00000013514	1:m	530465
ENSMUSG00000032788	ENSPANG00000022111	1:1	775280
ENSMUSG00000032763	ENSPANG00000019933	1:1	865656
ENSMUSG00000032714	ENSPANG00000010522	1:1	716214
ENSMUSG00000071185	ENSPANG00000020661	1:1	271699
ENSMUSG00000005355	ENSPANG00000003163	1:1	533552
ENSMUSG00000078442	ENSPANG00000010975	1:1	826621
ENSMUSG00000005357	ENSPANG00000017791	1:1	507670
ENSMUSG00000042774	ENSPANG00000008166	n:1	
ENSMUSG00000046493	ENSPANG00000008166	n:1	
ENSMUSG00000063216	ENSPANG00000008166	n:1	
ENSMUSG00000060205	ENSPANG00000008166	n:1	
ENSMUSG00000052151	ENSPANG00000009248	1:1	495344
ENSMUSG00000042570	ENSPANG00000006436	1:1	753853
ENSMUSG00000020317	ENSPANG00000009831	1:1	795902
ENSMUSG00000045912	ENSPANG00000002784	1:1	822276
ENSMUSG00000020312	ENSPANG00000018868	1:1	799533
ENSMUSG00000035963	ENSPANG00000006435	1:1	550214
ENSMUSG00000020308	ENSPANG00000017882	1:1	530875
ENSMUSG00000020307	ENSPANG00000006500	1:1	
ENSMUSG00000054206	ENSPANG00000016242	1:1	555571
ENSMUSG00000023175	ENSPANG00000024147	1:1	830432
ENSMUSG00000020331	ENSPANG00000024220	1:1	
ENSMUSG00000020329	ENSPANG00000006649	1:1	656547
ENSMUSG00000020327	ENSPANG00000004949	1:1	823277
ENSMUSG00000035890	ENSPANG00000010113	1:1	
ENSMUSG00000020325	ENSPANG00000007282	1:1	712451
ENSMUSG00000020323	ENSPANG00000009756	1:1	552763
ENSMUSG00000035863	ENSPANG00000006434	1:1	772213
ENSMUSG00000035852	ENSPANG00000023793	1:1	790907
ENSMUSG00000006498	ENSPANG00000007281	1:1	
ENSMUSG00000057729	ENSPANG00000012128	1:1	557261
ENSMUSG00000020125	ENSPANG00000012222	1:1	555755
ENSMUSG00000061780	ENSPANG00000014347	1:1	551459
ENSMUSG00000013833	ENSPANG00000017881	1:1	804194
ENSMUSG00000035781	ENSPANG00000015203	1:1	745986
ENSMUSG00000019564	ENSPANG00000019267	1:1	832190
ENSMUSG00000035754	ENSPANG00000009755	1:1	547786
ENSMUSG00000013858	ENSPANG00000018012	1:1	836214
ENSMUSG00000004665	ENSPANG00000013744	1:1	542528
ENSMUSG00000035722	ENSPANG00000012377	1:1	550530
ENSMUSG00000035697	ENSPANG00000013187	1:1	850233
ENSMUSG00000004667	ENSPANG00000018011	1:1	858986
ENSMUSG00000035673	ENSPANG00000009658	1:1	808346
ENSMUSG00000003068	ENSPANG00000020207	1:1	549044
ENSMUSG00000003072	ENSPANG00000021072	1:1	860984
ENSMUSG00000035621	ENSPANG00000008727	1:1	672008
ENSMUSG00000045193	ENSPANG00000020206	1:1	548255
ENSMUSG00000035595	ENSPANG00000016064	1:1	727561
ENSMUSG00000003070	ENSPANG00000018290	1:1	818098
ENSMUSG00000020156	ENSPANG00000024196	1:1	798805
ENSMUSG00000020153	ENSPANG00000003569	1:1	546856
ENSMUSG00000020150	ENSPANG00000010112	1:1	775366
ENSMUSG00000069565	ENSPANG00000004638	1:1	549227
ENSMUSG00000063457	ENSPANG00000013566	1:1	861041
ENSMUSG00000020135	ENSPANG00000000209	1:1	551677
ENSMUSG00000020133	ENSPANG00000008130	1:1	797247
ENSMUSG00000020131	ENSPANG00000014345	1:1	554126
ENSMUSG00000043822	ENSPANG00000010673	1:1	825213
ENSMUSG00000035486	ENSPANG00000007180	1:1	559952
ENSMUSG00000048696	ENSPANG00000025407	1:1	
ENSMUSG00000035478	ENSPANG00000015324	1:1	774886
ENSMUSG00000020163	ENSPANG00000017473	1:1	260457
ENSMUSG00000020167	ENSPANG00000016063	1:1	844251
ENSMUSG00000047417	ENSPANG00000000440	1:1	845444
ENSMUSG00000035397	ENSPANG00000004273	1:1	558357
