Transcript.ID	Gene.ID	Gene.Type
ENSDART00000001253	ENSDARG00000074425	protein_coding
ENSDART00000001313	ENSDARG00000001154	protein_coding
ENSDART00000001318	ENSDARG00000033450	protein_coding
ENSDART00000001331	ENSDARG00000001169	protein_coding
ENSDART00000001359	ENSDARG00000031885	protein_coding
ENSDART00000001376	ENSDARG00000001210	protein_coding
ENSDART00000001424	ENSDARG00000001249	protein_coding
ENSDART00000001444	ENSDARG00000001313	protein_coding
ENSDART00000001649	ENSDARG00000001431	protein_coding
ENSDART00000001678	ENSDARG00000001452	protein_coding
ENSDART00000001691	ENSDARG00000001463	protein_coding
ENSDART00000001737	ENSDARG00000001498	protein_coding
ENSDART00000001755	ENSDARG00000022185	protein_coding
ENSDART00000001795	ENSDARG00000001549	protein_coding
ENSDART00000001803	ENSDARG00000001557	protein_coding
ENSDART00000001805	ENSDARG00000001559	protein_coding
ENSDART00000001821	ENSDARG00000001572	protein_coding
ENSDART00000001830	ENSDARG00000001578	protein_coding
ENSDART00000001861	ENSDARG00000000730	protein_coding
ENSDART00000001907	ENSDARG00000045051	protein_coding
ENSDART00000001930	ENSDARG00000001656	protein_coding
ENSDART00000002027	ENSDARG00000001733	protein_coding
ENSDART00000002029	ENSDARG00000001734	protein_coding
ENSDART00000002046	ENSDARG00000097008	protein_coding
ENSDART00000002053	ENSDARG00000000476	protein_coding
ENSDART00000002055	ENSDARG00000078760	protein_coding
ENSDART00000002075	ENSDARG00000008491	protein_coding
ENSDART00000002078	ENSDARG00000016854	protein_coding
ENSDART00000002094	ENSDARG00000011326	protein_coding
ENSDART00000002095	ENSDARG00000018956	protein_coding
ENSDART00000002096	ENSDARG00000013221	protein_coding
ENSDART00000002118	ENSDARG00000040002	protein_coding
ENSDART00000002128	ENSDARG00000009215	protein_coding
ENSDART00000002164	ENSDARG00000008433	protein_coding
ENSDART00000002166	ENSDARG00000043236	protein_coding
ENSDART00000002176	ENSDARG00000015998	protein_coding
ENSDART00000002186	ENSDARG00000006074	protein_coding
ENSDART00000002217	ENSDARG00000013134	protein_coding
ENSDART00000002221	ENSDARG00000027620	protein_coding
ENSDART00000002231	ENSDARG00000007671	protein_coding
ENSDART00000002232	ENSDARG00000007641	protein_coding
ENSDART00000002233	ENSDARG00000016923	protein_coding
ENSDART00000002241	ENSDARG00000019588	protein_coding
ENSDART00000002242	ENSDARG00000095751	protein_coding
ENSDART00000002244	ENSDARG00000016855	protein_coding
ENSDART00000002247	ENSDARG00000007812	protein_coding
ENSDART00000002250	ENSDARG00000012025	protein_coding
ENSDART00000002279	ENSDARG00000021442	protein_coding
ENSDART00000002309	ENSDARG00000017121	protein_coding
ENSDART00000002318	ENSDARG00000016783	protein_coding
ENSDART00000002341	ENSDARG00000015955	protein_coding
ENSDART00000002348	ENSDARG00000008306	protein_coding
ENSDART00000002384	ENSDARG00000007406	protein_coding
ENSDART00000002393	ENSDARG00000007245	protein_coding
ENSDART00000002398	ENSDARG00000018264	protein_coding
ENSDART00000002401	ENSDARG00000007764	protein_coding
ENSDART00000002428	ENSDARG00000011188	protein_coding
ENSDART00000002449	ENSDARG00000006889	protein_coding
ENSDART00000002453	ENSDARG00000010752	protein_coding
ENSDART00000002459	ENSDARG00000008890	protein_coding
ENSDART00000002463	ENSDARG00000008765	protein_coding
ENSDART00000002464	ENSDARG00000008832	protein_coding
ENSDART00000002465	ENSDARG00000018022	protein_coding
ENSDART00000002469	ENSDARG00000018989	protein_coding
ENSDART00000002481	ENSDARG00000008060	protein_coding
ENSDART00000002493	ENSDARG00000018569	protein_coding
ENSDART00000002498	ENSDARG00000008852	protein_coding
ENSDART00000002501	ENSDARG00000008310	protein_coding
ENSDART00000002507	ENSDARG00000020250	protein_coding
ENSDART00000002510	ENSDARG00000014545	protein_coding
ENSDART00000002532	ENSDARG00000008674	protein_coding
ENSDART00000002545	ENSDARG00000020840	protein_coding
ENSDART00000002554	ENSDARG00000004697	protein_coding
ENSDART00000002556	ENSDARG00000007130	protein_coding
ENSDART00000002562	ENSDARG00000005627	protein_coding
ENSDART00000002568	ENSDARG00000010035	protein_coding
ENSDART00000002571	ENSDARG00000015947	protein_coding
ENSDART00000002583	ENSDARG00000015747	protein_coding
ENSDART00000002595	ENSDARG00000010516	protein_coding
ENSDART00000002622	ENSDARG00000005108	protein_coding
ENSDART00000002624	ENSDARG00000014817	protein_coding
ENSDART00000002633	ENSDARG00000018383	protein_coding
ENSDART00000002641	ENSDARG00000042368	protein_coding
ENSDART00000002661	ENSDARG00000020785	protein_coding
ENSDART00000002682	ENSDARG00000032765	protein_coding
ENSDART00000002684	ENSDARG00000017931	protein_coding
ENSDART00000002691	ENSDARG00000008407	protein_coding
ENSDART00000002693	ENSDARG00000003307	protein_coding
ENSDART00000002714	ENSDARG00000011049	protein_coding
ENSDART00000002728	ENSDARG00000016177	protein_coding
ENSDART00000002741	ENSDARG00000015576	protein_coding
ENSDART00000002750	ENSDARG00000005454	protein_coding
ENSDART00000002764	ENSDARG00000003749	protein_coding
ENSDART00000002767	ENSDARG00000069266	protein_coding
ENSDART00000002770	ENSDARG00000004497	protein_coding
ENSDART00000002773	ENSDARG00000006672	protein_coding
ENSDART00000002777	ENSDARG00000004877	protein_coding
ENSDART00000002778	ENSDARG00000017687	protein_coding
ENSDART00000002787	ENSDARG00000015236	protein_coding
ENSDART00000002790	ENSDARG00000019025	protein_coding
ENSDART00000002812	ENSDARG00000037030	protein_coding
ENSDART00000002824	ENSDARG00000007566	protein_coding
ENSDART00000002826	ENSDARG00000017658	protein_coding
ENSDART00000002834	ENSDARG00000035796	protein_coding
ENSDART00000002835	ENSDARG00000012234	protein_coding
ENSDART00000002846	ENSDARG00000007494	protein_coding
ENSDART00000002851	ENSDARG00000018111	protein_coding
ENSDART00000002856	ENSDARG00000014858	protein_coding
ENSDART00000002863	ENSDARG00000016951	protein_coding
ENSDART00000002866	ENSDARG00000016695	protein_coding
ENSDART00000002867	ENSDARG00000019746	protein_coding
ENSDART00000002886	ENSDARG00000006392	protein_coding
ENSDART00000002908	ENSDARG00000018270	protein_coding
ENSDART00000002922	ENSDARG00000002385	protein_coding
ENSDART00000002928	ENSDARG00000010619	protein_coding
ENSDART00000002930	ENSDARG00000017427	protein_coding
ENSDART00000002932	ENSDARG00000008803	protein_coding
ENSDART00000002938	ENSDARG00000008592	protein_coding
ENSDART00000002939	ENSDARG00000037140	protein_coding
ENSDART00000002945	ENSDARG00000096979	protein_coding
ENSDART00000002949	ENSDARG00000045199	protein_coding
ENSDART00000002953	ENSDARG00000005332	protein_coding
ENSDART00000002961	ENSDARG00000008278	protein_coding
ENSDART00000002965	ENSDARG00000020759	protein_coding
ENSDART00000002974	ENSDARG00000044091	protein_coding
ENSDART00000002985	ENSDARG00000008097	protein_coding
ENSDART00000002992	ENSDARG00000009868	protein_coding
ENSDART00000003001	ENSDARG00000006316	protein_coding
ENSDART00000003008	ENSDARG00000027419	protein_coding
ENSDART00000003022	ENSDARG00000009472	protein_coding
ENSDART00000003031	ENSDARG00000058547	protein_coding
ENSDART00000003035	ENSDARG00000013856	protein_coding
ENSDART00000003040	ENSDARG00000003523	protein_coding
ENSDART00000003042	ENSDARG00000020708	protein_coding
ENSDART00000003066	ENSDARG00000076742	protein_coding
ENSDART00000003076	ENSDARG00000008880	protein_coding
ENSDART00000003097	ENSDARG00000005626	protein_coding
ENSDART00000003133	ENSDARG00000021399	protein_coding
ENSDART00000003143	ENSDARG00000018742	protein_coding
ENSDART00000003156	ENSDARG00000022858	protein_coding
ENSDART00000003164	ENSDARG00000007186	protein_coding
ENSDART00000003167	ENSDARG00000005926	protein_coding
ENSDART00000003170	ENSDARG00000018145	protein_coding
ENSDART00000003181	ENSDARG00000044632	protein_coding
ENSDART00000003192	ENSDARG00000005034	protein_coding
ENSDART00000003193	ENSDARG00000010317	protein_coding
ENSDART00000003195	ENSDARG00000007418	protein_coding
ENSDART00000003210	ENSDARG00000020237	protein_coding
ENSDART00000003211	ENSDARG00000014324	protein_coding
ENSDART00000003221	ENSDARG00000015221	protein_coding
ENSDART00000003242	ENSDARG00000008948	protein_coding
ENSDART00000003248	ENSDARG00000005619	protein_coding
ENSDART00000003252	ENSDARG00000016415	protein_coding
ENSDART00000003273	ENSDARG00000016710	protein_coding
ENSDART00000003278	ENSDARG00000003054	protein_coding
ENSDART00000003293	ENSDARG00000034871	protein_coding
ENSDART00000003296	ENSDARG00000008237	protein_coding
ENSDART00000003298	ENSDARG00000025094	protein_coding
ENSDART00000003299	ENSDARG00000025174	protein_coding
ENSDART00000003303	ENSDARG00000019438	protein_coding
ENSDART00000003310	ENSDARG00000008540	protein_coding
ENSDART00000003314	ENSDARG00000002403	protein_coding
ENSDART00000003317	ENSDARG00000016304	protein_coding
ENSDART00000003325	ENSDARG00000030250	protein_coding
ENSDART00000003335	ENSDARG00000019060	protein_coding
ENSDART00000003338	ENSDARG00000037838	protein_coding
ENSDART00000003339	ENSDARG00000074081	protein_coding
ENSDART00000003345	ENSDARG00000006683	protein_coding
ENSDART00000003346	ENSDARG00000002754	protein_coding
ENSDART00000003418	ENSDARG00000006235	protein_coding
ENSDART00000003420	ENSDARG00000001912	protein_coding
ENSDART00000003422	ENSDARG00000019004	protein_coding
ENSDART00000003428	ENSDARG00000015524	protein_coding
ENSDART00000003435	ENSDARG00000009806	protein_coding
ENSDART00000003463	ENSDARG00000075827	protein_coding
ENSDART00000003465	ENSDARG00000009488	protein_coding
ENSDART00000003475	ENSDARG00000020191	protein_coding
ENSDART00000003482	ENSDARG00000014348	protein_coding
ENSDART00000003493	ENSDARG00000001621	protein_coding
ENSDART00000003494	ENSDARG00000001127	protein_coding
ENSDART00000003495	ENSDARG00000027161	protein_coding
ENSDART00000003497	ENSDARG00000016263	protein_coding
ENSDART00000003503	ENSDARG00000026165	protein_coding
ENSDART00000003508	ENSDARG00000005616	protein_coding
ENSDART00000003511	ENSDARG00000009693	protein_coding
ENSDART00000003514	ENSDARG00000011929	protein_coding
ENSDART00000003517	ENSDARG00000008480	protein_coding
ENSDART00000003518	ENSDARG00000010047	protein_coding
ENSDART00000003543	ENSDARG00000024112	protein_coding
ENSDART00000003544	ENSDARG00000007943	protein_coding
ENSDART00000003548	ENSDARG00000009899	protein_coding
ENSDART00000003550	ENSDARG00000004580	protein_coding
ENSDART00000003583	ENSDARG00000008720	protein_coding
ENSDART00000003621	ENSDARG00000017163	protein_coding
ENSDART00000003634	ENSDARG00000017809	protein_coding
ENSDART00000003646	ENSDARG00000014358	protein_coding
ENSDART00000003648	ENSDARG00000011079	protein_coding
ENSDART00000003665	ENSDARG00000005485	protein_coding
ENSDART00000003666	ENSDARG00000022650	protein_coding
ENSDART00000003670	ENSDARG00000038694	protein_coding
ENSDART00000003674	ENSDARG00000005948	protein_coding
ENSDART00000003690	ENSDARG00000035891	protein_coding
ENSDART00000003694	ENSDARG00000017841	protein_coding
ENSDART00000003701	ENSDARG00000004105	protein_coding
ENSDART00000003706	ENSDARG00000009160	protein_coding
ENSDART00000003712	ENSDARG00000016918	protein_coding
ENSDART00000003715	ENSDARG00000021370	protein_coding
ENSDART00000003716	ENSDARG00000055644	protein_coding
ENSDART00000003736	ENSDARG00000004932	protein_coding
ENSDART00000003745	ENSDARG00000010008	protein_coding
ENSDART00000003748	ENSDARG00000018281	protein_coding
ENSDART00000003752	ENSDARG00000016173	protein_coding
ENSDART00000003789	ENSDARG00000018285	protein_coding
ENSDART00000003790	ENSDARG00000015921	protein_coding
ENSDART00000003805	ENSDARG00000018418	protein_coding
ENSDART00000003825	ENSDARG00000018997	protein_coding
ENSDART00000003826	ENSDARG00000005482	protein_coding
ENSDART00000003834	ENSDARG00000013705	protein_coding
ENSDART00000003839	ENSDARG00000019233	protein_coding
ENSDART00000003845	ENSDARG00000016771	protein_coding
ENSDART00000003847	ENSDARG00000002589	protein_coding
ENSDART00000003879	ENSDARG00000009982	protein_coding
ENSDART00000003884	ENSDARG00000007271	protein_coding
ENSDART00000003888	ENSDARG00000003827	protein_coding
ENSDART00000003891	ENSDARG00000070787	protein_coding
ENSDART00000003895	ENSDARG00000016994	protein_coding
ENSDART00000003907	ENSDARG00000067828	protein_coding
ENSDART00000003913	ENSDARG00000018553	protein_coding
ENSDART00000003922	ENSDARG00000021991	protein_coding
ENSDART00000003926	ENSDARG00000021366	protein_coding
ENSDART00000003929	ENSDARG00000018524	protein_coding
ENSDART00000003932	ENSDARG00000026294	protein_coding
ENSDART00000003939	ENSDARG00000002564	protein_coding
ENSDART00000003940	ENSDARG00000020261	protein_coding
ENSDART00000003946	ENSDARG00000019033	protein_coding
ENSDART00000003947	ENSDARG00000004830	protein_coding
ENSDART00000003954	ENSDARG00000018530	protein_coding
ENSDART00000003957	ENSDARG00000026476	protein_coding
ENSDART00000003962	ENSDARG00000007217	protein_coding
ENSDART00000003978	ENSDARG00000012932	protein_coding
ENSDART00000003983	ENSDARG00000010238	protein_coding
ENSDART00000003993	ENSDARG00000017565	protein_coding
ENSDART00000003994	ENSDARG00000094210	protein_coding
ENSDART00000003997	ENSDARG00000007842	protein_coding
ENSDART00000003998	ENSDARG00000020465	protein_coding
ENSDART00000004008	ENSDARG00000010373	protein_coding
ENSDART00000004013	ENSDARG00000077532	protein_coding
ENSDART00000004031	ENSDARG00000020529	protein_coding
ENSDART00000004034	ENSDARG00000018397	protein_coding
ENSDART00000004041	ENSDARG00000079934	protein_coding
ENSDART00000004043	ENSDARG00000006877	protein_coding
ENSDART00000004052	ENSDARG00000007727	protein_coding
ENSDART00000004062	ENSDARG00000014313	protein_coding
ENSDART00000004065	ENSDARG00000021287	protein_coding
ENSDART00000004071	ENSDARG00000008333	protein_coding
ENSDART00000004075	ENSDARG00000011272	protein_coding
ENSDART00000004092	ENSDARG00000013659	protein_coding
ENSDART00000004108	ENSDARG00000010281	protein_coding
ENSDART00000004109	ENSDARG00000009553	protein_coding
ENSDART00000004120	ENSDARG00000001999	protein_coding
ENSDART00000004122	ENSDARG00000015891	protein_coding
ENSDART00000004129	ENSDARG00000020611	protein_coding
ENSDART00000004181	ENSDARG00000017047	protein_coding
ENSDART00000004188	ENSDARG00000088870	protein_coding
ENSDART00000004200	ENSDARG00000010610	protein_coding
ENSDART00000004217	ENSDARG00000035598	protein_coding
ENSDART00000004220	ENSDARG00000045628	protein_coding
ENSDART00000004222	ENSDARG00000015278	protein_coding
ENSDART00000004233	ENSDARG00000005525	protein_coding
ENSDART00000004238	ENSDARG00000019230	protein_coding
ENSDART00000004240	ENSDARG00000070713	protein_coding
ENSDART00000004241	ENSDARG00000012671	protein_coding
ENSDART00000004273	ENSDARG00000095076	protein_coding
ENSDART00000004277	ENSDARG00000036279	protein_coding
ENSDART00000004284	ENSDARG00000003027	protein_coding
ENSDART00000004286	ENSDARG00000009196	protein_coding
ENSDART00000004288	ENSDARG00000007444	protein_coding
ENSDART00000004295	ENSDARG00000017657	protein_coding
ENSDART00000004333	ENSDARG00000002582	protein_coding
ENSDART00000004338	ENSDARG00000010767	protein_coding
ENSDART00000004341	ENSDARG00000039832	protein_coding
ENSDART00000004357	ENSDARG00000077405	protein_coding
ENSDART00000004361	ENSDARG00000015506	protein_coding
ENSDART00000004365	ENSDARG00000003769	protein_coding
ENSDART00000004379	ENSDARG00000020077	protein_coding
ENSDART00000004389	ENSDARG00000021186	protein_coding
ENSDART00000004392	ENSDARG00000005023	protein_coding
ENSDART00000004398	ENSDARG00000018562	protein_coding
ENSDART00000004416	ENSDARG00000094171	protein_coding
ENSDART00000004420	ENSDARG00000019144	protein_coding
ENSDART00000004423	ENSDARG00000007955	protein_coding
ENSDART00000004424	ENSDARG00000016763	protein_coding
ENSDART00000004431	ENSDARG00000019917	protein_coding
ENSDART00000004462	ENSDARG00000018441	protein_coding
ENSDART00000004474	ENSDARG00000002659	protein_coding
ENSDART00000004476	ENSDARG00000012446	protein_coding
ENSDART00000004483	ENSDARG00000003968	protein_coding
ENSDART00000004498	ENSDARG00000037203	protein_coding
ENSDART00000004504	ENSDARG00000016153	protein_coding
ENSDART00000004514	ENSDARG00000034885	protein_coding
ENSDART00000004518	ENSDARG00000033056	protein_coding
ENSDART00000004521	ENSDARG00000012848	protein_coding
ENSDART00000004533	ENSDARG00000007480	protein_coding
ENSDART00000004539	ENSDARG00000027141	protein_coding
ENSDART00000004548	ENSDARG00000019013	protein_coding
ENSDART00000004550	ENSDARG00000002609	protein_coding
ENSDART00000004585	ENSDARG00000021048	protein_coding
ENSDART00000004588	ENSDARG00000008329	protein_coding
ENSDART00000004601	ENSDARG00000006397	protein_coding
ENSDART00000004604	ENSDARG00000004386	protein_coding
ENSDART00000004622	ENSDARG00000018574	protein_coding
ENSDART00000004625	ENSDARG00000019706	protein_coding
ENSDART00000004626	ENSDARG00000019951	protein_coding
ENSDART00000004655	ENSDARG00000017659	protein_coding
ENSDART00000004656	ENSDARG00000020187	protein_coding
ENSDART00000004664	ENSDARG00000019137	protein_coding
ENSDART00000004678	ENSDARG00000090564	protein_coding
ENSDART00000004679	ENSDARG00000009978	protein_coding
ENSDART00000004686	ENSDARG00000003022	protein_coding
ENSDART00000004689	ENSDARG00000073905	protein_coding
ENSDART00000004692	ENSDARG00000003795	protein_coding
ENSDART00000004712	ENSDARG00000011998	protein_coding
ENSDART00000004716	ENSDARG00000019763	protein_coding
ENSDART00000004717	ENSDARG00000094132	protein_coding
ENSDART00000004721	ENSDARG00000020123	protein_coding
ENSDART00000004727	ENSDARG00000007080	protein_coding
ENSDART00000004739	ENSDARG00000017454	protein_coding
ENSDART00000004740	ENSDARG00000010977	protein_coding
ENSDART00000004742	ENSDARG00000020028	protein_coding
ENSDART00000004745	ENSDARG00000012796	protein_coding
ENSDART00000004751	ENSDARG00000019717	protein_coding
ENSDART00000004756	ENSDARG00000010478	protein_coding
ENSDART00000004769	ENSDARG00000009214	protein_coding
ENSDART00000004771	ENSDARG00000021110	protein_coding
ENSDART00000004780	ENSDARG00000001897	protein_coding
ENSDART00000004782	ENSDARG00000012495	protein_coding
ENSDART00000004797	ENSDARG00000023645	protein_coding
ENSDART00000004812	ENSDARG00000092947	protein_coding
ENSDART00000004816	ENSDARG00000056490	protein_coding
ENSDART00000004842	ENSDARG00000009844	protein_coding
ENSDART00000004848	ENSDARG00000005218	protein_coding
ENSDART00000004871	ENSDARG00000006174	protein_coding
ENSDART00000004879	ENSDARG00000003570	protein_coding
ENSDART00000004896	ENSDARG00000031770	protein_coding
ENSDART00000004899	ENSDARG00000012140	protein_coding
ENSDART00000004903	ENSDARG00000012369	protein_coding
ENSDART00000004920	ENSDARG00000019941	protein_coding
ENSDART00000004923	ENSDARG00000016086	protein_coding
ENSDART00000004964	ENSDARG00000010250	protein_coding
ENSDART00000004984	ENSDARG00000009689	protein_coding
ENSDART00000004986	ENSDARG00000010408	protein_coding
ENSDART00000005004	ENSDARG00000052721	protein_coding
ENSDART00000005015	ENSDARG00000011932	protein_coding
ENSDART00000005021	ENSDARG00000006019	protein_coding
ENSDART00000005025	ENSDARG00000004392	protein_coding
ENSDART00000005027	ENSDARG00000011498	protein_coding
ENSDART00000005033	ENSDARG00000008811	protein_coding
ENSDART00000005053	ENSDARG00000014378	protein_coding
ENSDART00000005067	ENSDARG00000003398	protein_coding
ENSDART00000005086	ENSDARG00000019856	protein_coding
ENSDART00000005090	ENSDARG00000012840	protein_coding
ENSDART00000005105	ENSDARG00000002165	protein_coding
ENSDART00000005112	ENSDARG00000071083	protein_coding
ENSDART00000005118	ENSDARG00000013302	protein_coding
ENSDART00000005119	ENSDARG00000017445	protein_coding
ENSDART00000005120	ENSDARG00000019874	protein_coding
ENSDART00000005127	ENSDARG00000017242	protein_coding
ENSDART00000005140	ENSDARG00000009681	protein_coding
ENSDART00000005143	ENSDARG00000007241	protein_coding
ENSDART00000005145	ENSDARG00000004823	protein_coding
ENSDART00000005158	ENSDARG00000017525	protein_coding
ENSDART00000005168	ENSDARG00000009864	protein_coding
ENSDART00000005191	ENSDARG00000011146	protein_coding
ENSDART00000005195	ENSDARG00000052623	protein_coding
ENSDART00000005217	ENSDARG00000021059	protein_coding
ENSDART00000005221	ENSDARG00000020964	protein_coding
ENSDART00000005244	ENSDARG00000043557	protein_coding
ENSDART00000005255	ENSDARG00000008920	protein_coding
ENSDART00000005263	ENSDARG00000014463	protein_coding
ENSDART00000005288	ENSDARG00000035891	protein_coding
ENSDART00000005292	ENSDARG00000008186	protein_coding
ENSDART00000005296	ENSDARG00000020332	protein_coding
ENSDART00000005299	ENSDARG00000015709	protein_coding
ENSDART00000005313	ENSDARG00000002635	protein_coding
ENSDART00000005321	ENSDARG00000012426	protein_coding
ENSDART00000005326	ENSDARG00000013329	protein_coding
ENSDART00000005329	ENSDARG00000032458	protein_coding
ENSDART00000005331	ENSDARG00000001930	protein_coding
ENSDART00000005337	ENSDARG00000016830	protein_coding
ENSDART00000005345	ENSDARG00000011521	protein_coding
ENSDART00000005355	ENSDARG00000009253	protein_coding
ENSDART00000005359	ENSDARG00000012247	protein_coding
ENSDART00000005366	ENSDARG00000013655	protein_coding
ENSDART00000005373	ENSDARG00000013837	protein_coding
ENSDART00000005381	ENSDARG00000012325	protein_coding
ENSDART00000005382	ENSDARG00000013576	protein_coding
ENSDART00000005405	ENSDARG00000005115	protein_coding
ENSDART00000005431	ENSDARG00000020454	protein_coding
ENSDART00000005436	ENSDARG00000012395	protein_coding
ENSDART00000005449	ENSDARG00000016788	protein_coding
ENSDART00000005453	ENSDARG00000063535	protein_coding
ENSDART00000005464	ENSDARG00000012747	protein_coding
ENSDART00000005473	ENSDARG00000013292	protein_coding
ENSDART00000005479	ENSDARG00000003845	protein_coding
ENSDART00000005485	ENSDARG00000044976	protein_coding
ENSDART00000005491	ENSDARG00000006120	protein_coding
ENSDART00000005496	ENSDARG00000010603	protein_coding
ENSDART00000005499	ENSDARG00000012019	protein_coding
ENSDART00000005516	ENSDARG00000035187	protein_coding
ENSDART00000005518	ENSDARG00000020976	protein_coding
ENSDART00000005547	ENSDARG00000002696	protein_coding
ENSDART00000005548	ENSDARG00000011818	protein_coding
ENSDART00000005562	ENSDARG00000004415	protein_coding
ENSDART00000005568	ENSDARG00000014248	protein_coding
ENSDART00000005573	ENSDARG00000074248	protein_coding
ENSDART00000005583	ENSDARG00000003098	protein_coding
ENSDART00000005585	ENSDARG00000093546	protein_coding
ENSDART00000005590	ENSDARG00000010831	protein_coding
ENSDART00000005593	ENSDARG00000017905	protein_coding
ENSDART00000005609	ENSDARG00000008639	protein_coding
ENSDART00000005616	ENSDARG00000012506	protein_coding
ENSDART00000005625	ENSDARG00000016837	protein_coding
ENSDART00000005638	ENSDARG00000056036	protein_coding
ENSDART00000005639	ENSDARG00000015394	protein_coding
ENSDART00000005641	ENSDARG00000014018	protein_coding
ENSDART00000005643	ENSDARG00000002947	protein_coding
ENSDART00000005670	ENSDARG00000003444	protein_coding
ENSDART00000005671	ENSDARG00000007034	protein_coding
ENSDART00000005676	ENSDARG00000003293	protein_coding
ENSDART00000005682	ENSDARG00000013755	protein_coding
ENSDART00000005694	ENSDARG00000012263	protein_coding
ENSDART00000005696	ENSDARG00000019525	protein_coding
ENSDART00000005720	ENSDARG00000006266	protein_coding
ENSDART00000005724	ENSDARG00000005783	protein_coding
ENSDART00000005733	ENSDARG00000008068	protein_coding
ENSDART00000005738	ENSDARG00000006636	protein_coding
ENSDART00000005740	ENSDARG00000031756	protein_coding
ENSDART00000005750	ENSDARG00000003835	protein_coding
ENSDART00000005764	ENSDARG00000017982	protein_coding
ENSDART00000005767	ENSDARG00000038646	protein_coding
ENSDART00000005784	ENSDARG00000007169	protein_coding
ENSDART00000005801	ENSDARG00000016457	protein_coding
ENSDART00000005804	ENSDARG00000013933	protein_coding
ENSDART00000005829	ENSDARG00000055108	protein_coding
ENSDART00000005842	ENSDARG00000017542	protein_coding
ENSDART00000005845	ENSDARG00000016794	protein_coding
ENSDART00000005847	ENSDARG00000005476	protein_coding
ENSDART00000005853	ENSDARG00000011462	protein_coding
ENSDART00000005857	ENSDARG00000020982	protein_coding
ENSDART00000005864	ENSDARG00000012204	protein_coding
ENSDART00000005869	ENSDARG00000011152	protein_coding
ENSDART00000005877	ENSDARG00000030915	protein_coding
ENSDART00000005879	ENSDARG00000001788	protein_coding
ENSDART00000005883	ENSDARG00000014995	protein_coding
ENSDART00000005884	ENSDARG00000002235	protein_coding
ENSDART00000005893	ENSDARG00000015292	protein_coding
ENSDART00000005895	ENSDARG00000018263	protein_coding
ENSDART00000005901	ENSDARG00000011821	protein_coding
ENSDART00000005903	ENSDARG00000009447	protein_coding
ENSDART00000005906	ENSDARG00000019973	protein_coding
ENSDART00000005923	ENSDARG00000004282	protein_coding
ENSDART00000005927	ENSDARG00000006092	protein_coding
ENSDART00000005929	ENSDARG00000004988	protein_coding
ENSDART00000005944	ENSDARG00000020197	protein_coding
ENSDART00000005957	ENSDARG00000019179	protein_coding
ENSDART00000005985	ENSDARG00000002952	protein_coding
ENSDART00000005989	ENSDARG00000009748	protein_coding
ENSDART00000005999	ENSDARG00000009727	protein_coding
ENSDART00000006013	ENSDARG00000040252	protein_coding
ENSDART00000006018	ENSDARG00000017078	protein_coding
ENSDART00000006021	ENSDARG00000027501	protein_coding
ENSDART00000006037	ENSDARG00000019692	protein_coding
ENSDART00000006038	ENSDARG00000006307	protein_coding
ENSDART00000006043	ENSDARG00000007009	protein_coding
ENSDART00000006058	ENSDARG00000005827	protein_coding
ENSDART00000006061	ENSDARG00000004724	protein_coding
ENSDART00000006073	ENSDARG00000013335	protein_coding
ENSDART00000006078	ENSDARG00000054451	protein_coding
ENSDART00000006079	ENSDARG00000020009	protein_coding
